"%s","%s"
"%s role is a special one and can\'t be changed.","%s il ruolo è speciale e non può essere modificato."
"%s role is a special one and can\'t be deleted.","%s il ruolo è speciale e non può essere cancellato."
"%s role is protected.","%s il ruolo è protetto."
"ACL Attribute Rules","ACL Regole attributo"
"ACL Attributes Information","ACL informazioni attributi"
"Add","Aggiungi"
"Add Admin Role","Aggiungi ruolo admin"
"Add New Role","Aggiungi nuovo ruolo"
"Address Type","Tipo indirizzo"
"Admin","Admin"
"Allow","Consenti"
"An error occurred while deleting the role.","Si è verificato un errore durante la cancellazione di questo ruolo."
"An error occurred while saving attribute rules.","Si è verificato un errore durante il salvataggio delle regole attributo."
"An error occurred while saving role.","Si è verificato un errore durante il salvataggio del ruolo."
"Api Rules Information","Informazioni regole Api"
"Assigned","Assegnato"
"Associate to Website","Associato al sito web"
"Attribute Rules Information","Informazioni regole attributo"
"Attribute Set","Set di attributi"
"Attributes","Attributi"
"Automatically Return Credit Memo Item to Stock","Riporta automaticamente la nota di credito per l\'articolo alle scorte"
"Back","Indietro"
"Backorders","Backorders"
"Base Currency","Valuta di base"
"Base Customer Balance","Bilancio base cliente"
"Base Discount","Sconto base"
"Base Discount Amount","Importo di base sconto"
"Base Item Subtotal","Subtotale di base articolo"
"Base Item Subtotal Including Tax","Subtotale di base articolo tasse incluse"
"Base Original Price","Prezzo originale di base"
"Base Price","Prezzo di base"
"Base Price Including Tax","Prezzo di base tasse incluse"
"Base Shipping","Spedizione di base"
"Base Shipping Discount","Sconto spedizione di base"
"Base Shipping Tax","Tasse di spedizione di base"
"Base Subtotal","Subtotale di base"
"Base Subtotal Including Tax","Subtotale di base tasse incluse"
"Base Tax Amount","Importo tasse di base"
"Base Total Due","Totale di base dovuto"
"Base Total Paid","Totale di base pagato"
"Base Total Refunded","Totale di base rimborsato"
"Buy Now URL","Compra ora URL"
"Can Be Divided into Multiple Boxes for Shipping","Può essere diviso in più scatole per la spedizione"
"Canceled Qty","Qtà cancellata"
"Catalog","Catalogo"
"Catalog Product","Catalogo prodotti"
"CatalogInventory","CatalogInventory"
"Category ID","ID categoria"
"City","Città"
"Company","Azienda"
"Country","Paese"
"Coupon Code","Codice Coupon"
"Create","Crea"
"Create Permanent Redirect for old URL","Crea un reindirizzamento permanente al vecchio URL"
"Created From","Form creato"
"Customer","Cliente"
"Customer Address","Indirizzo cliente"
"Customer Address ID","ID indirizzo cliente"
"Customer Balance","Bilancio cliente"
"Customer First Name","Nome cliente"
"Customer ID","ID cliente"
"Customer Last Name","Cognome cliente"
"Customer Middle Name","Secondo nome del cliente"
"Customer Prefix","Prefisso cliente"
"Customer Suffix","Suffisso cliente"
"Default Image","Immagine predefinita"
"Delete","Cancella"
"Deny","Nega"
"Disable automatic group change based on VAT ID","Disabilita il cambio automatico del gruppo basato sull\'ID IVA"
"Discount","Sconto"
"Discount Amount","Importo sconto"
"Discount Description","Descrizione sconto"
"Edit","Modifica"
"Edit %s ACL attribute rules","Modifica %s ACL regole attributo"
"Edit Role","Modifica ruolo"
"Edit attribute rules for %s Role","Modifica regole attributo per il %s ruolo"
"Email","Email"
"Enable Qty Increments","Abilita incrementi qtà"
"Exclude","Escludi"
"File Content","Contenuto file"
"File MIME Type","Tipo file MIME"
"File Name","Nome file"
"Final Price With Tax","Prezzo finale con tasse"
"Final Price Without Tax","Prezzo finale senza tasse"
"First Name","Nome"
"Gift Message","Messaggio regalo"
"Grand Total","Totale generale"
"Grand Total to Be Charged","Totale generale da addebitare"
"Group","Gruppo"
"Guest","Ospite"
"Has Custom Options","Ha opzioni personalizzate"
"ID","ID"
"Inventory Data","Dati inventario"
"Invoiced Qty","Qtà fatturata"
"Is Confirmed","È confermato"
"Is Default Billing Address","È l\'indirizzo di fatturazione predefinito"
"Is Default Shipping Address","È l\'indirizzo di spedizione predefinito"
"Item ID","ID articolo"
"Item Subtotal","Subtotale articolo"
