"--Please Select--","--Selezionare--"
"API Login ID","API Login ID"
"Accepted Currency","Valute accettate"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Importo di %s approvato dal gateway di pagamento. ID Transazione: ""%s""."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","Numero di verifica carta"
"Card Verification Number Visual Reference","Verifica numero carta riferimento visivo"
"Close","Chiudi"
"Credit Card Information","Informazioni carta di credito"
"Credit Card Number","Numero carta di credito"
"Credit Card Type","Tipo carta di credito"
"Credit Card Types","Tipi carte di credito"
"Credit Card Verification","Verifica carta di credito"
"Debug","Debug"
"Email Customer","Email cliente"
"Enabled","Abilitato"
"Expiration Date","Data di scadenza"
"Gateway URL","Gateway URL"
"Maximum Order Total","Massimo totale ordine"
"Merchant MD5","MD5 Negoziante"
"Merchant's Email","Email del negoziante"
"Minimum Order Total","Minimo totale ordine"
"New Order Status","Stato nuovo ordine"
"Order saving error: %s","Errore salvataggio ordine: %s"
"Payment Action","Azione di pagamento"
"Payment authorization error.","Errore autorizzazione pagamento."
"Payment authorization error. Transacion id is empty.","Errore autorizzazione di pagamento. ID transazione vuoto."
"Payment error. Order was not found.","Errore pagamento. L\'ordine non è stato trovato."
"Payment error. Paid amount doesn\'t match the order amount.","Errore pagamento. L\'importo pagato non corrisponde con l\'importo dell\'ordine."
"Payment from Applicable Countries","Pagamento da paesi applicabili"
"Payment from Specific Countries","Pagamento da paesi specifici"
"Please, choose payment method","Scegliere un metodo di pagamento"
"Response hash validation failed. Transaction declined.","Responso convalida hash fallito. Transazione rifiutata."
"Sort Order","Odrinamento"
"Test Mode","Modalità test"
"The order has been created.","L\'ordine è stato creato."
"There was an error processing your order. Please contact us or try again later.","Si è verificato un errore durante l\'elaborazione del tuo ordine. Contattaci o riprova più tardi."
"Title","Titolo"
"Transaction Key","Chiave transazione"
"What is this?","Cos\è questo?"
"You will be required to enter your payment details before you place an order.","Ti sarà chiesto di inserire i dettagli di pagamento prima di effettuare un ordine."
