"%1$s incl tax.","%1$s incl tasse"
"* Required Fields","* Campi obbligatori"
"-- Select --","-- Seleziona --"
"Add New Option","Aggiungi una nuova opzione"
"Add Selection","Aggiungi selezione"
"As Low as","A partire da "
"As low as","A partire da "
"Bundle Items","Articoli Bundle"
"Bundle Product","Prodotto Bundle"
"Bundle Product View Summary","Riassunto Vista prodotto bundle"
"Buy %1$s","Compra %1$s"
"Buy %1$s for","Compra %1$s per"
"Buy %1$s for %2$s","Compra %1$s per %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compra %1$s per %2$s (%3$s incl. tasse) ciascuno"
"Buy %1$s for %2$s each","Compra %1$s per %2$s ciascuno"
"Buy %1$s with %2$s discount each","Compra %1$s con %2$s di sconto per ciascuno"
"Catalog Product View (Bundle)","Vista prodotti catalogo (Bundle)"
"Checkbox","Checkbox"
"Choose a selection...","Scegli una opzione..."
"Click for price","Clicca per il prezzo"
"Close","Chiuso"
"Default","Predefinito"
"Default Qty","Qtà predefinita"
"Default Title","Titolo predefinito"
"Drop-down","Drop-down"
"Dynamic","Dinamico"
"Excl. Tax","Escl. Tasse"
"Excl. Tax:","Escl. Tasse:"
"Fixed","Fixed"
"From","Da"
"From:","Da:"
"Gift Message","Gift Message"
"Incl. Tax","Incl. Tasse"
"Incl. Tax:","Incl. Tasse:"
"Input Type","Tipo in ingresso"
"Is Required","È obbligatorio"
"Message:","Messaggio:"
"Multiple Select","Selezione multipla"
"N/A","N/A"
"No options of this product are available.","Nessuna opzione disponibile per questo prodotto."
"None","Nessuno"
"Percent","Percentuale"
"Percent Discount","Percentuale di sconto"
"Please Select Products to Add","Selezionare i prodotti da aggiungere"
"Please enter a number greater 0 in this field.","Inserire un numero maggiore di 0 in questo campo."
"Please enter search conditions to view products.","Inserire le condizioni di ricerca per visualizzare i prodotti."
"Please select options for product.","Selezionare le opzioni per il prodotto."
"Please specify product option(s).","Specificare opzione/i del prodotto."
"Position","Posizione"
"Price Range","Fascia di prezzo"
"Price Type","Tipo prezzo"
"Price as configured","Prezzo con la configurazione"
"Qty:","Qtà:"
"Radio Buttons","Radio buttons"
"Required options are not selected.","Le opzioni obbligatorie non sono selezionate."
"Selected required options are not available.","Le opzioni obbligatorie selezionate non sono disponibili."
"Separately","Separatamente"
"Ship Bundle Items","Spedizione prodotti Bundle"
"Shipment","Spedizione"
"Store View Title","Vista titolo negozio"
"There is no defined renderer for ""%s"" option type.","Non è definito il render per il tipo di opzione ""%s""."
"This product is also part of bundle(s)","Questo prodotto è anche parte dei bundle(s)"
"To","A"
"To:","A:"
"Together","Insieme"
"Total incl. Tax: %1$s","Totale incl. Tasse: %1$s"
"Use Default Value","Usa valore predefinito"
"User Defined Qty","Qtà definita utente"
"and","e"
"each","ciascuno"
"save","salva"
