"# of Use","# di utilizzi"
"%1$s incl tax.","%1$s incl tasse."
"%s - %s","%s - %s"
"%s Item(s)","%s Prodotti/o"
"%s and above","%s e oltre"
"(%d)","(%d)"
"(Copy data from: %s)","(Copia dati da: %s)"
"* Required Fields","* Campi obbligatori"
"-- Please Select --","-- Seleziona --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 impostare come predefinito, se non è impostato. Per ricaricare istantaneamente, svuotare i  blocchi HTML Output Cache."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Attenzione!</strong> Decidendo di applicare il MAP come impostazione predefinita, tutti i prezzi dei prodotti saranno automaticamente nascosti sul frontend."
"A group with the same name already exists.","Esiste già un gruppo con lo stesso nome."
"A name is required","È richiesto un nome"
"A product type is not defined for the indexer.","Il tipo di prodotto non è definito per l\'indicizzazione."
"ALL GROUPS","TUTTI I GRUPPI"
"AM","AM"
"Action","Azione"
"Actual Price","Prezzo attuale"
"Add","Aggiungi"
"Add Attribute","Aggiungi attributo"
"Add Design Change","Aggiungi modifica al design"
"Add Group","Aggiungi gruppo"
"Add Group Price","Aggiungi gruppo prezzo"
"Add New","Aggiungi nuovo"
"Add New Attribute","Aggiungi un nuovo attributo"
"Add New Attribute Set","Aggiungi un nuovo Set di attributi"
"Add New Group","Aggiungi nuovo gruppo"
"Add New Images","Aggiungi nuove immagini"
"Add New Option","Aggiungi nuove opzioni"
"Add New Row","Aggiungi nuova riga"
"Add New Search Term","Aggiungi un nuovo termine di ricerca"
"Add New Set","Aggiungi nuovo set"
"Add Product","Aggiungi prodotto"
"Add Product To Websites","Aggiungi prodotto al sito"
"Add Root Category","Aggiungi categoria di root"
"Add Subcategory","Aggiungi sottocategoria"
"Add Tax","Aggiungi tasse"
"Add Tier","Aggiungi fascia"
"Add attribute into attribute set","Aggiungi attributo al set di attributi"
"Add group into attribute set","Aggiungi gruppo al set di attributi"
"Add new custom option into product","Aggiungi nuova opzione personalizzata nel prodotto"
"Add new values into custom option","Aggiungi nuovi valori all\'opzione personalizzata"
"Add option","Aggiungi opzione"
"Add to Cart","Aggiungi al carrello"
