"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Le regole del prezzo nel catalogo basate sull\'attributo ""%s"" sono state disabilitato."
"Actions","Azioni"
"Active","Attivo"
"Add New Rule","Aggiungi nuova regola"
"An error occurred while deleting the rule. Please review the log and try again.","Si è verificato un errore durante la cancellazione della regola. Consulta il registro e prova di nuovo."
"An error occurred while saving the rule data. Please review the log and try again.","Si è verificato un errore durante il salvataggio dei dati della regola. Consulta il registro e prova di nuovo."
"Apply","Applica"
"Apply Rules","Applica regole"
"Attribute Set","Set attributi"
"By Fixed Amount","Un importo fisso (sconta dal prezzo)"
"By Percentage of the Original Price","Percentuale del prezzo originale (sconta dal prezzo)"
"Catalog","Catalogo"
"Catalog Price Rule","Regola prezzo catalogo"
"Catalog Price Rules","Regole di prezzo del catalogo"
"Category","Categoria"
"Conditions","Condizioni"
"Conditions (leave blank for all products)","Condizioni (lasciare vuoto per tutti i prodotti)"
"Conditions Combination","Combinazione condizioni"
"Customer Groups","Gruppi cliente"
"Date Expire","Data di scadenza"
"Date From","Date dal"
"Date Start","Data inizio"
"Date To","Date al"
"Description","Descrizione"
"Discount Amount","Importo sconto"
"Edit Rule","Modifica regola"
"Edit Rule '%s'","Modifica regola '%s'"
"Enable Discount to Subproducts","Abilita sconto per i sottoprodotti"
"Expiration Date","Data di scadenza"
"From Date","Dalla data"
"General Information","Informazioni generali"
"ID","ID"
"Inactive","Inattivo"
"New Rule","Nuova regola"
"No","No"
"Options","Opzioni"
"Priority","Priorità"
"Product Attribute","Attributo prodotto"
"Promotions","Promozioni"
"Rule Information","Informazioni regola"
"Rule Name","Nome regola"
"Save and Apply","Salva e applica"
"Save and Continue Edit","Salva e continua la modifica"
"Start Date","Data di inizio"
"Status","Stato"
"Stop Further Rules Processing","Ferma ulteriori elaborazioni regole"
"The rule has been deleted.","La regola è stata cancellata."
"The rule has been saved.","La regola è stata salvata."
"The rules have been applied.","La regola è stata applicata."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Ci sono delle regole modificate ma non applicate. Solo gli utenti con accesso esclusivo possono applicare le regole."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Ci sono delle regole che sono state modificate ma non applicate. Clicca applica regole per vedere immediatamente l\'effetto sul catalogo."
"This rule no longer exists.","Questa regola non esiste più."
"To Date","Alla data"
"To Fixed Amount","Un importo fisso (usa come prezzo)"
"To Percentage of the Original Price","Percentuale del prezzo originale (usa come prezzo)"
"Type","Tipo"
"Unable to apply rules.","Impossibile applicare le regole."
"Unable to find a rule to delete.","Impossibile trovare la regola da cancellare."
"Update Prices Using the Following Information","Aggiorna i prezzi usando le seguenti informazioni"
"Update product's %s %s: %s","Aggiornamento dei prodotti %s %s: %s"
"Website","Sito web"
"Websites","Siti web"
"Wrong rule specified.","Regola specificata errata."
"Yes","Si"
