"%s and greater","%s e superiore"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d Articoli/o</strong> sono stati trovati usando i seguenti criteri di ricerca"
"Advanced Search","Ricerca avanzata"
"Advanced Search Form","Modulo ricerca avanzata"
"Advanced Search Result","Risultati ricerca avanzata"
"All","Tutto"
"Applies for ""Like"" search type only.","Applica solo al tipo di ricerca ""Like""."
"Apply Layered Navigation if Search Results are Less Than","Applica livelli di navigazione se i risultati di ricerca sono meno di"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Modifica impostazione attributo legata con indice di ricerca. Avvia processo <a href=""%s"">Ricostruisci indice di ricerca</a>."
"Autogenerated Site Map","Site Map autogenerata"
"Catalog Advanced Search","Ricerca avanzata catalogo"
"Catalog Search","Ricerca nel Catalogo"
"Catalog Search Index","Indice ricerca nel catalogo"
"Don't see what you're looking for?","Non trovi quello che stai cercando?"
"Enter ""0"" to enable layered navigation for any number of results.","Inserisci ""0"" per abilitare navigazione a livelli per qualsiasi numero di risultati."
"Go","Vai"
"Go to Home Page","Vai alla Home Page"
"Grid","Griglia"
"Home","Home"
"List","Lista"
"Maximum Query Length","Lungezza massima Query"
"Maximum Query Words Count","Conteggio parole massime della query"
"Maximum Search query length is %s. Your query was cut.","Lunghezza massima ricerca query è %s. La tua query è stata tagliata."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Il massimo numero di parole è %1$s. Nella tua query di ricerca è stata tagliata la parte: %2$s."
"Minimal Query Length","Lunghezza minima Query"
"Minimum Search query length is %s","La lunghezza minima ricerca query è %s"
"Modify your search","Modifica la tua ricerca"
"No","No"
"No items were found using the following search criteria.","Non sono stati trovati articoli utilizzando i seguenti criteri di ricerca."
"Please specify at least one search term.","Specificare almeno un termine di ricerca."
"Popular Search Terms","Termini di ricerca popolari"
"Quick Search Form","Modulo ricerca veloce"
"Rebuild Catalog product fulltext search index","Ricostruire catalogo prodotti testo completo indice di ricerca"
"Relevance","Rilevanza"
"Results","Risultati"
"Search","Ricerca"
"Search Settings","Impostazioni di ricerca"
"Search Terms","Termini di ricerca"
"Search Type","Tipo ricerca"
"Search entire store here...","Cerca nell'intero negozio..."
"Search results for '%s'","Risultati ricerca per '%s'"
"Search results for: '%s'","Risultati ricerca per: '%s'"
"Search:","Cerca:"
"Specified date is invalid.","La data specificata non è valida."
"Subscribe to Feed","Iscriviti ai Feed"
"There are no search terms available.","Non ci sono termini di ricerca disponibili."
"Yes","Si"
"Your search returns no results.","La tua ricerca non ha prodotto risultati."
"up to %s","fino a %s"
