"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Cardholder Validation","3D Secure Cardholder Validation"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indicator"
"3D Secure Verification Result","3D Secure Verification Result"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Responsabilità emittente della carta"
"Card Verification","Verifica carta"
"Enrolled","Iscritto"
"Enrolled but Authentication Unavailable","Iscritto ma autenticazione non disponibile"
"Failed","Non riuscito"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Responsabilità commerciante"
"Not Enrolled","Non iscritto"
"Order cannot be placed.","L\'ordine non può essere immesso."
"Payment information error. Please start over.","Errore informazioni di pagamento. Ricominciare."
"Please continue with placing order.","Prosegui l\'immissione dell\'ordine."
"Please verify the card with the issuer bank before placing the order.","Verifica la carta con la banca emittente prima di effettuare l\'ordine."
"Please verify the card with the issuer bank:","Verificare la carta con la banca emittente:"
"Start/Reset Validation...","Inizia/resetta convalida..."
"Successful","Riuscito"
"Successful attempt","Tentativo riuscito"
"The card has failed verification with the issuer bank.","La carta ha fallito la verifica con la banca emittente."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Sono state presentate informazioni di pagamento errate o il limite di tempo è scaduto. Riprovare."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Sono state presentate informazioni di pagamento errate o il limite di tempo è scaduto. Riprovare."
"This card has failed validation and cannot be used.","La carta ha fallito la convalida e non può essere utilizzata."
"To ensure the security of your transactions","Per garantire la sicurezza delle tue transazioni"
"Unable to complete","Impossibile completare"
"Validation failed.","Convalida non riuscita."
"Verification Failed","Verifica non riuscita"
"Verification Successful","Verifica riuscita"
"Verification cannot be processed","Impossibile elaborare la verifica"
"Verified by Visa","Verificata da Visa"
