"Collected Files Count","Conteggio raccolta file"
"Compilation","Compilation"
"Compilation State","Stato Compilation"
"Compilation error","Errore Compilation"
"Compiled","Compilato"
"Compiled Scopes Count","Conteggio ambiti compilati"
"Compiler Status","Stato compilatore"
"Compiler include path is disabled.","Inclusione percorso compilatore disabilitato."
"Compiler include path is enabled.","Inclusione percorso compilatore abilitato."
"Directory ""%s"" must be writeable","La directory ""%s"" deve essere scrivibile"
"Disable","Disabilitare"
"Disabled","Disabilitato"
"Enable","Abilitare"
"Enabled","Abilitato"
"File ""%s"" must be writeable","Il file ""%s"" deve essere scrivibile"
"Not Compiled","Non compilato"
"Run Compilation Process","Esegui processo di compilazione"
"Scopes Compilation Settings","Impostazione ambiti di compilazione"
"System","Sistema"
"The compilation has completed.","La compilazione è completa."
"Tools","Strumenti"
