"1.5.0.0 & later","1.5.0.0 & successive"
"Action","Azione"
"Add Author","Aggiungi autore"
"Add Contents Path","Aggiungi contenuti percorso"
"Add PHP Extension dependency","Aggiungi PHP estensione dipendenza"
"Add Package dependency","Aggiungi pacchetto dipendenze"
"Add files","Aggiungi file"
"Authors","Autori"
"Channel","Canale"
"Contents","Contenuti"
"Create Extension Package","Crea pacchetto estensione"
"Dependencies","Dipendenze"
"Description","Descrizione"
"Edit Extension","Modifica estensione"
"Email","Email"
"Extension","Estensione"
"Extensions","Estensioni"
"Failed to create the package.","Creazione pacchetto non riuscita."
"Failed to load the package data.","Caricamento dai pacchetto non riuscito."
"Failed to save the package.","Salvataggio pacchetto non riuscito."
"Files","File"
"Folder","Cartella"
"Ignore","Ignora"
"Include","Includi"
"License","Licenza"
"License URI","Licenza URI"
"Load Local Package","Carica pacchetto locale"
"Load local Package","Carica pacchetto locale"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Manager"
"Max","Max"
"Maximum","Massimo"
"Min","Min"
"Minimum","Minimo"
"Name","Nome"
"New Extension","Nuova estensione"
"PHP Version","Versione PHP"
"Package","Pacchetto"
"Package Extensions","Pacchetto estensioni"
"Package File Name","Nome file pacchetto"
"Package Info","Info pacchetto"
"Packages","Pacchetti"
"Path","Percorso"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","Info versione"
"Remove","Rimuovi"
"Save As...","Salva come..."
"Save Data and Create Package","Salva dati e crea pacchetto"
"Save package with custom package file name","Salva pacchetto con il nome file personalizzato"
"Summary","Riepilogo"
"Supported releases","Versioni supportate"
"System","Sistema"
"Target","Target"
"The package %s data has been loaded.","I dati del pacchetto %s sono stati caricati."
"The package data has been saved.","I dati del pacchetto sono stati salvati."
"There was a problem saving package data","Si è verificato un problema durante il salvataggio dei dati del pacchetto"
"Type","Tipo"
"User","Utente"
