"%s","%s"
"%s already exist.","%s già  presente."
"%s already exists.","%s già  presenti."
"-- Please Select --","-- Selezionare --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Attenzione!</strong> Quando si usa il CDN, in alcuni casi JavaScript potrebbe non funzionare correttamente, se il CDN non è nel tuo sottodominio"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Attenzione!</strong> Quando si utilizza il codice del negozio negli URL, in alcuni casi il sistema non funziona correttamente se URL senza il codice negozio sono specificati nei servizi di terze parti (es. PayPal etc.)."
"A category object is required for determining the product request path.","E richiesta la categoria dell\'oggetto per determinare il percorso del prodotto richiesto."
"Add Block Names to Hints","Aggiungi nomi dei blocchi nei suggerimenti"
"Add Secret Key to URLs","Aggiungi Secret Key agli URL"
"Add Store Code to Urls","Aggiungi codice negozio agli Url"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Email dell'Admin"
"Advanced","Avanzate"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Dopo aver selezionato una nuova poiszione per il media storage, premi il pulsante Sincronizza
                                per trasferire tutti i media nella nuova posizione. Essi non saranno disponibili nella nuova
                                Posizione finchè il processo di sincronizzazione non sarà  completato."
"Allow Countries","Paesi consentiti"
"Allow Symlinks","Permetti Symlinks"
"Allowed IPs (comma separated)","IP permessi (separati da virgola)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Tipo di file consentiti: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Non tutti i browser supportano tutti questi formati!"
"Allows customers to stay logged in when switching between different stores.","Consenti ai clienti di rimanere connessi quando passano tra negozi diversi."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Testo alternativo per il prossimo link nel menu di impaginazione. Se vuoto, sarà utilizzata l'immagine predefinita della freccia."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Testo alternativo per il link precedente nel menu di impaginazione. Se vuoto, verrà utilizzata l'immagine predefinita della freccia."
"An error occurred while saving. Please review the error log.","Si è verificato un errore durante il salvataggio. Consultare il log di errore."
"Anchor Text for Next","Ancora testo per il successivo"
"Anchor Text for Previous","Anchor testo per il precedente"
"Anchor symbol (#) is not supported in request path","Simbolo (#) ancorato non è supportato nel percorso richiesto"
"Anchor symbol (#) is not supported in url rewrite suffix","Simbolo (#) ancorato non è supportato nel suffisso url rewrite"
"Are you sure?","Sei sicuro?"
"Auto-redirect to Base URL","Auto reindirizzato al Base URL"
"Back","Indietro"
"Backup Options","Opzioni di Backup"
"Base JavaScript URL","Base JavaScript URL"
"Base Link URL","Base Link URL"
"Base Media URL","Base Media URL"
"Base Secure URL","Base Secure URL"
"Base Skin URL","Base Skin URL"
"Base URL","Base URL"
"Base Unsecure URL","Base Unsecure URL"
"Before modifying the store view code please make sure that it is not used in index.php.","Prima di modificare il codice vista negozio assicurarsi che non si utilizzato in index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Prima di modificare il codice del sito web assicurati che non sia utilizzato in index.php."
"Block with name ""%s"" already exists","Un blocco con il nome ""%s"" esiste già"
"Browser Capabilities Detection","Funzionalità  di rilevamento del Browser"
"CSS Settings","Impostazioni CSS"
"Cache Storage Management","Gestione archiviazione Cache"
"Cache storage may contain additional data. Are you sure that you want flush it?","Cache Storage può contenere dati addizionali. Sei sicuro di volerla pulire?"
"Can not create invoice. Order was not found.","Impossibile creare la fattura. Ordine non trovato."
"Can't retrieve request object","Impossibile recuperare richiesta oggetto"
"Can\'t retrieve entity config: %s","Impossibile recuperare config entità : %s"
"Cancel","Annulla"
"Cannot complete this operation from non-admin area.","Impossibile completare l\'operazione in una zona non-admin."
"Card type does not match credit card number.","Il tipo di carda non corrisponde con il numero della carta di credito."
"Code","Codice"
"Controller file was loaded but class does not exist","Il file controller è stato caricato ma la classe non esiste"
"Cookie Domain","Cookie Dominio"
"Cookie Lifetime","Durata cookie"
"Cookie Path","Percorso cookie"
"Cookie Restriction Mode","Modalità  Cookie Restriction"
"Copyright","Copyright"
"Core","Core"
"Countries Options","Opzioni paesi"
"Country","Paese"
"Create Store","Crea negozio"
"Create Store View","Crea vista negozio"
"Create Website","Crea sito web"
"Credit card number does not match credit card type.","Il numero della carta di credito non corrisponde al tipo della carta."
"Current Package Name","Nome pacchetto corrente"
"Custom Admin Path","Percorso admin personalizzato"
"Custom Admin URL","URL admin personalizzato"
"Custom Design","Design personalizzato"
"Custom Email 1","Email personalizzata 1"
"Custom Email 2","Email personalizzata 2"
"Custom Variables","Variabili personalizzate"
"Custom1 Contact Email","Personalizzato1 email di contatto"
"Custom1 Contact Name","Personalizzato1 nome di contatto"
"Custom2 Contact Email","Personalizzato2 email di contatto"
"Custom2 Contact Name","Personalizzato2 nome di contatto"
"Customer Support","Assistenza clienti"
"Dashboard","Dashboard"
"Date From","Dalla data"
"Date To","Alla data"
"Date/time format ""%s"" is not supported.","Data/ora formato ""%s"" non supportato."
"Debug","Debug"
"Default","Predefinito"
"Default Country","Paese predefinito"
"Default Description","Descrizione predefinita"
"Default Keywords","Keywords predefinite"
"Default No-route URL","No-route URL predefinito"
"Default Pages","Pagine di default"
"Default Robots","Robots predefiniti"
"Default Store","Negozio predefinito"
"Default Store View","Vista negozio predefinita"
"Default Title","Titolo predefinito"
"Default Web URL","Web URL predefinito"
"Delete","Cancella"
"Delete Store","Cancella negozio"
"Delete Store View","Cancella vista negozio"
"Delete Website","Cancella sito web"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Cancellazione di %1$s non cancellerà le informazioni associate con il %1$s (e.g. categorie, prodotti, etc.), ma le %1$s non si potranno ripristinare. Ti suggeriamo di creare un backup del database prima di cancellare i %1$s."
"Design","Design"
"Design Change","Modifiche al Design"
"Developer","Sviluppatore"
"Developer Client Restrictions","Restrizioni Clienti-Developer"
"Disable Email Communications","Disabilita comunicazioni Email"
"Disable Modules Output","Disabilita output dei moduli"
"Display Demo Store Notice","Visualizza notifica Negozio Demo"
"Duplicate Of Template Name","Duplicati del nome Template"
"Edit Design Change","Edita modifiche Design"
"Edit Store","Modifica negozio"
"Edit Store View","Modifica vista negozio"
"Edit Website","Modifica sito web"
"Empty identifier field name","Nome Indentificativo campo vuoto"
"Empty main table name","Nome tabella principale vuoto"
"Enable Charts","Abilita grafici"
"Enabled","Abilitato"
"Enabled for Admin","Abilitato per l'admin"
"Enabled for Frontend","Abilitato per il Frontend"
"Environment Update Time","Tempo aggiornamento ambiente"
"Error in file: ""%s"" - %s","Errore nel file: ""%s"" - %s"
"European Union Countries","Paesi dell'Unione Europea"
"Exceptions Log File Name","Nome File di Log Exceptions"
"Favicon Icon","Icona Favicon"
"File %s does not exist","Il file %s non esiste"
"File %s is not readable","Il file %s non è leggibile"
"File not found","File non trovato"
"File system","File di sistema"
"File with an extension ""%value%"" is protected and cannot be uploaded","I file con estensione ""%value%"" sono protetti e non possono essere caricati"
"First Day of Week","Primo giorno della settimana"
"Flush Cache Storage","Pulisci Cache Storage"
"Flush Magento Cache","Pulisci cache Magento"
"Footer","Footer"
"Forgot Password Email Sender","Email mittente per password dimenticata"
"Forgot Password Email Template","Template Email per password dimenticata"
"General","Generale"
"General Contact","Contatto generale"
"General Contact Email","Email di contatto generale"
"General Contact Name","Nome di contatto generale"
"General Settings","Impostazioni generali"
"Get info about current Magento installation","Ottieni informazioni sull\'attuale installazione di Magento"
"Global","Globale"
"HTML Head","HTML Head"
"HTML tags are not allowed","I tag HTML non sono permessi"
"Header","Header"
"Host","Host"
"How many links to display at once.","Numero link visualizzabili per volta."
"ID Path for Specified Store","ID percorso per il negozio specificato"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Se la posizione corrente del frame non comprende il massimo delle pagine, rendere il link della posizione corrente maggiore/minore di questo valore."
"Incorrect credit card expiration date.","Data scadenza carta di credito non corretta."
"Input type ""%value%"" not found in the input types list.","Tipo di input ""%value%"" non trovato nella lista dei tipi di input."
"Invalid URL '%value%'.","URL non valido '%value%'."
"Invalid base url type","Tipo base url non valido"
"Invalid block name to set child %s: %s","Nome blocco non valido per impostare figlio %s: %s"
"Invalid block type: %s","Tipo blocco non valido: %s"
"Invalid block: %s","Blocco non valido: %s"
"Invalid connection","Connessione non valida"
"Invalid date","Data non valida"
"Invalid layout update handle","Aggiornamento layout da gestire non valido"
"Invalid messages storage ""%s"" for layout messages initialization","Messaggio archiviazione non valido ""%s"" per l\'inizializzazione messaggi layout"
"Invalid query","Query non valida"
"Invalid transactional email code: %s","Codice email transazionale non valido: %s"
"Invalid website\'s configuration path: %s","Percorso di configurazione del sito non valido: %s"
"JavaScript Settings","Impostazioni JavaScript"
"Layout","Layout"
"Leave empty for access from any location.","Lasciare vuoto per accedere da una posizione qualsiasi."
"List of stores","Lista dei negozi"
"Locale","Locale"
"Locale Options","Opzioni locale"
"Log Settings","Impostazioni log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Registrazione da Mage::log(). Il file si trova in {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Registrazione da Mage::logException(). Il file si trova in {{base_dir}}/var/log"
"Login is Case Sensitive","Il login è case sensitive"
"Logo Image","Immagine logo"
"Logo Image Alt","Alt immagine logo"
"Logo Image Src","Src Immagine Logo"
"Magento info","Magento info"
"Magento info API","Magento info API"
"Mail Sending Settings","Impostazioni invio mail"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Assicurati che la base URL finisca con '/' (slash), es. http://yourdomain/magento/"
"Manage Stores","Gestione negozi"
"Match expressions in the same order as displayed in the configuration.","Abbina espressioni nello stesso ordine visualizzato nella configurazione."
"Media Storage","Media Storage"
"Merge CSS Files","Unisci file CSS"
"Merge JavaScript Files","Unisci file JavaScript"
"Miscellaneous HTML","HTML Vario"
"Miscellaneous Scripts","Script vari"
"Model collection resource name is not defined.","Il nome della raccolta risorse modello non è definito."
"Module ""%1$s"" cannot depend on ""%2$s"".","Il modulo ""%1$s"" non può dipendere da ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Il modulo ""%1$s"" richiede il modulo ""%2$s""."
"Name","Nome"
"New Design Change","Nuova modifica al design"
"New Store","Nuovo negozio"
"New Store View","Nuova vista negozio"
"New Website","Nuovo sito web"
"No","No"
"Offloader header","Offloader header"
"PHP SOAP extension is required.","L\'estensione PHP SOAP è necessaria."
"Package","Pacchetto"
"Pagination","Impaginazione"
"Pagination Frame","Frame Impaginazione"
"Pagination Frame Skip","Salta frame di impaginazione"
"Parent directory does not exist: %s","La directory genitore non esiste: %s"
"Path ""%value%"" is not available and cannot be used.","Il percorso ""%value%"" non è disponibile e non può essere utilizzato."
"Path ""%value%"" is protected and cannot be used.","Il percorso ""%value%"" è protetto e non può essere utilizzato."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Il percorso ""%value%"" non può includere l\'attraversamento di directory genitore (""../"", ""..\\)."""
"Please define flag code.","Definire il codice flag."
