"10 minutes","10 minuti"
"15 minutes","15 minuti"
"20 minutes","20 minuti"
"30 minutes","30 minuti"
"5 minutes","5 minuti"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) – tutti i tempi sono in minuti"
"Daily","Giornaliero"
"Failure History Lifetime","Cronologia completa Fallita"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Per una corretta generazione degli URL durante l'esecuzione cron assicurati che questo Web > Secure and Unsecure Base URLs siano impostate in modo esplicito."
"Generate Schedules Every","Genera programma ogni volta"
"History Cleanup Every","Pulisci cronologia ogni volta"
"Hourly","Orario"
"Invalid callback: %s::%s does not exist","Richiamo non valido: %s::%s non esiste"
"Invalid model/method definition, expecting ""model/class::method"".","Definizione modello/metodo non valido, attendi ""modello/classe::metodo""."
"Minute Intervals","Intervalli al minuto"
"Missed if Not Run Within","Errato se non eseguito entro"
"Monthly","Mensile"
"No callbacks found","Nessun richiamo trovato"
"Schedule Ahead for","Programma prima per"
"Success History Lifetime","Cronologia totale eseguita con successo"
"Too late for the schedule.","Troppo tardi per il programma"
"Unable to delete the cron task.","Impossibile eliminare le cron task."
"Unable to save the cron expression.","Impossibile salvare l\'espressione cron."
"Weekly","Settimanalmente"
