" or ","o"
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' sembra essere un hostname DNS ma non è possibile estrarre il TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' sembra essere un hostname DNS ma il TLD non corrisponde alle estensioni note"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' sembra essere un hostname DNS ma non corrisponde allo schema degli hostname con TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","%value%' sembra essere un hostname DNS ma contiene un trattino in una posizione non valida"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","%value%' sembra essere un hostname DNS ma la stringa punycode fornita non può essere decodificata "
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' sembra essere il nome di una rete locale, ma i nomi di rete locale non sono consentiti."
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' sembra essere un indirizzo IP, ma gli indirizzi IP non sono consentiti."
"'%value%' does not appear to be a valid local network name","'%value%' non sembra essere un nome di rete locale valido"
"* Required Fields","* Campi obbligatori"
"ALL GROUPS","TUTTI I GRUPPI"
"Account Dashboard","Bacheca Account"
"Account Information","Informazioni account"
"Account Sharing Options","Opzioni di condivisione account"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Conferma account richiesto. Per favore, controlla la tua e-mail per il link di conferma.. Per rinviare l\'email di conferma  <a href=""%s"">clicca qui</a>."
"Action","Azione"
"Add New Address","Aggiungi nuovo indirizzo"
"Add New Customer","Aggiungi nuovo cliente"
"Add New Customer Group","Aggiungi nuovo gruppo cliente"
"Added From","Aggiunto da"
"Additional Address Entries","Voci indirizzi aggiuntivi"
"Address","Indirizzi"
"Address Book","Rubrica"
"Address Books","Rubriche"
"Address Information","Informazioni indirizzo"
"Address Templates","Templates indirizzo"
"Addresses","Indirizzi"
"Admin","Amministratore"
"All","Tutto"
"All Store Views","Visualizza tutti i negozi"
"All countries","Tutti i paesi"
"Always optional.","Sempre opzionale."
"Amount","Importo"
"An error occurred while deleting the address.","Errore durante la cancellazione dell\'indirizzo."
"An error occurred while retrieving the option value: %s.","Errore durante il recupero della scelta del valore: %s."
"An error occurred while saving the collection, aborting. Error: %s","Errore durante il salvataggio della collezione, annullamento in corso Errore: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Specificata opzione ID non valida per %s (%s), la registrazione verrà saltata."
"Approved","Approvato"
