"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Actions XML is not valid.","Actions XML non è valido."
"An error occurred while opening file: ""%s"".","Errore nell\'apertura file: ""%s""."
"Could not load file: ""%s"".","Impossibile caricare file: ""%s""."
"Could not save file: %s.","Impossibile caricare file: %s."
"Declared adapter %s was not found.","Adattatore dichiarato %s non trovato."
"Destination folder ""%s"" is not a directory.","Cartella di destinazione ""%s"" non è una cartella."
"Destination folder ""%s"" is not writable.","Cartella di destinazione ""%s"" non scrivibile."
"Done","Fatto"
"Dry run set, stopping execution.","Dry run impostato, esecuzione interrotta"
"ETA: %s","ETA: %s"
"Error in field mapping: field list for mapping is not defined.","Errore nel campo della mapparuta: lista del campo per la mappatura non definita."
"File ""%s"" does not exist.","File ""%s"" non esistente."
"Found %d rows.","Trovate %d righe."
"Less than a minute","Meno di un minuto."
"Loaded successfully: ""%s"".","Caricato con successo: ""%s""."
"Memory Used: %s","Memoria utilizzata: %s"
"Method ""%s"" not defined in adapter %s.","Metodo ""%s"" non definito per l\'adattatore %s."
"Method ""%s"" was not defined in adapter %s.","Metodo  ""%s""non è stato definito per l\'adattatore %s."
"Please declare ""adapter"" and ""method"" nodes first.","Dichiara prima i nodi ""adattatore"" e ""metodo""."
"Processed records: %s","Registrazioni processate: %s"
"Profile with the same name already exists.","Esiste già un profilo con lo stesso nome."
"Saved successfully: ""%s"" [%d byte(s)].","Salvato con successo: ""%s"" [%d byte(s)]."
"Sheet 1","Foglio 1"
"Skip undefined row.","Salta riga non definita"
"Starting %s :: %s","Inizio %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","La cartella di destinazione ""%s"" non esiste o non esiste un accesso per crearla."
"Total records: %s","Totale registrazioni: %s"
"hour","ora"
"hours","ore"
"minute","minuto"
"minutes","minuti"
