"""%s"" contains not only digit characters.","""%s"" non contiene solo caratteri numerici."
"""%s"" does not fit the entered date format.","""%s"" non combacia con il formato di data inserito."
"""%s"" exceeds the allowed file size.","""%s"" supera la dimensione di file consentita."
"""%s"" exceeds the allowed length.","""%s"" supera la lunghezza consentita."
"""%s"" has not only alphabetic and digit characters.","""%s"" non contiene solo caratteri alfabetici e numeri."
"""%s"" has not only alphabetic characters.","""%s"" non contiene solo caratteri alfabetici."
"""%s"" height exceeds allowed value of %s px.","L'altezza ""%s"" supera il valore consentito di %s px."
"""%s"" invalid type entered.","Tipo invalido ""%s"" inserito."
"""%s"" is a required value.","""%s"" è un valore obbligatorio."
"""%s"" is an empty string.","""%s"" è un stringa vuota."
"""%s"" is not a valid URL.","""%s"" non è un URL valido."
"""%s"" is not a valid date.","""%s"" non è una data valida."
"""%s"" is not a valid email address.","""%s"" non è un indirizzo email valido."
"""%s"" is not a valid file","""%s"" non è un file valido"
"""%s"" is not a valid file extension.","""%s"" non è una estensione di file valida."
"""%s"" is not a valid file.","""%s"" non è un file valido."
"""%s"" is not a valid hostname.","""%s"" non è un hostname valido."
"""%s"" is not a valid image format","""%s"" non è un formato di immagine valido"
"""%s"" length must be equal or greater than %s characters.","La lunghezza di ""%s"" deve essere uguale o maggiore di %s caratteri."
"""%s"" length must be equal or less than %s characters.","La lunghezza di ""%s"" deve essere uguale o minore di %s caratteri."
"""%s"" width exceeds allowed value of %s px.","La larghezza di ""%s"" supera il valore consentito di %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' sembra essere un nome di rete locale, ma i nomi di rete locale non sono consentiti"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' sembra essere un indirizzo IP, ma gli indirizzi IP non sono consentiti"
"'%value%' does not appear to be a valid URI hostname","'%value%' non sembra essere un URI hostname valido"
"'%value%' does not appear to be a valid local network name","'%value%' non sembra essere un nome di rete locale valido"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' non corrisponde alla struttura prevista per un hostname DNS"
"A joint field with this alias (%s) is already declared","A joint field with this alias (%s) is already declared"
"Add Option","Aggiungi opzione"
"An error occurred while loading a record, aborting. Error: %s","Errore nel caricamento della registrazione, annullamento. Errore: %s"
"An error occurred while loading the collection, aborting. Error: %s","Errore nel caricamento della collezione, annullamento. Errore: %s"
"An error occurred while saving a record, aborting. Error: ","Errore nel salvataggio della registrazione, annullamento. Errore: "
