"Active","Attivo"
"Add Attribute Mapping","Aggiungi attributo mappatura"
"Add New Attribute","Aggiungi nuovo attributo"
"Add to Google Base","Aggiungi a Google Base"
"Are you sure?","Sei sicuro?"
"Attribute","Attributo"
"Attribute Set","Set attributo"
"Attribute Set and Item Type","Set attributi e altri tipi"
"Attributes","Attributi"
"Attributes Mapping","Mappatura attributi"
"Attributes Set","Set attributi"
"AuthSub","AuthSub"
"Available Products","Prodotti disponibili"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","La valuta corrente dovrebbe essere settata su %s per %s nella configurazione di sistema. Altrimenti il prezzo degli articoli non sarà corretto in Google Base."
"Cannot update Google Base Item for Store '%s'","Impossibile aggiornare oggetto Google Baseper questo negozio '%s'"
"Captcha confirmation error: %s","Errore conferma del Captcha: %s"
"Captcha has been confirmed.","Captcha è stato confermato."
"Catalog","Catalogo"
"Clicks","Clicks"
"ClientLogin","Accesso cliente"
"Confirm","Conferma"
"Current Mapping will be reloaded. Continue?","Questa mappatura verrà aggiornata. Continuare?"
"Custom attribute, no mapping","Attributi predefiniti, nessuna mappatura"
"Delete","Cancella"
"Delete Mapping","Cancella mappautura"
"Edit Item Type","Modifica tipo di oggetto"
"Edit Item Type ""%s""","Modifica tipo di oggetto ""%s"""
"Error: %s","Errore: %s"
"Expires","Scadenza"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Attributo Google Base"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base tipo oggetto"
"Google Base Item type","Google Base tipo oggetto"
"Google Base Items","Google Base oggetti"
"Google base","Google base"
"Hide","Nascondi"
"Hosted","Hosted"
"Hosted or Google","Hosted or Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Modello prodotto oggetto per Google Base non valido"
"Item Type was deleted","Tipo oggetto eliminato"
"Item Types","Tipi oggetto"
"Item model is not specified to delete Google Base entry.","Il modello dell\'oggetto non specificato per essere rimosso nell\'entrata Google Base."
"Items","Oggetti"
"Manage Attribute Mapping","Gestisci mappatura attributi"
"Manage Attributes","Gestisci attributi"
"Manage Items","Gestisci oggetti"
"New Item Type","Nuovo tipo oggetto"
"New ItemType","Nuovo tipo oggetto"
"No","No"
"No items were deleted from Google Base","Nessun oggetto è stato rimosso da Google Base"
"No items were published","Nessun oggetto è stato pubblicato"
"No items were saved as inactive items","Nessun oggetto è stato salvato come oggetto inattivo"
"No products were added to Google Base","No products were added to Google Base"
"Object model is not specified to save Google Base entry.","Il modello oggetto non è stato specificato per essere salvato all\'entrata Google Base."
"Please, select Attribute Set and Google Item Type to load attributes","Selezionare un set di attributi e un tipo articolo Google per caricare gli attributi"
"Product Name","Nome prodotto"
"Publish","Pubblica"
"Published","Pubblicato"
"Remove","Rimuovi"
"Save Mapping","Salva mappatura"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Sessione scaduta durante l\'esportazione. Per favore rivedi i prodotti esportati e ripeti il processo se necessario."
"Synchronize","Sincronizza"
"Target Country","Target Country"
"The item type has been saved.","Il tipo di oggetto è stato salvato."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Questa azione aggiornerà le statistiche degli oggetti ed eliminerò gli oggetti che non sono disponibili in Google Base. Continuare?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Totale di %d oggetti sono stati rimossi; totale di %d oggetti sono stati aggiornati."
"Total of %d items(s) have been published.","Totale di %d oggetti sono stati pubblicati."
"Total of %d items(s) have been removed from Google Base.","Totale di %d oggetti sono stati rimossi da Google Base."
"Total of %d items(s) have been saved as inactive items.","Totale di %d oggetti sono stati salvati come oggetti inattivi."
"Total of %d product(s) have been added to Google Base.","Totale di %d product(s) sono stati aggiunti a Google Base."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Impossibile connettersi a Google Base. Per favore, controlla le impostazioni account nelle configurazioni ."
"Unable to select a Store View.","Impossibile selezionare una visualizzazione del negozio"
"View Available Products","Visualizza oggetti disponibili"
"View Item in Google Base","Visualizza oggetti in Google Base"
"Yes","Sì"
