"%s Index process is working now. Please try run this process later.","%s Il processo di indicizzazione è attualmente in esecuzione. Si prega di provare ad avviare questo processo pilù tardi."
"%s index was rebuilt.","%s l\' indice è stato ricostruito."
"'%s' Index Process Information","'%s' Informazione del processo di indicizzazione"
"Action","Azione"
"Cannot initialize the indexer process.","Impossibile inizializzare il processo di indicizzazione"
"Change Index Mode","Cambio modalità indicizzazione"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Cliccare qui per andare su <a href=""%s"">Cache Management</a> e aggiornare I tipi di cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Cliccare qui per andare su <a href=""%s"">Gestione Indice</a> e ricostruire gli indici necessari."
"Delete","Cancella"
"Description","Descrizione"
"Disable","Disabilita"
"Enable","Abilita"
"General","Generale"
"Index","Indice"
"Index Description","Descrizione Indice"
"Index Management","Gestione Indice"
"Index Mode","Modalità Indice"
"Index Name","Nome Indice"
"Index mode","Modalità Indice"
"Indexer code is not defined.","Codice di indicizzazione non definito"
"Indexer model is not defined.","Modello Indicizzazione non definito"
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Il modello di indicizzazione deve estendere Mage_Index_Model_Indexer_Abstract."
"Manual Update","Aggiornamento Manuale"
"Mode","Modalità"
"Never","Mai"
"No","No"
"One or more of the Indexes are not up to date:","Uno o più indici non risultano aggiornati:"
"Please select Index(es)","Prego selezionare indice(i)"
"Please select Indexes","Prego selezionare gli indici"
"Process Information","Informazioni sul processo"
"Processing","Elaborazione"
"Ready","Pronto"
"Refresh","Aggiornamento"
"Reindex Data","Reindicizzazione Informazioni"
"Reindex Required","Necessario Reindicizzamento"
"Revoke","Revocare"
"Status","Stato"
"System","Sistema"
"The index has been saved.","L\' indice è stato salvato"
"There was a problem with reindexing process.","Si è verificato un problema con il processo di reindicizzazione"
"There was a problem with saving process.","Si è verificato un problema con il processo di salvataggio."
"Total of %d index(es) have changed index mode.","Un totale di %d indici hanno cambiato modalità di indice"
"Total of %d index(es) have reindexed data.","Un totale di %d indici hanno reindicizzato le informazioni"
"Update Required","Aggiornamento necessario"
"Update on Save","Aggiornamento al momento del salvataggio."
"Updated At","Aggiornato al"
"Yes","Si"
