" Copy"," Copia"
"Action","Azione"
"Add New Template","Aggiungi nuovo Template"
"Add to Queue","Aggiungi alla coda"
"Allow Guest Subscription","Consenti iscrizione ospiti"
"An error occurred while saving your subscription.","Si è verificato un errore salvando la tua sottoscrizione."
"Are you sure that you want to delete this template?","Sicuro di voler cancellare questo template?"
"Are you sure that you want to strip all tags?","Sicuro di voler rimuovere tutte le tag?"
"Back","Indietro"
"Cancel","Cancella"
"Cancelled","Cancellato"
"Cannot mark as received subscriber.","Impossibile segnare come ricevuto il sottoscrivente."
"Confirmation Email Sender","Mittente Email di conferma"
"Confirmation Email Template","Template Email Conferma"
"Confirmation request has been sent.","La richiesta di conferma è stata invitata."
"Convert to Plain Text","Convertire in testo semplice"
"Create Newsletter Template","Create Template Newsletter"
"Customer","Cliente"
"Customer First Name","Nome Cliente"
"Customer Last Name","Cognome Cliente"
"Customer My Account Newsletter Subscriptions","Iscrizione Newsletter Mio Account cliente"
"Date Added","Data aggiunta"
"Date Updated","Data aggiornata"
"Delete","Cancella"
"Delete Selected Problems","Cancella problemi selezionati"
"Delete Template","Cancella Template"
"Do you really want to cancel the queue?","Vuoi davvero cancellare la coda?"
"Duplicate template code.","Codice duplicazione template."
"Edit Newsletter","Modifica Newsletter"
"Edit Newsletter Template","Modifica Template Newsletter"
"Edit Queue","Modifica Coda"
"Edit Template","Modifica Template"
"Email","Email"
"Enter your email address","Inserisci il tuo indirizzo"
"Error Code","Codice errore"
"Error Text","Testo errore"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Segui questo linck per revocare la sottoscrizione <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Guest"
"ID","ID"
"Invalid queue selected.","Coda selezionata non valida"
"Invalid subscription ID.","ID di sottoscrizione non valido"
"Invalid subscription confirmation code.","Codice di conferma sottoscrizione non valido"
"Message","Mesaggio"
"Need to Confirm","Richiesta conferma"
"New Newsletter Template","Nuovo Template Newsletter"
"New Template","Nuovo Template"
"Newsletter","Newsletter"
"Newsletter Message Preview","Newsletter Anteprima Messaggio"
"Newsletter Problem Reports","Report problemi newsletter"
"Newsletter Queue","Newsletter Coda"
"Newsletter Section","Newsletter Sezione"
"Newsletter Sign-up:","Newsletter Iscirzione:"
"Newsletter Styles","Newsletter Stili"
"Newsletter Subscribers","Iscritti alla Newsletter"
"Newsletter Subscription","Iscrizione alla Newsletter"
"Newsletter Subscription Form Before","Newsletter Prima Form di Iscrizione"
"Newsletter Subscriptions","Iscrizioni alla Newsletter"
"Newsletter Templates","Newsletter Template"
"Newsletter subscription confirmation","Conferma iscrizione alla newsletter"
"Newsletter subscription success","Iscrizione alla Newsletter riuscita"
"Newsletter unsubscription success","Non sei più iscritto alla Newsletter"
"No Templates Found","Nessun Template trovato"
"No problems found.","Nessun problema trovato"
"No subscribers selected.","Nessun abbonato selezionato"
"Not Activated","Non attivato"
"Not Sent","Non inviato"
"Pause","Pausa"
"Paused","Fermato"
"Please enter a valid email address.","Prego inserire un indirizzo valido"
"Please enter new template name","Prego inserire un nuovo nome Template"
"Please refer to exeption.log","Fare riferimento a exeption.log"
"Please select subscriber(s)","Prego selezionare I sottoscrittori"
"Preview","Anteprima"
"Preview Template","Anteprima Template"
"Processed","Elaborato"
"Queue Date Start","Data inizio coda"
"Queue Finish","fine coda"
"Queue Information","Informazioni coda"
"Queue Newsletter...","Newsletter coda..."
"Queue Start","Inizio coda"
"Queue Subject","Soggetto coda"
"Recipients","Destinatari"
"Reset","Reset"
"Resume","Riprendi"
"Return HTML Version","Restituisci versione HTML"
"Save As","Salva come"
"Save Newsletter","Salva Newsletter"
"Save Template","Salva Template"
"Save and Resume","Salva and Riprendi"
"Selected problem subscribers have been unsubscribed.","I sottoscrittori con problemi selezionati sono stati rimossi dalla sottoscrizione"
"Selected problems have been deleted.","I problemi selezionati sono stati cancellati"
