"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' è troppo lungo. Deve avere una lunghezza di %min% simboli."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' è troppo corto. Deve avere una lunghezza di %min% simboli."
"* Required Fields","* Campo obbligatorio"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> ha richiesto l\'accesso al tuo account"
"Admin","Admin"
"After authorization application will have access to you account.","Dopo l\'autorizzazione l\ìapplicazione avrà accesso al tuo account."
"An error occurred on confirm authorize.","Si è verificato un errore durante la conferma dell\'autorizzazione."
"An error occurred on delete action.","Si è verificato un errore durante la cancellazione dell\'azione."
"An error occurred on delete application.","Si è verificato un errore durante la cancellazione dell\'applicazione."
"An error occurred on reject authorize.","Si è verificato un errore durante il rifiuto dell\'autorizzazione."
"An error occurred on saving consumer data.","Si è verificato un errore durante il salvataggio dei dati dell\'utente."
"An error occurred on update revoke status.","Si è verificato un errore durante l\'aggiornamento dello stato di revoca."
"An error occurred while deleting the consumer.","Si è verificato un errore durante la cancellazione dell\'utente."
"An error occurred.","Si è verificato un errore."
"An error occurred. Your authorization request is invalid.","Si è verificato un errore. La tua richiesta di autorizzazione non è valida."
"App Name","Nome app"
"Application ""%s"" has been deleted.","L\'applicazione ""%s"" è stata cancellata."
"Application ""%s"" has been enabled.","L\'applicazione ""%s"" è stata abilitata."
"Application ""%s"" has been revoked.","L\'applicazione ""%s"" è stata revocata."
"Application Name","Nome applicazione"
"Application not found.","Applicazione non trovata."
"Are you sure you want to delete this application?","Sei sicuro di voler cancellare questa applicazione?"
"Are you sure you want to disable this application?","Sei sicuro di voler disabilitare questa applicazione?"
"Are you sure you want to enable this application?","Sei sicuro di voler abilitare questa applicazione?"
"Authorization confirmed","Autorizzazione confermata"
"Authorization confirmed.","Autorizzazione confermata."
"Authorize","Autorizza"
"Authorize application","Autorizza applicazione"
"Authorized Tokens","Tokens autorizzazioni"
"Callback URL","Callback URL"
"Cleanup Probability","Probabilità di pulizia"
"Cleanup Settings","Impostazioni di pulizia"
"Close","Chiudi"
"Confirm OAuth token authorization","Conferma OAuth token autorizzazione"
"Confirm token authorization Pop Up for admin","Conferma firma token autorizzazione Pop Up per l\'admin"
"Confirm token authorization for admin","Conferma autorizzazione token per l\'admin"
"Confirmation Of Authorization","Conferma di autorizzazione"
"Consumer Information","Informazioni utente"
"Consumer Name","Nome utente"
"Consumers","Utenti"
"Created At","Creato in"
"Customer","Cliente"
"Customer My Account My OAuth Applications","Cliente Il mio account Le mie Applicazioni Oauth "
"Delete","Cancella"
"Disable","Disabilita"
"Disabled","Disabilitato"
"Edit","Modifica"
"Edit Consumer","Modifica utente"
"Email","Email"
"Email Address","Indirizzo email"
"Enable","Abilita"
"Enabled","Abilitato"
"Entry with ID #%s not found.","La voce con ID #%s non è stata trovata."
"Expiration Period","Periodo di scadenza"
"Give the verifier code to application administrator","Indica il codice di verifica all\'amministratore dell\'applicazione"
"ID","ID"
"Invalid Callback URL","URL di Callback non valido"
"Invalid ID parameter.","Parametro ID non valido."
"Invalid Rejected Callback URL","Rejected Callback URL non valido"
"Invalid entry ID.","ID inserito non valido."
"Invalid revoke status.","Revoca stato non valida."
"Key","Chiave"
"Log In","Accedi"
"Log in as a customer","Accedi come cliente"
"Log in as admin","Accedi come admin"
"Log in as customer","Accedi come cliente"
"Log in to use <strong>%s</strong>","Accedi per usare <strong>%s</strong>"
"Login","Accedi"
"My Applications","Le mie applicazioni"
"Name","Nome"
"New Consumer","Nuovo cliente"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Admin Le mie app"
"OAuth Authorized Tokens","OAuth Tokens autorizzate"
"OAuth Consumers","OAuth Utenti"
"OAuth authorization Pop Up for customer","OAuth autorizzazione Pop Up per i clienti"
"OAuth authorization for admin","OAuth autorizzazione per l\'admin"
"OAuth authorization for customer","OAuth per i clienti"
