"An error occurred while clearing the external full page cache.","Errore durante la pulizia della Full Page Cache esterna"
"Cookie Lifetime (seconds)","Durata Cookie (in secondi)"
"Enable External Cache","Abilita Cache Esterna"
"External Cache Control","Controlla Cache Esterna"
"External Full Page Cache Settings","Settaggi intera pagina Cache esterna"
"External Page Cache","External Page Cache"
"External full page cache.","Cache Intera Pagine Esterna."
"Failed to load external cache control","Caricamento del controlla pagina Cache esterna fallito"
"Flush External Page Cache","Cancella Pagina Cache Esterna"
"If empty, default value will be used.","Se vuoto, verrà usato il valore predefinito"
"The external full page cache has been cleaned.","L'intera pagina Cache esterna e' stata pulita"
"Zend Full Page Cache","Zend Intera Pagina Cache"
