"--Please Select--","--Selezionare--"
"AMEX","American Express"
"AURORE","Aurore"
"Activated Key","Activated Key"
"Amount does not match.","L'importo non corrisponde."
"An error has occurred","Si è verificato un errore"
"Authorization","Autorizzazione"
"CARTE","CARTE"
"CB","CB"
"Cannot create the invoice.","Impossibile creare la fattura."
"Card Verification Number","Numero di verifica"
"Cart Type","Tipo di carta"
"Click <a href=""%s"">here</a> to continue shopping.","Clicca <a href=""%s"">qui</a> per continuare a fare acquisti."
"Command Line Mode","Modalità linea di comando"
"Credit Card Number","Numero di carta di credito"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Credit Card Type","Tipo di carta di credito"
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Card Types","Tipi di carte di pagamento"
"Customer Choise","Customer Choise"
"DEU (German)","DEU (Tedesco)"
"DINERS","DINERS"
"Debug Flag","Indicatore di debug"
"Delay in Displaying the Intermediary Page (in msec)","Delay in Displaying the Intermediary Page (in msec)"
"E CARD","E CARD"
"ESP (Spanish)","ESP (Spagnolo)"
"EUROCARD & MASTERCARD","EUROCARD & MASTERCARD"
"Enabled","Abilitato"
"Error in refunding the payment","Error in refunding the payment"
"Expiration Date","Data di scadenza"
"FRA (French)","FRA (Francese)"
"GBR (English)","GBR (Inglese)"
"GET","GET"
"HTML Form","Formulario HTML"
"ITA (Italian)","ITA (Italiano)"
"JCB","JCB"
"Language of the Payment Page","Lingua della pagina di pagamento"
"Management Mode of the Intermediary Page","Management Mode of the Intermediary Page"
"Mode A","Modo A"
"Mode B","Modo B"
"Mode C","Modo C"
"Mode D","Modo D"
"Mode E","Modo E"
"Mode of Retrieval of Information","Modalità di recupero delle informazioni"
"NLD (Dutch)","NLD (Olandese)"
"Name of the Button on the Intermediary Page","Name of the Button on the Intermediary Page"
"Name on Card","Proprietario della carta"
"Name on the Card: %s","<strong>Nome sulla carta:</strong> <span class=""nowrap"">%s</span>"
"New Order Status","Stato di un nuovo ordine"
"Only if the ""HTML From"" mode selected.","Solamente se è stata selezionata la modalità ""Formulario HTML""."
"Only with ""Command Line"" mode.","Solamente per la modalità ""Linea di comando""."
"Order does not match.","L'ordine non corrisponde."
"PAYBOX Identifier","Nome utente PAYBOX"
"PAYNOVA","PAYNOVA"
"PAYPAL","PAYPAL"
"POST","POST"
"Paybox CGI File","File CGI Paybox"
"Paybox Direct","Paybox Direct"
"Paybox System","Paybox System"
"Paybox payment gateway is not available right now","Il gateway di pagamento Paybox non è al momento disponibile."
"Payment","Pagamento"
"Payment Action","Azione di pagamento"
"Payment Type","Tipo di pagamento"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Ping Flag","Ping Flag"
"Please Select","Please Select"
"Rank Number","Rank Number"
"SWE (Swedish)","SWE (Svedese)"
"SYMPASS","SYMPASS"
"Screen Background of the Intermediary Page","Screen Background of the Intermediary Page"
"Site Number (TPE)","Site Number (TPE)"
"Sort Order","Sort Order"
"Specify the URL of the primary backup payment server if different from default.","Specify the URL of the primary backup payment server if different from default."
"Specify the URL of the primary payment server if different from default.","Specify the URL of the primary payment server if different from default."
"Specify the URL of the second backup payment server if different from default.","Specify the URL of the second backup payment server if different from default."
"Specify the URL of the third backup payment server if different from default.","Specify the URL of the third backup payment server if different from default."
"TCP Port","Porta TCP"
"TCP port used to check the availability of a payment server if ""Ping Flag"" enabled (default port is 443).","TCP port used to check the availability of a payment server if ""Ping Flag"" enabled (default port is 443)."
"TERMINEO","TERMINEO"
"Text on the Intermediary Page","Text on the Intermediary Page"
"The URL of the Backup Payment Server","The URL of the Backup Payment Server"
"The URL of the Primary Backup Payment Server","The URL of the Primary Backup Payment Server"
"The URL of the Primary Payment Server","The URL of the Primary Payment Server"
"The URL of the Second Backup Payment Server","The URL of the Second Backup Payment Server"
"The URL of the Third Backup Payment Server","The URL of the Third Backup Payment Server"
"The customer has returned from Paybox.","The customer has returned from Paybox."
"The customer was redirected to Paybox","Il cliente è stato reindirizzato a Paybox"
"The customer was redirected to Paybox using 'command line' mode.","The customer was redirected to Paybox using 'command line' mode."
"The customer was refused by Paybox.","Il cliente è stato negato da Paybox."
"The customer was rejected by Paybox.","Il cliente è stato rifiutato da Paybox."
"The invoice has been created.","La fattura è stata creata."
"The order was canceled by the customer.","L'ordine è stato annullato dal cliente."
"There are no orders.","There are no orders."
"There has been an error processing your payment.","There has been an error processing your payment."
"There has been an error processing your payment. Please try later or contact us for help.","There has been an error processing your payment. Please try later or contact us for help."
"Time-out (in seconds) to check the avalaibility of the primary backup payment server (default 10 seconds).","Time-out (in seconds) to check the avalaibility of the primary backup payment server (default 10 seconds)."
"Time-out (in seconds) to check the avalaibility of the primary payment server (default 8 seconds).","Time-out (in seconds) to check the avalaibility of the primary payment server (default 8 seconds)."
"Time-out (in seconds) to check the avalaibility of the second backup payment server (fefault 20 seconds).","Time-out (in seconds) to check the avalaibility of the second backup payment server (fefault 20 seconds)."
"Time-out (in seconds) to check the avalaibility of the third backup payment server (default 20 seconds).","Time-out (in seconds) to check the avalaibility of the third backup payment server (default 20 seconds)."
"Timeout for Checking","Timeout for Checking"
"Title","Titolo"
"VISA","VISA"
"What is this?","What is this?"
"You will be redirected to Paybox in a few seconds.","Sarai reindirizzato in pochi secondi a Paybox."
"You will be redirected to the Paybox website when you place an order.","You will be redirected to the Paybox website when you place an order."
