"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Validazione Carta"
"API Login ID","API Login ID"
"Accepted Currency","Valuta Accettata"
"Allow Partial Authorization","Consenti autorizzazione parziale"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Sicuro di voler annullare il pagamento? Premere OK per annullare il pagamento e rilasciare la cifra trattenuta. Premere Annulla per inserire un\' altra carta di credito e proseguire con il pagamento."
"Authorize Only","Autorizza solo"
"Authorize and Capture","Autorizza e acquisisci"
"Authorize.Net Transaction ID %s","Authorize.Net transizione ID %s"
"Authorize.net","Authorize.net"
"Cancel","Annulla"
"Centinel API URL","Centinel API URL"
"Credit Card Types","Tipi Carte Di Credito"
"Credit Card Verification","Verifica Carta di Credito"
"Credit Card: xxxx-%s","Carta di Credito: xxxx-%s"
"Debug","Debug"
"Email Customer","Email Utente"
"Enabled","Abilitato"
"Error in payment gateway.","Error nel gateway di pagamento."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Le azioni Gateway sono bloccate perchè il gateway non può completare una o più transazioni. Prego loggarsi nel vostro profilo Authorize.Net per risolvere manualmente il problema."
"Gateway error: %s","Errore di Gateway: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Se vuoto, un valore predefinito verrà utilizzato. URL predefinita può essere fornita da un accordo CardinalCommerce."
"Invalid amount for authorization.","totale non valido per l\'autorizzazione."
"Invalid amount for capture.","Totale invalido per l\'acquisizione."
"Invalid amount for partial authorization.","Totale non valido per autorizzazione parziale."
"Invalid amount for refund.","Totale non valido per il rimborso."
"Invalid split tenderId ID.","Invalid split tenderId ID."
"Invalid transaction ID.","ID Transazione non valida"
"Maximum Order Total","Massimo Totale Ordine"
"Merchant's Email","Email Venditore"
"Minimum Order Total","Minimo Totale Ordine"
"New Order Status","Stato Del Nuovo Ordine"
"Parent Authorize.Net transaction (ID %s) expired","Transazione Parente Authorize.Net (ID %s) scaduta"
"Payment Action","Azione Pagamento"
"Payment authorization error.","Errore Autorizzazione Pagamento"
"Payment canceling error.","Errore Annullamento Pagamento"
"Payment capturing error.","Errore acquisizione pagamento."
"Payment from Applicable Countries","Pagamento da paesi consentiti"
"Payment from Specific Countries","Pagamento da paesi specifici"
"Payment partial authorization error.","Errore pagamento autorizzazione parziale"
"Payment refunding error.","Errore Rimborso Pagamento"
"Payment updating error.","Errore aggiornamento pagamento."
"Payment voiding error.","Errore annullamento pagamento."
"Processed Amount","Totale elaborato"
"Remaining Balance","Bilancio Rinominato"
"Severe 3D Secure Card Validation","Convalida carta Severe 3D Secure"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Shopping cart contents and/or address has been changed.","Carrello spesa e/o indirizzo, risultano cambiati."
"Sort Order","Ordina"
"Test Mode","Modalità Test"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","Il totale sulla sua carta di credito è insufficiente per completare l\'acquisto. La cifra disponibile è stata trattenuta. Per completare l\'acqusito premere OK e specificare il numero di carta di credito addizionale. Per annullare l\'acquisto e rilasciare la cifra trattenuta, premere Annulla."
"There was an error canceling transactions. Please contact us or try again later.","Si è verificato un errore nella cancellazione della transazione. Si prega di contattarci o riprovare più tardi."
"Title","Titolo"
"Transaction Key","Chiave della transazione"
"You have reached the maximum number of credit card allowed to be used for the payment.","Si è raggiunto il numero massimo di carte di credito consentito per effetturare il pagamento."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Si è raggiunto il numero massimo di carte di credito consentito per effetturare un pagamento. La cifra totale disponibile su tutte le carte di credito usate è risultata insufficiente per completare il pagamento. Il pagamento è stato annullato ed il totale trattenuto è stato rilasciato."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","La carta di credito è stata rifiutata. Premere OK per specificare un\' altra carta di credito e completare l\'acquisto. Premere Annulla per rilasciare il totale trattenuto e selezionare un altro metodo di pagamento."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Il tuo ordine non è stato effettuato, perché il contenuto del carrello e/o l\'indirizzo è stato cambiato. L'ammontare autorizzato nei pagamenti precedenti in attesa è stato ora rilasciato. Si prega di effettuare il processo di checkout per il contenuto recente del vostro carrello."
"Your payment has been cancelled. All authorized amounts have been released.","Il pagamento è stato annullato. Tutte le cifre autorizzate sono state rilasciate."
"amount %s","totale %s"
"authorize","autorizza"
"authorize and capture","Autorizza e acquisisci"
"capture","acquisisci"
"failed","fallito"
"refund","rimborso"
"successful","successo"
"void","vuoto"
