"""Remember Me"" Default Value","""Ricordami"" Valore di Default"
"(Not %s?)","(Non %s?)"
"* Required Fields","* Campi obbligatori"
"Address","Indirizzo"
"Address Information","Informazioni indirizzo"
"Already registered?","Già registrato?"
"Back","Indietro"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Creando un account con il nostro negozio, sarai in grado di muoverti velocemente attravarso il processo di checkout, salvare indirizzi multipli di spedizione, visualizzare e tracciare i tuoi ordini nel tuo account e altro ancora."
"Cannot load configuration from file %s.","Impossibile caricare la configurazione dal file %s."
"Checkout as Guest","Checkout come ospite"
"Checkout as a Guest or Register","Checkout come ospite o registrati"
"City","Città"
"Clear Persistence on Log Out","Cancella persistenza sul Log Out"
"Close","Chiudi"
"Company","Azienda"
"Confirm Password","Conferma password"
"Continue","Continua"
"Country","Paese"
"Create an Account","Crea un account"
"Easy access to your order history and status","Accesso semplice al tuo storico ordini e allo stato"
"Email Address","Indirizzo email"
"Enable ""Remember Me""","Abilita ""Ricordami"""
"Enable Persistence","Abilita persistenza"
"Fast and easy check out","Check out facile e veloce"
"Fax","Fax"
"Forgot Your Password?","Hai dimenticato la password?"
"Forgot your password?","Hai dimenticato la password?"
"General Options","Opzioni generali"
"If you have an account with us, please log in.","Se hai un account esegui il l\'accesso."
"Loading next step...","Caricamento passo successivo..."
"Login","Accedi"
"Login Information","Informazioni di login"
"Login or Create an Account","Accedi o crea un account"
"New Customers","Nuovo cliente"
"Password","Password"
"Persist Shopping Cart","Carrello persistente"
"Persistence Lifetime (seconds)","Durata persistenza (secondi)"
"Persistent Shopping Cart","Carrello persistente"
"Personal Information","Informazioni personali"
"Please log in below:","Accedi di seguito:"
"Please select region, state or province","Selezionare la regione, lo stato o la provincia"
"Register","Registrati"
"Register and save time!","Registrati e risparmia tempo!"
"Register to Create an Account","Registrati per creare un account"
"Register with us for future convenience:","Registrati per una convenienza futura:"
"Registered Customers","Clienti registrati"
"Remember Me","Ricordami"
"Save in address book","Salva nella rubrica"
"Select State/Province...","Seleziona stato/Provincia..."
"Select a billing address from your address book or enter a new address.","Seleziona un indirizzo di fatturazione dalla tua rubrica o inserisci un nuovo indirizzo."
"Ship to different address","Spedisci ad un indirizzo diverso"
"Ship to this address","Spedisci a questo indirizzo"
"Shopping cart has been updated with appropriate prices","Il carrello è stato aggiornato con i prezzi adeguati"
"Sign Up for Newsletter","Iscriviti alla newsletter"
"State/Province","Stato/Provincia"
"Street Address","Numero civico"
"Street Address %s","Numero civico %s"
"Submit","Sottoponi"
"Telephone","Telefono"
"To proceed to Checkout, please log in using your email address.","Per procedere al checkout, accedi utilizzando il tuo indirizzo email."
"VAT Number","Numero partita IVA"
"Welcome, %s!","Benvenuto, %s!"
"What\'s this?","Cos\'è questo?"
"Zip/Postal Code","Zip/Codice postale"
