"Actions","Azioni"
"Add Answer","Aggiungi Rispsota"
"Add New Answer","Aggiungi Nuova Risposta"
"Add New Poll","Aggiungi Nuovo Sondaggio"
"Answer Title","Titolo Risposta"
"Answer Title:","Testo Risposta:"
"Answer with the same title in this poll","Risposta con lo stesso titolo in questo sondaggio"
"Are you sure you want to delete it?","Sei sicuro di volerlo eliminare?"
"Assigned Answers","Risposte Assegnate"
"Closed","Chiuso"
"Community Poll","Sondaggio pubblico"
"Date Closed","Data Chiusura"
"Date Posted","Data pubblicazione"
"Delete","Elimina"
"Delete Answer","Elimina Risposta"
"Delete Poll","Elimina Sondaggio"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Non consentire più volte il voto allo stesso Indirizzo IP"
"Edit Answer '%s'","Modifica Risposta '%s'"
"Edit Poll '%s'","Modifica Sondaggio '%s'"
"Edit Poll Answer","Modifica Risposta Sondaggio"
"ID","ID"
"Invalid Answer.","Risposta non valida."
"New Poll","Nuovo Sondaggio"
"Number of Responses","Numero di risposte"
"Open","Aperto"
"Poll Answers","Risposte Sondaggio"
"Poll Information","Informazioni Sondaggio"
"Poll Manager","Amministra Sondaggio"
"Poll Question","Domanda Sondaggio"
"Poll information","Informazioni Sondaggio"
"Poll with the same question","Sondaggio con la stessa domanda"
"Polls","Sondaggi"
"Save Answer","Salva Risposta"
"Save Poll","Salva Sondaggio"
"Status","Stato"
"The answer has been saved.","La risposta è stata salvata."
"The poll does not exist.","Il sondaggio non esiste."
"Unable to find an answer to delete.","Impossibile trovare la risposta da eliminare."
"Visible In","Visibile in"
"Vote","Vota"
"Votes Count","Contatore Voti"
"Votes Count:","Contatore Voti:"
