"1 star","1 stella"
"2 stars","2 stelle"
"3 stars","3 stelle"
"4 stars","4 stelle"
"5 stars","5 stelle"
"Add New Rating","Aggiungi una nuova valutazione"
"Assigned Options","Assegna opzioni"
"Be the first to review this product","Recensisci il prodotto per primo"
"Default Value","Valore predefinito"
"Delete Rating","Elimina voto"
"Edit Rating","Modifica valutazione"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Se non specifichi un titolo per la valutazione in questo negozio, verrà usato il valore predefinito."
"Manage Ratings","Gestisci valutazioni"
"New Rating","Nuova valutazione"
"Option Label","Opzioni etichetta"
"Option Title","Opzioni titolo"
"Option Title:","Opzioni titolo:"
"Please select one of each ratings above","Per favore seleziona una valutazione qua sopra"
"Rating Information","Informazioni sulla valutazione"
"Rating Name","Nome valutazione"
"Rating Options","Opzioni voto"
"Rating Title","Titolo valutazione"
"Rating Visibility","Visibilità valutazione"
"Rating isn't Available","Voto non disponibile"
"Rating with the same title","Voto con lo stesso titolo"
"Save Rating","Salva valutazione"
"Sort Order","Ordinamento"
"Visible In","Visibile su"
