"ALL","TUTTE"
"ANY","ALMENO UNA DI"
"Add","Aggiungi"
"Apply","Applica"
"Conditions Combination","Combinazioni di condizioni"
"Customer Groups must be specified.","Gruppo clienti deve essere specificato."
"End Date must be greater than Start Date.","La Data di Fine deve essere maggiore della Data di Inizio"
"FALSE","FALSE"
"If %s of these conditions are %s:","Se %s queste condizioni sono %s:"
"Invalid discount amount.","Importo sconto non valido"
"Open Chooser","Apri selettore"
"Perform following actions","Esegui le seguenti azioni"
"Please choose a condition to add...","Seleziona una condizione da aggiungere..."
"Please choose an action to add...","Selezione un\'azione da aggiungere"
"Remove","Rimuovi"
"TRUE","VERE"
"There is no information about associated entity type ""%s"".","Non ci sono informazioni sulle entità associate di tipo ""%s"". "
"Websites must be specified.","I siti web devono essere specificati."
"by","da"
"contains","contiene"
"does not contain","non contiene"
"does not contains","non contiene"
"equals or greater than","uguale o maggiore di"
"equals or less than","uguale o minore di"
"for","per"
"for greater than","per maggiori di"
"for or greater than","per o maggiori di "
"found","trovati"
"from","da"
"greater than","maggiore di"
"is","è"
"is not","non è"
"is not one of","non è uno di"
"is one of","è uno di"
"less than","meno di"
"not found","non trovato"
"not from","non da"
"to","a"
"was","era"
"was not","non era"
