"""%s"" coupon code is not valid.","""%s"" codice coupon non valido"
"%s","%s"
"%s / %s rate:","%s / %s tariffa:"
"%s for %s","%s per %s"
"%s order(s) cannot be canceled","gli ordini %s non possono essere cancellati"
"%s order(s) have been canceled.","gli ordini %s sono stati cancellati"
"%s order(s) have been put on hold.","gli ordini %s sono stati messi in sospensione"
"%s order(s) have been released from holding status.","gli ordini %s è stato liberato dallo stato di sospensione"
"%s order(s) were not put on hold.","gli ordini % non possono essere messi in sospensione"
"%s order(s) were not released from holding status.","gli ordini %s non sono stati liberati dalla sospensione"
"* - Enter custom price excluding tax","* - Inserisci prezzo predefinito tasse escluse"
"* - Enter custom price including tax","* - Inserisci prezzo predefinito tasse incluse"
"* Required Fields","* Campi obbligatori"
"-- Please Select --","--Seleziona  --"
"-- Please Select Billing Agreement--","-- Seleziona accordo di fatturazione--"
"About This Order:","Riguardo questo ordine:"
"About This Profile:","Riguardo questo profilo:"
"About Your Invoice","Riguardo la tua fattura"
"About Your Order","Riguardo il tuo ordine"
"About Your Refund","Riguardo il tuo rimborso"
"About Your Shipment","Riguardo la tua spedizione"
"Accept Payment","Accetta pagamento"
"Accept or Deny Payment","Accetta o rifiuta pagamento"
"Account Information","Informazioni account"
"Action","Azione"
"Actions","Azioni"
"Activate","Attiva"
"Active","Attivo"
"Add","Aggiungi"
"Add New Address","Aggiungi nuovo indirizzo"
"Add Order Comments","Aggiungi commento all'ordine"
"Add Package","Aggiungi pacchetto"
"Add Products","Aggiungi prodotti"
"Add Selected Product(s) to Option","Aggiunti prodotti selezionati alle opzioni"
"Add Selected Product(s) to Order","Aggiungi prodotti selezionati all'ordine"
"Add Selected Product(s) to Package","Aggiungi i prodotti selezionati al pacchetto"
"Add To Order","Aggiungi all\'ordine"
"Add Tracking Number","Aggiungi numero di tracciamento"
"Add comment to order","Aggiungi commento all\'ordine"
"Add new comment to credit memo","Aggiungi nuovo commento alla nota di credito"
"Add new comment to shipment","Aggiungi nuovo commento alla spedizione"
"Add new tracking number","Aggiungi nuovo numero di traccia"
"Add to Cart","Aggiungi al carrello"
"Additional Product Info","Informazioni aggiuntive prodotto"
"Address","Indirizzo"
"Address model is not defined.","Modello indirizzo non definito"
"Adjustment Fee","Regolazione tariffa"
"Adjustment Refund","Regolazione rimborso"
"Agreement Information","Accordo informazioni"
"Allow Reorder","Riordina"
"Amount","Importo"
"Amount: %s.","Importo: %s."
"An error occurred while assigning order status. Status has not been assigned.","Errore nell\'assegnazione dello status. Status non assegnato."
"An error occurred while creating shipping label.","Errore nella creazione dell\'etichetta di spedizione"
"An error occurred while saving order status. The status has not been added.","Errore nel salvataggio dello status. Status non aggiunto"
"An error occurred while unassigning order status.","Errore nell\annullamento ordine dello status"
