"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d regole carrello basato sugli attributi ""%s"" disabilitate."
"%s Coupon(s) have been generated","%s Coupon è stato generato"
"Actions","Azioni"
"Active","Attivo"
"Add New Rule","Aggiungi nuova regola"
"Alphabetical","Alfabetico"
"Alphanumeric","Alfanumerico"
"An error occurred while generating coupons. Please review the log and try again.","E' stato riscontrato un errore durante la creazione dei coupon. Controlla i log e riprova."
"Apply","Applica"
"Apply To","Applica a"
"Apply the rule only if the following conditions are met (leave blank for all products)","Applica la regola solo alle seguenti condizioni (lascia vuoto per tutti i prodotti)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Applica la regola soltanto agli oggetti del carrello che hanno le seguenti condizioni (lascia vuoto per tutti gli oggetti)"
"Apply the rule to cart items matching the following conditions","Applica la regola soltanto agli oggetti del carrello che hanno le seguenti condizioni"
"Apply to Shipping Amount","Applica all'importo di spedizione"
"Are you sure you want to delete the selected coupon(s)?","Sei sicuro di voler eliminare i coupon selezionati?"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Genera automaticamente specifici Codici Coupon"
"Buy X get Y free (discount amount is Y)","Compra X per avere Y gratis (l'importo dello sconto è Y)"
"By Fixed value","Per valore fisso"
"By Percentage","Per percentuale"
"Can\'t acquire coupon.","Impossibile acquisire coupon"
"Cart Attribute","Attributi carrello"
"Catalog","Catalogo"
"Code Format","Formato Codice"
"Code Length","Lunghezza Codice"
"Code Prefix","Prefisso Codice"
"Code Suffix","Suffisso Codice"
"Conditions","Condizioni"
"Conditions combination","Combinazione condizioni"
"Coupon","Coupon"
"Coupon Code","Codice coupon"
"Coupon Qty","Quantità coupon"
"Coupon with the same code","Coupon con lo stesso codice"
"Coupons Information","Informazioni Coupon"
"Created On","Creato in"
"Customer Groups","Gruppi utenti"
"Dash Every X Characters","Trattino ogni X caratteri"
"Date Expire","Data di scandenza"
"Date Start","Data di inizio"
"Default Label","Etichetta predefinita"
"Default Rule Label for All Store Views","Etichetta regola predefinita per tutte le visualizzazioni del negozio"
"Description","Descrizione"
"Discount Amount","Importo sconto"
"Discount Qty Step (Buy X)","Sconto Step Qtà (Compra X)"
"Edit Rule","Modifica regola"
"Edit Rule '%s'","Modifica regola '%s'"
"Excluding prefix, suffix and separators.","Escludendo prefisso, suffisso e separatori."
"FOUND","TOVATO"
"Fixed amount discount","Sconto importo fisso"
"Fixed amount discount for whole cart","Sconto importo fisso per l'intero carrello"
"For matching items only","Solo per oggetti corripondenti"
"For shipment with matching items","Per spedizione con oggetti corrispondenti"
"Free Shipping","Spedizione gratuita"
"From Date","Dalla data"
"General Information","Informazioni generali"
"Generate","Genera"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Se %s %s %s per una sottoselezione degli oggetti corrisponde a %s di queste condizioni:"
"If an item is %s in the cart with %s of these conditions true:","Se un oggetto è %s nel carrello con %s di queste condizioni vere:"
"If empty no separation.","Se vuoto nessuna separazione."
"If you select and save the rule you will be able to generate multiple coupon codes.","Se hai selezionato e salvato la regola sarai in grado di generare codici coupon multipli."
"Inactive","Inattivo"
"Item totals are not set for rule.","Nessuna regola importata per gli oggetti totali"
"Labels","Etichette"
"Manage Coupon Codes","Amministra Codici Coupon"
"Maximum Qty Discount is Applied To","Sconto applicabile a una Qtà massima di"
"NOT FOUND","NON TROVATO"
"NOT LOGGED IN","ACCESSO NON EFFETTUATO"
"New Rule","Nuova regola"
"No","No"
"No Coupon","Nessun Coupon"
"Not valid data provided","Dati forniti non validi"
"Number of Uses","Numero di usi"
"Numeric","Numerico"
"Payment Method","Metodo di pagamento"
"Percent of product price discount","Sconto percentuale prezzo del prodotto "
"Period","Periodo"
"Price in cart","Prezzo nel carrello"
"Priority","Priorità"
"Product attribute combination","Combinazioni attributo prodotto"
"Products subselection","Prodotti sottoselezionati"
"Promotions","Promozioni"
"Public In RSS Feed","Pubblica nei Feed RSS"
"Quantity in cart","Quantità nel carrello"
"Row total in cart","Riga totale nel carrello"
"Rule Information","Informazioni regola"
"Rule Name","Nome regola"
"Rule is not defined","La regola non è definita"
