"Add Recipient","Aggiungi destinatario"
"Allow for Guests","Disponibili per gli ospiti"
"An invalid email address for recipient was entered.","Email destinatario non valida"
"At least one recipient must be specified.","Deve essere specificato almeno un destinatario"
"Back","Indietro"
"Catalog Product Email to a Friend","Invia catalogo prodotti a un amico"
"Email Address","Indirizzo email"
"Email Address:","Indirizzo email:"
"Email Templates","Email Templates"
"Email to a Friend","Invia Email ad un amico"
"Email:","Email:"
"Enabled","Attivato"
"Invalid Sender Information","Informazioni mittente non valido"
"Invalid sender email.","Email mittente non valida"
"Limit Sending By","Limite di invio da"
"Max Products Sent in 1 Hour","Massimo prodotti inviati in un'ora"
"Max Recipients","Massimo dei destinatari"
"Maximum %d email addresses allowed.","Sono consentiti al massimo %d email "
"Message:","Messaggio:"
"Name","Nome"
"Name:","Nome:"
"No more than %d emails can be sent at a time.","Non possono essere spedite più di %d emails"
"Please define a correct Cookie instance.","Per favore definisci un corretto Cookie di esempio ."
"Please define a correct Product instance.","Per favore definisci un corretto prodotto di esempio ."
"Please define the correct Sender information.","Per favore definisci le informazioni del mittente corrette"
"Recipient:","Destinatario:"
"Remove Email","Rimuovi email"
"Select Email Template","Seleziona template email"
"Send Email","Invia Email "
"Send product to a friend","Invia prodotto ad un amico"
"Sender:","Mittente:"
"Some emails were not sent.","Alcune email non sono state inviate"
"The link to a friend was sent.","Il link è stata inviato all\'amico"
"The message cannot be empty.","Il messaggio non può essere vuoto"
"The messages cannot be sent more than %d times in an hour","Il messaggio non può essere inviato più di %d volte in un\'ora"
"The sender name cannot be empty.","Il nome del mittente non può esere vuoto"
"There were some problems with the data.","Ci sono alcuni problemi con i dati"
"You have exceeded limit of %d sends in an hour","Hai superato il limite di %d messaggi in un\'ora"
