"Action","Azione"
"Add Sitemap","Aggiungi Sitemap"
"Always","Sempre"
"CMS Pages Options","Opzioni pagine CMS "
"Categories Options","Opzioni categorie"
"Daily","Giornaliero"
"Edit Sitemap","Modifica mappa del sito"
"Enabled","Attivato"
"Error Email Recipient","Destinatario email errato"
"Error Email Sender","Mittente email errato"
"Error Email Template","Template email Errore"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Impossibile salvare il file ""%s"" assicurati che la cartella ""%s"" sia scrivibile da un web server"
"Filename","Nome file"
"Frequency","Frequenza"
"Generate","Genera"
"Generation Settings","Impostazioni di generazione"
"Google Sitemap","Sitemap Google"
"Hourly","Orario"
"ID","ID"
"Last Time Generated","Ultima generazione"
"Link for Google","Link per Google"
"Monthly","Mensile"
"Never","Mai"
"New Sitemap","Nuova mappa del sito"
"Path","Percorso"
"Please create the specified folder ""%s"" before saving the sitemap.","Per favore creare la cartella ""%s"" prima di salvare la mappa del sito."
"Please define correct path","Definire il percorso"
"Please make sure that ""%s"" is writable by web-server.","Assicurati che ""%s"" sia scrivibile dal web server"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Usa soltanto lettere (a-z o A-Z), numeri (0-9) o underscore (_) nel nome del file. Non sono ammessi spazi e altri caratteri"
"Priority","Priorità"
"Products Options","Opzioni prodotti"
"Sitemap","Sitemap"
"Sitemap generate Warnings","Avvertenze Sitemap Generata"
"Start Time","Tempo di avvio"
"Store View","Visualizza negozio"
"The priority must be between 0 and 1.","La priorità deve essere tra 0 e 1."
"The sitemap ""%s"" has been generated.","La mappa del sito ""%s"" è stata generata."
"The sitemap has been deleted.","La mappa del sito è stata cancellata."
"The sitemap has been saved.","La mappa del sito è stata salvata."
"This sitemap no longer exists.","Questa mappa del sito non è più disponibile."
"Unable to find a sitemap to delete.","Impossibile trovare una mappa del sito da cancellare."
"Unable to find a sitemap to generate.","Impossibile trovare una mappa del sito da generare."
"Unable to generate the sitemap.","Impossibile generare questa mappa del sito."
"Valid values range: from 0.0 to 1.0.","Range di valori valido: da 0.0 a 1.0."
"Weekly","Settimanalmente"
"Yearly","Annuale"
