" was not delivered nor scanned","non è stata consegnata, né acquisita"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Per Ordine"" permette una singola fee di gestione per tutto l'ordine. ""Per Package"" permette fee individuali per ogni pacco."
"1 Day Freight","Trasporto in 1 giorno"
"2 Day","2 giorni"
"2 Day AM","2 Giorni AM"
"2 Day Freight","Trasporto in 2 giorni"
"2Day","2 giorni"
"2nd Day Air","secondo giorno Aerea"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","Trasporto in 3 giorni"
"3 Day Select","Seleziona 3 giorni"
"Access ID","ID accesso"
"Access License Number","Numero accesso licenza"
"Account ID","ID account"
"Account Number","Numero account"
"Additional Protection Configuration Value","Valore configurazione protezione addizionale"
"Additional Protection Enabled","Protezione addizionale attivata"
"Additional Protection Min Subtotal","Protezione addizionale subtotale minimo"
"Additional Protection Value","Valore protezione addizionale"
"Additional Protection Value Rounding Method","Metodo di arrotondamento del valore di protezione addizionale"
"Adult","Adulto"
"Adult Signature Required","Firma Adulto Richiesta"
"Allowed Methods","Metodi consentiti"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Permette di dividere il peso totale dell\'ordine in parti più piccole se questo supera %s %s per garantire un accurato calcolo delle spese di spedizione."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Permette di dividere il peso totale dell\'ordine in parti più piccole se questo supera 70 kg per garantire un accurato calcolo delle spese di spedizione."
"Bound Printed Matter","Bound Printed Matter"
"Break bulk economy","Break bulk economy"
"Break bulk express","Break bulk express"
"Business Service Center","Business Service Center"
"Calculate Handling Fee","Calcola costi imballaggio"
"Canada Standard","Canada Standard"
"Cannot identify measure unit for %s","Impossibile identificare l\'unità di misura per %s"
"Cannot identify weight unit for %s","Impossibile identificare l\'unità di peso per %s"
"Cannot retrieve shipping rates","Impossibile recuperare tariffe di spedizione"
"Centimeters","Centrimetri"
"Commercial","Commerciale"
"Configuration","Configuratione"
"Container","Contenitore"
"Content Type","Tipo di contenuto"
"Customer Packaging","Pacco cliente"
"Customer Supplied Package","Pacco cliente fornito"
"Customer services","Servizi Cliente"
"DHL","DHL"
"DHL (Deprecated)","DHL (Deprecato)"
"DHL service is not available at %s date","Il servizio DHL non è disponibile alla data %s"
"Debug","Debug"
"Default Package Height","Altezza predefinita pacco"
"Default Package Length","Lunghezza predefinita pacco"
"Default Package Width","Larghezza predefinita pacco"
"Delivered","Consegnato"
"Delivery Confirmation","Conferma Spedizione"
"Depth","Spessore"
"Destination Type","Tipo di destinazione"
"Destination facility code is empty","Codice facilitato di destinazione è vuoto"
"Development","Sviluppo"
"Direct","Diretto"
"Displayed Error Message","Messaggi di errore visualizzati"
"Divide Order Weight","Dividi Peso Ordine"
"Documents","Documenti"
"Domestic Shipment Days","Giorni di risparmio familiare"
"Domestic economy select","Seleziona risparmio familiare"
"Domestic express","Domestic express"
"Drop Box","Drop box"
"Dropoff","Dropoff"
"Easy shop","Acquisto Semplice"
"Economy select","Seleziona risparmio"
"Empty response","Risposta vuota"
"Enable Negotiated Rates","Abilita Tariffe Negoziate"
"Enabled for Checkout","Attivato per il Checkout"
"Enables/Disables SSL verification of Magento server by UPS.","Attiva/Disattiva verifica SSL  Magento server by UPS."
"Error #%s : %s","Errore #%s : %s"
"Error #%s : %s (%s)","Errore #%s : %s (%s)"
"Error #%s: %s","Errore #%s: %s"
"Europack","Europack"
"Europe First Priority","Prima priorità Europa"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","Tasso di cambio %s (Valuta base) -> %s non trovato. Il metodo DHL %s è stato saltato"
"Express","Corriere"
"Express 10:30","Corriere 10:30"
"Express 10:30 AM","Corriere 10:30 AM"
"Express 12:00","Corriere 12:00"
"Express 9:00","Corriere 9:00"
"Express Mail","Posta corriere"
"Express Saturday","Sabato corriere"
"Express Saver","Express Saver"
"Express easy","Corriere semplice"
"Express envelope","Corriere Busta"
"Express worldwide","Corriere internazionale"
"Failed to parse xml document: %s","Impossibile analizzare documento xml: %s"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx pacco 10kg "
"FedEx 25kg Box","FedEx pacco 25kg "
"FedEx Box","FedEx pacco"
"FedEx Envelope","FedEx Envelope"
"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx Tube"
"First Overnight","First Overnight"
"First-Class","Prima Classe"
"First-Class Mail International Large Envelope","First-Class Mail International Large Envelope"
"First-Class Mail International Letter","First-Class Mail International Letter"
"First-Class Mail International Postcard","First-Class Mail International Postcard"
"First-Class Mail Large Envelope","First-Class Mail Large Envelope"
"First-Class Mail Large Postcards","First-Class Mail Large Postcards"
"First-Class Mail Letter","First-Class Mail Letter"
"First-Class Mail Parcel","First-Class Mail Parcel"
"First-Class Mail Postcards","First-Class Mail Postcards"
"First-Class Package International Service","First-Class Package International Service"
"First-Class Package Service","First-Class Package Service"
"First-Class Package Service Hold For Pickup","First-Class Package Service Hold For Pickup"
"Flat","Flat"
"Flat-Rate Box","Riquadro per tariffa fissa"
"Flat-Rate Envelope","Fascia tariffa fissa"
"Free Method","Metodo gratuito"
"Free Shipping with Minimum Order Amount","Spedizione gratuita con ordine minimo importo"
"Freight","Merce"
"Freight worldwide","Merce internazionale"
"Gateway URL","Ingresso URL"
"Gateway XML URL","Ingresso XML URL"
"Gift","Regalo"
"Girth","Circonferenza"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Global Express Guaranteed Document"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular"
"Globalmail business","Globalmail business"
"Ground","Terreno"
"Ground Commercial","Terreno commerciale"
"Ground Residential","Terreno residenziale"
"Handling Applied","Imballaggio applicato"
"Handling Fee","Costi di imballaggio"
"Height","Altezza"
"Height, width and length should be equal or greater than %s","Altezza, larghezza e lunghezza dovrebbe essere uguale o maggiore di %s"
"Home Delivery","Consegna a domicilo"
"Hub ID","ID Hub"
"Inches","Pollici"
"Indirect","Indiretto"
"International Economy","International Economy"
"International Express","International Express"
"International First","International First"
"International Ground","International Ground"
"International Priority","International Priority"
"International Shipment Days","Giorni di spedizione internazionale"
"Intl Economy Freight","Intl Economy Freight"
