"All Websites","Tutti i siti"
"Apply Discounts To FPT","Applica sconti a FPT"
"Apply Tax To FPT","Applica tasse a  FPT"
"Display Prices In Emails","Visualizza prezzi nella email"
"Display Prices In Product Lists","Visualizza prezzi nella lista dei prodotti"
"Display Prices In Sales Modules","Visualizza prezzi nei moduli di sconto"
"Display Prices On Product View Page","Visualizza prezzi nella pagina di visualizzazione prodotto"
"Enable FPT","Attiva FPT"
"Excluding FPT","Excluding FPT"
"Excluding FPT, FPT description, final price","Excluding FPT, FPT description, final price"
"FPT Tax Configuration","Configurazione Tasse FPT"
"Fixed Product Tax","Tassa fissa prodotto"
"Fixed Product Taxes","Fissa tasse prodotto"
"Include FPT In Subtotal","Includi FPT nel subtotola"
"Including FPT and FPT description","Includi FPT e FPT descrizione"
"Including FPT and FPT description [incl. FPT VAT]","Includi descrizione FPT e FPT  [incl. FPT IVA]"
"Including FPT only","Includi solo FPT"
"Loaded and Displayed with Tax","Caricato e Visualizzato con Tassa"
"Not Taxed","Non Tassato"
"Taxed","Tassato"
"Total","Totale"
"Total Incl. Tax","Totale incl. Tasse"
"Total excl. tax","Totale escl. Tasse"
"Total incl. tax","Totale incl. Tasse"
"Total:","Totale:"
