" But cart has some errors.","Ma il carrello contiene errori."
" Note: Image size affects the performance of your app."," Nota: Le dimensioni dell'immagine hanno effetto sulla tua app."
"""Description"" is more than %d characters long","""Description"" is more than %d characters long"
"""Title"" is more than %d characters long","""Title"" ha più di %d caratteri"
"""id"" attribute is required for a ""%s"" field.","L\'attributo ""id""  è obbligatorio per il campo ""%s""."
"""line_count"" attribute is required for ""multiline"" element.","L\'attributo ""line_count""  è obbligatorio per l\'elemento ""multiline""."
"""message"" attribute is required for ""%s"" validator rule.","L\'attributo ""message"" è obbligatorio per la regola di validazione ""%s""."
"%1$s has been added to your wishlist.","%1$s è stato aggiunto alla Wishlist."
"%1$s incl tax.","%1$s tasse incluse."
"%@ is not correct","%@ non è corretto"
"%s API Key required.","%s chiave API richiesta."
"%s Application ID required.","%s ID applicazione richiesto."
"%s Secret Key required.","%s chiave segreta richiesta."
"%s attribute is required.","L\'attributo %s è obbligatorio."
"%s fields is required","%s campi sono obbligatori"
"%s has been added to your cart.","%s è stato aggiunto al carrello."
"%s id:","%s id:"
"%s was updated in your shopping cart.","%s è stato aggiornato nel tuo carrello."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Include più paesi rispetto a quelli elencati di seguito. Come proprietario dell\'applicazione, sei tenuto a rispettare le leggi specifiche del tuo paese relative alla distribuzione o alla vendita della tua applicazione per quel paese, compreso il tuo paese di origine. "
"* - field is required","* - campo è obbligatorio"
"*Subject to change","*Soggetto da cambiare"
"1. Please select type of the action:","1. Seleziona un tipo di azione:"
"10:40 AM","10:40 AM"
"2. Please select a page","2. Seleziona una pagina"
"2. Type Category Name","2. Tipo nome categoria"
"2. Type Product Name","2. Tipo nome prodotto"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urban Airship.","<a href=""%s"" target=""_blank"">Login</a> to Urban Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Il solo catalogo applicazione non sopporta funzioni come aggiungi al carrello, wishlist o accedi."
"A new password has been sent.","Una nuova password è stata inviata"
"About","Info"
"Access forbidden","Accesso negato"
"Account","Account"
"Account Information","Informazioni Account"
"Account Settings","Impostazioni Account"
"Account confirmation is required. Please check your email for the confirmation link.","È richiesta la conferma dell'account. Per favore, controlla la tua e-mail per il link di conferma."
"Account information has been saved.","Le informazioni dell\'account sono state salvate."
"Action","Azione"
"Action type does\'t recognized","Tipo di azione non riconosciuta"
"Action type does\'t recognized.","Tipo di azione non riconosciuta."
"Action type doesn\'t recognized.","Tipo di azione non riconosciuta."
"Activate","Attiva"
"Activate PayPal Checkout","Attiva pagamento PayPal"
"Activate PayPal MECL","Attiva PayPal MECL"
"Activation Key","Codice di attivazione"
"Add","Aggiungi"
"Add Action","Aggiungi Azione"
"Add Address from Contacts","Aggiungi indirizzo dai Contatti"
"Add App","Aggiungi applicazione"
"Add Custom","Aggiungi Custom"
"Add New Address","Aggiungi Nuovo Indirizzo"
"Add New Template","Aggiungi nuovo Template"
"Add Page","Aggiungi pagina"
"Add To Wishlist","Aggiungi alla Wishlist"
"Add a billing address","Aggiungi un indirizzo di fatturazione"
"Add a shipping address","Aggiungi un indirizzo di spedizione"
"Add to Cart","Aggiungi al carrello"
"Add to Wishlist","Aggiungi alla Wishlist"
"Adding Product to Cart...","Aggiunta Prodotto al Carrello..."
"Adding Product to WishList...","Aggiunta Prodotto alla Wishlist"
"Additional Address","Indirizzi aggiuntivi"
"Additional Info","Info Aggiuntive"
"Address","Indirizzo"
"Address 2","Indirizzo 2"
"Address Book","Rubrica Indirizzi"
"Address Book Updated","Rubrica Indirizzi Aggiornata"
"Address Info","Info Indirizzi"
"Address book is empty","Rubrica Indirizzi è vuota"
"Address data not specified.","Campo Indirizzo non specificato."
"Address does not belong to this customer.","L\'indirizzo non appartiene a questo cliente."
"Address has been deleted.","L\'indirizzo è stato cancellato."
"Address has been saved.","L\'indirizzo è stato salvato."
"Admin Application Settings","Impostazioni Applicazione Admin"
"Admin Mobile Application","Applicazione Admin Mobile"
"Admin application has not been enabled","Applicazione Admin non è stata abilitata"
"Administrative contact for this app and for app submission issues.","Contatto amministrativo per questa applicazione e per presentazione applicazione."
"Advanced Settings","Impostazioni avanzate."
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","Dopo aver imesso l\'app in Magento, per favore contatta <a href=""mailto:%1$s"">%1$s</a> per ricevere la Chiave Applicazione, il Segreto Applicazione e il Segreto Maestro Applicazione"
"AirMail Message Queue","Messaggio AirMail in coda   "
"AirMail Messages Queue","Coda messaggi AirMail "
"AirMail Template Preview","AirMail Template anteprima"
"AirMail message","AirMail messaggi"
"AirMail templates","AirMail templates"
"All Allowed Countries","Tutti i paesi permessi"
"All Images","Tutte le immagini"
"All locations","Tutte le località"
"Amount","Importo"
"Amount in %@","Importo in %@"
"Amounts","Importi"
"An account with this email address already exists.","Esiste già un account con questa email."
"An error occurred while adding item to wishlist.","Errore riscontrato nell\'aggiunta dell\'oggetto alla wishlist."
"An error occurred while deleting the address.","Errore riscontrato nella rimozione dell\'indirizzo."
"An error occurred while loading categories.","Errore riscontrato nel caricamento delle categorie"
"An error occurred while loading category filters.","Errore riscontrato nel caricamento dei filtro categorie."
"An error occurred while loading configuration.","E' comparso un errore nel caricamento della configurazione."
"An error occurred while loading localization.","E' comparso un errore nel caricamento della localizzazione."
"An error occurred while loading login form.","E' comparso un errore caricando il form di login"
"An error occurred while loading wishlist.","Errore riscontrato nel caricamento della wishlist"
"An error occurred while processing your order. Please contact us or try again later.","Errore riscontrato nella presa in carico dell\'ordine. Contattaci o riprova più tardi."
"An error occurred while processing your request.","Errore riscontrato nella presa in carico della tua richiesta."
"An error occurred while removing item from wishlist.","Errore riscontrato nella rimozione dell\'oggetto dalla wishlist."
"An error occurred while removing items from wishlist.","Errore riscontrato nella rimozione degli oggetti dalla wishlist."
"Analytics","Analytics"
"Android","Android"
"Android doesn\'t support AirMail message type.","Android non supporta il tipo di messaggio AirMail"
"App Background","Sfondo App "
"App Background (landscape mode)","Sfondo App (modalità paesaggio)"
"App Background (landscape mode).","Sfondo App (modalità paesaggio)."
"App Background (portrait mode)","Sfondo App (modalità ritratto)"
"App Background (portrait mode).","Sfondo App (modalità ritratto)."
"App Background image missing.","Immagine di sfondo app persa."
"App Code","Codice App"
"App Information","Informazioni App"
"App Name","Nome App"
"App Stores","App Stores"
"App Submission History","Presentazione Storia App"
"App Title","Titolo App"
"App code","Codice App"
"App code required.","Codice App richiesto."
"App does not exist.","App non esistente."
"App has been deleted.","App è stato cancellato."
"App has been saved.","App è stato salvato."
"App has been submitted.","App è stato inviato."
"App model not loaded.","Modello App non caricato"
"App with specified code does not exist.","App con il codice indicato non esiste"
"Appears in the info section of your app (example: Copyright 2010 – Your Company, Inc.)","Appare nella sezione info della tua app (ad esempio: Copyright 2010 - Società, S.r.l.)"
"Application","Applicazione"
"Application Key","Codice applicazione"
"Application Master Secret","Applicazione Master Secret"
"Application Name","Nome applicazione"
"Application Secret","Applicazione segreta"
"Application doesn\'t exist.","L\'applicazione non esiste."
"Apply","Applica"
"Applying Coupon Code","Applicazione Codice Coupon"
"Applying Gift Card %@","Applicazione Carta Regalo %@"
"Are you sure you want to cancel a message?","Sei sicuro di voler cancellare il messaggio?"
"Are you sure you want to cancel selected records?","Sei sicuro di voler cancellare le registrazioni selezionate?"
"Are you sure you want to delete a message?","Sei sicuro di voler eliminare il messaggio?"
"Are you sure you want to delete selected records?","Sei sicuro di voler eliminare le registrazioni selezionate?"
"Are you sure you want to delete this theme? This change will affect all applications.","Sicuro di voler rimuovere questo tema? Questo cambiamento avrà effetti su tutte le applicazioni "
"Are you sure you want to do this?","Sei sicuro di voler procedere?"
"Are you sure you want to remove this item?","Sei sicuro di voler rimuovere questo oggetto?"
"As Low As","A partire da"
"As Low Excl. Tax","A partire Escl. Tasse"
"As Low Incl. Tax","A partire Incl. Tasse"
"As a Magento customer, Urban Airship is offering you unlimited Push Notifications and Rich Push for $100/year* along with a 60 day free trial.","Come Cliente Magento Urban Airship ti offre Notifiche Push illimitate e Rich Push per 100$/anno e 60 giorni di prova"
"As low as","A partire da"
"As low as excl. tax","A partire da escl. Tasse"
"As low as incl. tax","A partire da incl. Tasse"
"At last one application has to be created.","Deve essere creato all\'ultima applicazione."
"At least one option should be selected","Deve essere selezionata almeno una opzione"
"Authentication complete.","Autenticazione completata"
"Authentication to %@ did failed...","Autenticazione a %@ è fallita..."
"Average Order Amount","Importo Medio Ordine"
"Average Orders","Media Ordini"
"Average Rating","Media Valutazione"
"Back","Indietro"
"Back to App Edit","Indietro a  Modifica App "
"Background Color","Colore sfondo"
"Balance","Bilancio"
"Balance Change","Cambia Bilancio"
"Balance History","Cronologia Bilancio"
"Banner on Home Screen","Banner nella schermata iniziale"
"Banner on Home Screen (landscape mode)","Banner in Home Screen (modalità landscape)"
"Banner on Home Screen (landscape mode) image missing.","Banner nella schermata iniziale (modalità paesaggio) immagine mancante"
"Banner on Home Screen (portrait mode)","Banner in Home Screen (modalità portrait)"
"Banner on Home Screen (portrait mode) image missing.","Banner nella schermata iniziale (modalità ritratto) immagine mancante"
"Banner on Home Screen image missing.","Immagine banner schermata iniziale mancante."
"Banners on Home Screen","Banners in Home Screen"
"Best Sellers","I più venduti"
"Billing","Fatturazione"
"Billing Address","Indirizzo di Fatturazione"
"Billing address","Indirizzi di fatturazione"
"Billing address has been set.","Indirizzo di fatturazione impostato."
"Bundle Products","Prodotti Bundle"
"Buy %1$s for %2$s","Compra %1$s per %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compra %1$s per %2$s (%3$s tasse incluse) l\'uno"
"Buy %1$s for %2$s each","Compra %1$s per  %2$s l\'uno"
"Buy %1$s with %2$s discount each","Compra %1$s con %2$s di sconto ciascuno"
"Buy More & Save","Compra di più e risparmia"
"Buyer country is not allowed by store.","Il paese del compratore non è consentito dal negozio."
"CMS Page","Pagina CMS"
"CMS Pages haven\'t been found.","Le pagine CMS non sono state trovate."
"Cache Lifetime (seconds)","Durata cache (secondi)"
"Cache Management","Gestione cache"
"Can\'t add item to shopping cart.","Impossibile aggiungere l\'oggetto al carrello."
