" The customer does not exist in the system anymore."," The customer does not exist in the system anymore."
" [deleted]"," [deleted]"
" and "," and "
"%s (Default Template from Locale)","%s (Default Template from Locale)"
"%s cache type(s) disabled.","%s cache type(s) disabled."
"%s cache type(s) enabled.","%s cache type(s) enabled."
"%s cache type(s) refreshed.","%s cache type(s) refreshed."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(For US 2-letter state names)"
"(If left empty will be auto-generated)","(If left empty will be auto-generated)"
"(Leave empty for first spreadsheet)","(Leave empty for first spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(Starting with)","(Starting with)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(You have to increase php memory_limit before changing this value)"
"(\\t for tab)","(\\t for tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - If indexing is in progress, it will be killed and new indexing process will start."
"* Required Fields","* Required Fields"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"-- Not Selected --","-- Not Selected --"
"-- Please Select --","-- Please Select --"
"-- Please Select Billing Agreement--","-- Please Select Billing Agreement--"
"-- Please Select a Category --","-- Please Select a Category --"
"-- Please select --","-- Please select --"
"--Please Select--","--Please Select--"
"1 Hour","1 Hour"
"12 Hours","12 Hours"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Hours"
"24 Hours","24 Hours"
"24h","24h"
"2YTD","Pēdējie 2 gadi"
"6 Hours","6 Hours"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> requests access to your account"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attention</strong>: Captcha is case sensitive."
"A user with the same user name or email aleady exists.","A user with the same user name or email aleady exists."
"API Key","API Key"
"API Key Confirmation","API Key Confirmation"
"ASCII","ASCII"
"Abandoned Carts","Abandoned Carts"
"About the calendar","About the calendar"
"Access Denied","Access Denied"
"Access denied","Access denied"
"Access denied.","Access denied."
"Account Created in:","Account Created in:"
"Account Created on (%s):","Account Created on (%s):"
"Account Created on:","Account Created on:"
"Account Information","Account Information"
"Account Status","Account Status"
"Account status","Account status"
"Action","Darbība"
"Actions","Darbības"
"Actions XML","Actions XML"
"Active","Active"
"Add","Add"
"Add Exception","Add Exception"
"Add Field Mapping","Add Field Mapping"
"Add Field with URL:","Add Field with URL:"
"Add New","Add New"
"Add New Image","Add New Image"
"Add New Profile","Add New Profile"
"Add New Role","Add New Role"
"Add New Template","Izveidot jaunu veidni"
"Add New URL Rewrite","Add New URL Rewrite"
"Add New User","Add New User"
"Add New Variable","Add New Variable"
"Add Products","Add Products"
"Add URL Rewrite","Add URL Rewrite"
"Add URL Rewrite for a Category","Add URL Rewrite for a Category"
"Add URL Rewrite for a Product","Add URL Rewrite for a Product"
"Add after","Add after"
"Additional Cache Management","Additional Cache Management"
"Address Type:","Address Type:"
"Admin","Admin"
"Advanced Admin Section","Advanced Admin Section"
"Advanced Profiles","Advanced Profiles"
"Advanced Section","Advanced Section"
"After authorization application will have access to you account.","After authorization application will have access to you account."
"All","All"
"All Allowed Countries","All Allowed Countries"
"All Cache","All Cache"
"All Files","All Files"
"All Reviews","All Reviews"
"All Store Views","All Store Views"
"All Tags","Visas birkas"
"All Websites","All Websites"
"All countries","All countries"
"All fields","All fields"
"All possible rates were fetched, please click on ""Save"" to apply","All possible rates were fetched, please click on ""Save"" to apply"
"All rates were fetched, please click on ""Save"" to apply","All rates were fetched, please click on ""Save"" to apply"
"All valid rates have been saved.","All valid rates have been saved."
"Always (during development)","Always (during development)"
"Amounts","Preču daudzums"
"An error has occured while syncronizing media storages.","An error has occured while syncronizing media storages."
"An error occurred while clearing the JavaScript/CSS cache.","An error occurred while clearing the JavaScript/CSS cache."
"An error occurred while clearing the image cache.","An error occurred while clearing the image cache."
"An error occurred while deleting URL Rewrite.","An error occurred while deleting URL Rewrite."
"An error occurred while deleting email template data. Please review log and try again.","An error occurred while deleting email template data. Please review log and try again."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"An error occurred while deleting this role.","An error occurred while deleting this role."
"An error occurred while deleting this set.","An error occurred while deleting this set."
"An error occurred while deleting this template.","An error occurred while deleting this template."
"An error occurred while finishing process. Please refresh the cache","An error occurred while finishing process. Please refresh the cache"
"An error occurred while rebuilding the CatalogInventory Stock Status.","An error occurred while rebuilding the CatalogInventory Stock Status."
"An error occurred while rebuilding the catalog index.","An error occurred while rebuilding the catalog index."
"An error occurred while rebuilding the flat catalog category.","An error occurred while rebuilding the flat catalog category."
"An error occurred while rebuilding the flat product catalog.","An error occurred while rebuilding the flat product catalog."
"An error occurred while rebuilding the search index.","An error occurred while rebuilding the search index."
"An error occurred while refreshing the Catalog Rewrites.","An error occurred while refreshing the Catalog Rewrites."
"An error occurred while refreshing the Layered Navigation indices.","An error occurred while refreshing the Layered Navigation indices."
"An error occurred while refreshing the catalog rewrites.","An error occurred while refreshing the catalog rewrites."
"An error occurred while refreshing the layered navigation indices.","An error occurred while refreshing the layered navigation indices."
"An error occurred while saving URL Rewrite.","An error occurred while saving URL Rewrite."
"An error occurred while saving account.","An error occurred while saving account."
"An error occurred while saving review.","An error occurred while saving review."
"An error occurred while saving the customer.","An error occurred while saving the customer."
"An error occurred while saving this configuration:","An error occurred while saving this configuration:"
"An error occurred while saving this role.","An error occurred while saving this role."
"An error occurred while saving this template.","An error occurred while saving this template."
"An error occurred while updating the selected review(s).","An error occurred while updating the selected review(s)."
"Any","Any"
"Any Attribute Set","Any Attribute Set"
"Any Group","Any Group"
"Any Status","Any Status"
"Any Store","Any Store"
"Any Type","Any Type"
"Any Visibility","Any Visibility"
"Any data created since the backup was made will be lost including admin users, customers and orders.","Any data created since the backup was made will be lost including admin users, customers and orders."
"Archive file name:","Archive file name:"
"Are you sure that you want to delete this template?","Are you sure that you want to delete this template?"
"Are you sure that you want to strip tags?","Vai vēlaties atmest birkas?"
"Are you sure you want to do this?","Are you sure you want to do this?"
