"# of Use","Lietošanas skaits"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s Prece(s)"
"%s and above","%s and above"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopēt datus no: %s)"
"* Required Fields","* Required Fields"
"-- Please Select --","-- Lūdzu izvēlieties --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend."
"A group with the same name already exists.","A group with the same name already exists."
"A name is required","Nepieciešams vārds"
"A product type is not defined for the indexer.","A product type is not defined for the indexer."
"ALL GROUPS","Visas grupas"
"AM","AM"
"Action","Darbība"
"Actual Price","Actual Price"
"Add","Add"
"Add Attribute","Pievienot atribūtu"
"Add Design Change","Pievienot dizaina izmaiņas"
"Add Group","Pievienot grupu"
"Add Group Price","Add Group Price"
"Add New","Pievienot jaunu"
"Add New Attribute","Pievienot jaunu atribūtu"
"Add New Attribute Set","Pievienot jaunu atribūtu komplektu"
"Add New Group","Pievienot jaunu grupu"
"Add New Images","Pievienot jaunus attēlus"
"Add New Option","Add New Option"
"Add New Row","Add New Row"
"Add New Search Term","Pievienot jaunu meklēšanas terminu"
"Add New Set","Pieviet jaunu komplektu"
"Add Product","Pievienot preci"
"Add Product To Websites","Pievienot preces tīmekļa vietnēm"
"Add Root Category","Add Root Category"
"Add Subcategory","Add Subcategory"
"Add Tax","Add Tax"
"Add Tier","Pievienot rindu"
"Add attribute into attribute set","Add attribute into attribute set"
"Add group into attribute set","Add group into attribute set"
"Add new custom option into product","Add new custom option into product"
"Add new values into custom option","Add new values into custom option"
"Add option","Add option"
"Add to Cart","Ielikt grozā"
"Add to Compare","Salīdzināt"
"Add to Wishlist","Ielikt vēlmju sarakstā"
"Additional Information","Papildus informācija"
"Alert Urls","Alert Urls"
"All","Visas"
"All Product Types","Visi preču tipi"
"All Websites","All Websites"
"All products","All products"
"All products - recently added products, New products - products marked as new","All products - recently added products, New products - products marked as new"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","All products of this set will be deleted! Are you sure you want to delete this attribute set?"
"Allow All Products per Page","Allow All Products per Page"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"Allow HTML Tags on Frontend","Allow HTML Tags on Frontend"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Amount","Amount"
"An error occurred while adding products to websites.","An error occurred while adding products to websites."
"An error occurred while clearing comparison list.","An error occurred while clearing comparison list."
"An error occurred while deleting this review.","An error occurred while deleting this review."
"An error occurred while removing products from websites.","An error occurred while removing products from websites."
"An error occurred while saving the URL rewrite","An error occurred while saving the URL rewrite"
"An error occurred while saving the attribute set.","An error occurred while saving the attribute set."
"An error occurred while saving the collection, aborting. Error message: %s","An error occurred while saving the collection, aborting. Error message: %s"
"An error occurred while saving the product. ","An error occurred while saving the product. "
"An error occurred while saving the search query.","An error occurred while saving the search query."
"An error occurred while saving this group.","An error occurred while saving this group."
"An error occurred while saving this review.","An error occurred while saving this review."
"An error occurred while trying to delete the category.","An error occurred while trying to delete the category."
"An error occurred while updating the product(s) attributes.","An error occurred while updating the product(s) attributes."
"An error occurred while updating the product(s) status.","An error occurred while updating the product(s) status."
"An invalid group ID is specified, skipping the record.","An invalid group ID is specified, skipping the record."
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"An invalid store was specified.","An invalid store was specified."
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes."
"Apply MAP (Default Value)","Apply MAP (Default Value)"
"Apply To","Iespējot uz"
"Approved","Apstiprināts"
"Are you sure you want to delete this category?","Vai Jūs tiešām vēlaties dzēst šo kategoriju?"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the compare products?","Vai tiešām vēlaties dzēst šo preci no preču salīdzināšanas?"
"Are you sure?","Vai esiet pārliecināts?"
"As low as:","Tikai:"
"Assign","Assign"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Assigned Products","Assigned Products"
"Associated Products","Saistītās preces"
"Attrib. Set Name","Atrib. komplekta nosaukums"
"Attribute ""%s"" is invalid.","Attribute ""%s"" is invalid."
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Information","Atribūta informācija"
"Attribute Model","Atribūta modelis"
"Attribute Name:","Atribūta nosaukums:"
"Attribute Set","Atribūta iestatījums"
"Attribute Sets","Attribute Sets"
"Attribute add","Attribute add"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attribute group with the \/name/\"" name already exists""","Attribute group with the \/name/\"" name already exists"""
"Attribute group with the \/name/\ name already exists","Attribute group with the \/name/\ name already exists"
"Attribute remove","Attribute remove"
"Attribute with the same code already exists","Atribūti ar tādu kodu jau eksistē"
"Attributes","Atribūti"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Autogenerate","Automātiski ģenerēts"
"Availability:","Pieejamība:"
"Back","Atpakaļ"
"Backend Model","Aizmugures modelis"
"Backend Table","Aizmugures tabula"
"Backend Table Title","Aizmugures tabulas nosaukums"
"Backorders","Pasūtījumi"
"Based On","Bāzēts uz"
"Before Order Confirmation","Before Order Confirmation"
"Best Value","Vērtības"
"Block after Info Column","Block after Info Column"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bottom/Left","Apakšējais/kreisais"
"Bottom/Right","Apakšējais/labais"
"Browse By","Pārlūkot ar"
"Bundle Items","Bundle Items"
"Buy %1$s","Buy %1$s"
"Buy %1$s for","Buy %1$s for"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"Cache refresh needed.","Cache refresh needed."
"Can be Divided into Multiple Boxes for Shipping","Can be Divided into Multiple Boxes for Shipping"
"Can be used only with catalog input type Dropdown","Var tik lietots tikai ar kataloga ievades tipu - atklājamie"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Var tikt lietots tikai ar kataloga ievades tipu atklājamie, vairākiestatījums un cena"
"Can\'t create image.","Can\'t create image."
"Cancel","Cancel"
"Cannot create image.","Cannot create image."
"Cannot create writeable directory '%s'.","Cannot create writeable directory '%s'."
"Cart Item Attribute","Groza satura atribūts"
"Catalog","Katalogs"
"Catalog Category (Anchor)","Catalog Category (Anchor)"
"Catalog Category (Non-Anchor)","Catalog Category (Non-Anchor)"
"Catalog Category (Without Subcategories)","Catalog Category (Without Subcategories)"
"Catalog Category Link","Catalog Category Link"
"Catalog New Products List","Catalog New Products List"
"Catalog Price Scope","Kataloga cenas sfēra"
"Catalog Product Compare List","Catalog Product Compare List"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Catalog Product Image Gallery Popup","Catalog Product Image Gallery Popup"
"Catalog Product Link","Catalog Product Link"
"Catalog Product View (Any)","Catalog Product View (Any)"
"Catalog Product View (Configurable)","Catalog Product View (Configurable)"
"Catalog Product View (Grouped)","Catalog Product View (Grouped)"
"Catalog Product View (Simple)","Catalog Product View (Simple)"
"Catalog Product View (Virtual)","Catalog Product View (Virtual)"
"Catalog Section","Catalog Section"
"Catalog Seo Sitemap (Category List)","Catalog Seo Sitemap (Category List)"
"Catalog Seo Sitemap (Category Tree)","Catalog Seo Sitemap (Category Tree)"
"Catalog Seo Sitemap (Common)","Catalog Seo Sitemap (Common)"
"Catalog Seo Sitemap (Product List)","Catalog Seo Sitemap (Product List)"
"Catalog URL Rewrites","Catalog URL Rewrites"
"Catalog product custom option values API","Catalog product custom option values API"
"Catalog product custom options API","Catalog product custom options API"
"Catalog, Search","Katalogs, meklēšana"
"Categories","Kategorijas"
"Categories Sitemap","Kategoriju vietnes karte"
"Category","Kategorija"
"Category API","Category API"
