"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Catalog Price Rules based on ""%s"" attribute have been disabled."
"Actions","Darbības"
"Active","Active"
"Add New Rule","Pievienot jaunu nosacījumu"
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"Apply","Apply"
"Apply Rules","Piemērot nosacījumus"
"Attribute Set","Attribute Set"
"By Fixed Amount","By Fixed Amount"
"By Percentage of the Original Price","By Percentage of the Original Price"
"Catalog","Catalog"
"Catalog Price Rule","Preces cenas aprēķina nosacījums"
"Catalog Price Rules","Preču cenu aprēķina nosacījumi"
"Category","Category"
"Conditions","Nosacījumi"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Conditions Combination","Conditions Combination"
"Customer Groups","Klientu grupas"
"Date Expire","Spēkā līdz"
"Date From","Date From"
"Date Start","Spēkā no"
"Date To","Date To"
"Description","Apraksts"
"Discount Amount","Discount Amount"
"Edit Rule","Mainīt nosacījumu"
"Edit Rule '%s'","Mainīt nosacījumu '%s'"
"Enable Discount to Subproducts","Enable Discount to Subproducts"
"Expiration Date","Expiration Date"
"From Date","From Date"
"General Information","General Information"
"ID","ID"
"Inactive","Inactive"
"New Rule","Jauns nosacījums"
"No","Nē"
"Options","Options"
"Priority","Priority"
"Product Attribute","Product Attribute"
"Promotions","Pārdošanas veicināšana"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Save and Apply","Saglabāt un piemērot"
"Save and Continue Edit","Save and Continue Edit"
"Start Date","Start Date"
"Status","Status"
"Stop Further Rules Processing","Stop Further Rules Processing"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"The rules have been applied.","The rules have been applied."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","There are rules that have been changed but were not applied. Only users with exclusive access can apply rules."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog."
"This rule no longer exists.","This rule no longer exists."
"To Date","To Date"
"To Fixed Amount","To Fixed Amount"
"To Percentage of the Original Price","To Percentage of the Original Price"
"Type","Type"
"Unable to apply rules.","Unable to apply rules."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update Prices Using the Following Information","Update Prices Using the Following Information"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Website","Website"
"Websites","Websites"
"Wrong rule specified.","Wrong rule specified."
"Yes","Jā"
