" or "," or "
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"* Required Fields","* Obilgāti aizpildāmie lauki"
"ALL GROUPS","ALL GROUPS"
"Account Dashboard","Vadības panelis"
"Account Information","Konta pārskats"
"Account Sharing Options","Account Sharing Options"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>."
"Action","Darbība"
"Add New Address","Pievienot jaunu adresi"
"Add New Customer","Add New Customer"
"Add New Customer Group","Add New Customer Group"
"Added From","Added From"
"Additional Address Entries","Papildus adreses"
"Address","Adrese"
"Address Book","Adreses"
"Address Books","Address Books"
"Address Information","Address Information"
"Address Templates","Address Templates"
"Addresses","Addresses"
"Admin","Admin"
"All","All"
"All Store Views","All Store Views"
"All countries","All countries"
"Always optional.","Always optional."
"Amount","Amount"
"An error occurred while deleting the address.","An error occurred while deleting the address."
"An error occurred while retrieving the option value: %s.","An error occurred while retrieving the option value: %s."
"An error occurred while saving the collection, aborting. Error: %s","An error occurred while saving the collection, aborting. Error: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"Approved","Approved"
"Are you sure that you want to remove this item?","Are you sure that you want to remove this item?"
"Are you sure you want to cancel adding of this address?","Are you sure you want to cancel adding of this address?"
"Are you sure you want to delete this address?","Izdzēst šo adresi?"
"Are you sure?","Are you sure?"
"Array of Entity collections is expected.","Array of Entity collections is expected."
"Assign a Customer Group","Assign a Customer Group"
"Average Sale","Average Sale"
"Back","Atpakaļ"
"Back - link to the previously viewed page","Back - link to the previously viewed page"
"Back to Login","Back to Login"
"Bad request.","Bad request."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Based on the VAT ID, the customer would belong to the Customer Group %s."
"Bill to Name","Bill to Name"
"Bought From","Bought From"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Lietotājā reģistrācija vienkāršos jūsu turpmākos pirkumus, kā arī ļaus aplūkot jūsu veiktos pirkumus un vēl vairāk. "
"CSV","CSV"
"Cancel","Atcelt"
"Cannot save a new password.","Cannot save a new password."
"Cannot save address.","Cannot save address."
"Cannot save the customer.","Cannot save the customer."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged."
"Change Account Password","Change Account Password"
"Change Billing Address","Labot rēķina adresi"
"Change Password","Mainīt paroli"
"Change Shipping Address","Labot piegādes adresi"
"City","Pilsēta/pagasts"
"Company","Uzņēmums"
"Config","Config"
"Configure","Configure"
"Confirm New Password","Atkārtot jauno paroli"
"Confirm Password","Atkārtot paroli"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","Kontaktinformācija"
"Continue Shopping","Continue Shopping"
"Country","Valsts"
"Create","Create"
"Create New Account Options","Create New Account Options"
"Create New Customer Account","Create New Customer Account"
"Create Order","Create Order"
"Create an Account","Reģistrēties"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Current Password","Pašreizējā parole"
"Customer","Customer"
"Customer API","Customer API"
"Customer Account Edit Form","Customer Account Edit Form"
"Customer Account Login Form","Customer Account Login Form"
"Customer Account Logout Success","Customer Account Logout Success"
"Customer Account Registration Form","Customer Account Registration Form"
"Customer Addresses","Customer Addresses"
"Customer Configuration","Customer Configuration"
"Customer Forgot Password Form","Customer Forgot Password Form"
"Customer Group","Customer Group"
"Customer Groups","Klientu grupas"
"Customer Information","Customer Information"
"Customer Login","Customer Login"
"Customer My Account (All Pages)","Customer My Account (All Pages)"
"Customer My Account Address Book","Customer My Account Address Book"
"Customer My Account Address Edit Form","Customer My Account Address Edit Form"
"Customer My Account Dashboard","Customer My Account Dashboard"
"Customer Since","Customer Since"
"Customer View","Customer View"
"Customer collection expected.","Customer collection expected."
"Customer email is required","Customer email is required"
"Customer website ID must be specified when using the website scope","Customer website ID must be specified when using the website scope"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Customers","Klienti"
"Customers Only","Customers Only"
"Customers Section","Customers Section"
"DD","DD"
"Date","Datums"
"Date Added","Date Added"
"Date of Birth","Date of Birth"
"Day","Day"
"Days in Wishlist","Days in Wishlist"
"Default Addresses","Adreses lietošanā"
"Default Billing Address","Pašreizējā rēķina adrese"
"Default Email Domain","Default Email Domain"
"Default Group","Default Group"
"Default Shipping Address","Pašreizējā piegādes adrese"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Default Welcome Email","Default Welcome Email"
"Delete","Izdzēst"
"Delete Address","Dzēst adresi"
"Delete Customer","Delete Customer"
"Delete Customer Group","Delete Customer Group"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","Deleted Stores"
"Details","Details"
"Disabled","Aizliegts"
"Edit","Mainīt"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Mainīt informāciju"
"Edit Address","Labot adresi"
"Edit Address Entry","Edit Address Entry"
"Edit Customer Group ""%s""","Edit Customer Group ""%s"""
"Edit Customer Groups","Edit Customer Groups"
"Edit Customer's Address","Edit Customer's Address"
"Edit Group","Edit Group"
"Edit Newsletters","Edit Newsletters"
"Email","E-pasts"
"Email Address","E-pasta adrese"
"Email Sender","E-pasta sūtītājs"
"Email:","Email:"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Entity collection is expected.","Entity collection is expected."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Fakss"
"First Name","Vārds"
"Forgot Email Template","Forgot Email Template"
"Forgot Password","Forgot Password"
"Forgot Your Password","Forgot Your Password"
"Forgot Your Password?","Piemirsās parole?"
"Forgot and Remind Email Sender","Forgot and Remind Email Sender"
"Form Fields Before","Form Fields Before"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Šeit Jūs varat īsumā aplūkot veiktos pasūtījumus, sava lietotāja konta uzstādījumus, kā arī veikt izmaiņas tajos."
"Gender","Gender"
"Gender is required.","Gender is required."
"General Subscription","Publiskā parakstišanās"
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Global","Global"
"Group","Group"
"Group Information","Group Information"
"Group Name","Grupas nosaukums"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Guest","Guest"
"HTML","HTML"
"Hello, %s!","Sveicināti, %s!"
"ID","ID"
"IP Address","IP Address"
"If you believe this is an error, please contact us at %s","If you believe this is an error, please contact us at %s"
"If you have an account with us, please log in.","Ja jau esat reģistrēts lietotājs jums šeit. "
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid billing address for (%s)","Invalid billing address for (%s)"
"Invalid current password","Nepareiza pašreizējā parole"
"Invalid customer data","Invalid customer data"
"Invalid email address ""%s"".","Invalid email address ""%s""."
"Invalid email address.","Invalid email address."
"Invalid login or password.","Invalid login or password."
"Invalid password reset token.","Invalid password reset token."
