"# of Uses","Lietots # reizes"
"%s tag(s) have been accepted for moderation.","%s tag(s) have been accepted for moderation."
"<strong>Tag Name:</strong> %s","<strong>Tag Name:</strong> %s"
"Action","Darbība"
"Add","Add"
"Add New Tag","Pievienot jaunu birku"
"Add Tags","Pievienot"
"Add Your Tags:","Pievienot jaunas birkas:"
"Add tag(s) to product","Add tag(s) to product"
"Add to Cart","Ielikt grozā"
"Add to Wishlist","Ielikt vēlmju sarakstā"
"All Tags","Visas birkas"
"Approved","Apstiprināts"
"Are you sure you want to delete this tag?","Vai esat pārliecināts, ka vēlaties dzēst šo birku?"
"Are you sure you want to do this?","Vai esat pārliecināts, ka vēlaties to darīt?"
"Are you sure?","Vai esat pārliecināts?"
"Back","Atpakaļ"
"Back to Tags List","Atpakaļ uz birku sarakstu"
"Base Popularity","Base Popularity"
"Block Information","Bloķēt informāciju"
"CSV","CSV"
"Catalog Product View","Catalog Product View"
"Change status","Mainīt statusu"
"Click on a tag to view your corresponding products.","Klikšķis uz birkas, lai apskatītu atbilstošos produktus."
"Country","Valsts"
"Customer My Account My Tags List","Customer My Account My Tags List"
"Customer My Account Tag View","Customer My Account Tag View"
"Customer Since","Klients kopš"
"Customers","Klienti"
"Customers Submitted this Tag","Customers Submitted this Tag"
"Customers Tagged '%s'","Klientu birkas '%s'"
"Delete","Izdzēst"
"Delete Tag","Dzēst birku"
"Disabled","Aizliegts"
"Edit Tag '%s'","Labot birku '%s'"
"Email","E-pasts"
"First Name","Vārds"
"General Information","Vispārēja informācija"
"Grid","Režģis"
"ID","NPK"
"Info","Info"
"Last Name","Uzvārds"
"List","Saraksts"
"Manage Tags","Manage Tags"
"My Recent Tags","Pēdējās izveidotās birkas"
"My Tags","Manas birkas"
"Name","Vārds"
"New Tag","Jauna birka"
"No matches found.","Nekas līdzīgs nav atrasts."
"Other people marked this product with these tags:","Citi cilvēki atzīmējuši šo produktu ar šīm birkām:"
"Pending","Gaida apstrādi"
"Pending Tags","Neizlemtas birkas"
"Popular","Populārs"
"Popular Tags","Lietotākās birkas"
"Price","Cena"
"Product Name","Preces nosaukums"
"Product SKU","Produkta SKU"
"Product Tag API","Product Tag API"
"Product Tags","Preces birkas"
"Products","Preces"
"Products Tagged by Administrators","Products Tagged by Administrators"
"Products Tagged by Customers","Products Tagged by Customers"
"Products Tagged with '%s'","Preces ar birku '%s'"
"Products tagged with '%s'","Preces ar birku '%s'"
"Rebuild Tag aggregation data","Rebuild Tag aggregation data"
"Remove","Remove"
"Remove product tag","Remove product tag"
"Retrieve list of tags by product","Retrieve list of tags by product"
"Retrieve product tag info","Retrieve product tag info"
"SKU","Artikuls"
"Save Tag","Saglabāt birku"
"Save and Continue Edit","Save and Continue Edit"
"Status","Statuss"
"Store View","Store View"
"Tag","Birka"
"Tag ""%s"" has already been added to the product.","Tag ""%s"" has already been added to the product."
"Tag ""%s"" has been added to the product.","Tag ""%s"" has been added to the product."
"Tag ""%s"" has been rejected by administrator.","Tag ""%s"" has been rejected by administrator."
"Tag Aggregation Data","Tag Aggregation Data"
"Tag Name","Birkas nosaukums"
"Tagged Products List","Tagged Products List"
"Tags","Birkas"
"Tags List (All Available)","Tags List (All Available)"
"Tags List Before","Tags List Before"
"Tags:","Birkas:"
"Telephone","Tālrunis"
"The tag has been deleted.","The tag has been deleted."
"There are no tags available.","There are no tags available."
"Unable to find any products tagged with '%s' in the current store","Neizdevās šajā veikalā atrast nevienu preci ar birku '%s'"
"Unable to remove tag. Please, try again later.","Neizdzvās noņemt birku. Lūdzu vēlāk mēģiniet vēlreiz."
"Unable to save tag(s).","Unable to save tag(s)."
"Update","Update"
"Update product tag","Update product tag"
"Use spaces to separate tags. Use single quotes (') for phrases.","Lietojiet atstarpes, lai atdalītu birkas, apostrofus lai sagrupētu frāzēs."
"View All Tags","Visas izveidotās birkas"
"View Customers","Apskatīt klientus"
"View Products","Apskatīt produktus"
"XML","XML"
"You have not tagged any products yet.","Nav preču, kurām Jūs būtu piešķiruši birku."
"ZIP/Post Code","Pasta indekss"
"[STORE VIEW]","[STORE VIEW]"
