"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d."
"-- Please Select --","-- Lūdzu izvēlieties --"
"Add New Class","Jauna nodokļu grupa"
"Add New Tax Rate","Jauna nodokļu likme"
"Add New Tax Rule","Jauns nodokļa nosacījums"
"After Discount","After Discount"
"An error occurred while deleting this rate.","An error occurred while deleting this rate."
"An error occurred while deleting this rate. Incorrect rate ID.","An error occurred while deleting this rate. Incorrect rate ID."
"An error occurred while deleting this tax class.","An error occurred while deleting this tax class."
"An error occurred while deleting this tax rule.","An error occurred while deleting this tax rule."
"An error occurred while saving this tax class.","An error occurred while saving this tax class."
"An error occurred while saving this tax class. A class with the same name","An error occurred while saving this tax class. A class with the same name"
"Apply Customer Tax","Apply Customer Tax"
"Apply Discount On Prices","Apply Discount On Prices"
"Apply Tax On","Apply Tax On"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected."
"Are you sure you want to do this?","Vai esat pārliecināts, ka vēlaties to darīt?"
"Back","Atpakaļ"
"Before Discount","Before Discount"
"CSV","CSV"
"Calculate off subtotal only","Calculate off subtotal only"
"Calculation Settings","Calculation Settings"
"Catalog Prices","Catalog Prices"
"Class Name","Grupas nosaukums"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","Click here to go to <a href=""%s"">Tax configuration</a> and change your settings."
"Code","Code"
"Country","Valsts"
"Custom price if available","Custom price if available"
"Customer Tax Class","Klienta nodokļu grupa"
"Customer Tax Class Information","Klienta nodokļu grupas informācija"
"Customer Tax Classes","Klientu nodokļu grupas"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Destination Calculation","Default Tax Destination Calculation"
"Delete Class","Dzēst grupu"
"Delete Rate","Dzēst likmi"
"Delete Rule","Izdzēst nosacījumu"
"Display Full Tax Summary","Display Full Tax Summary"
"Display Prices","Display Prices"
"Display Product Prices In Catalog","Display Product Prices In Catalog"
"Display Shipping Amount","Display Shipping Amount"
"Display Shipping Prices","Display Shipping Prices"
"Display Subtotal","Display Subtotal"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Edit Class","Labot grupu"
"Edit Class '%s'","Labot grupu '%s'"
"Edit Rule","Mainīt nosacījumu"
"Edit Tax Rate","Labot nodokļa likmi"
"Excel XML","Excel XML"
"Excl. Tax","Bez nodokļa"
"Excl. Tax:","Excl. Tax:"
"Excluding Tax","Excluding Tax"
"Export Tax Rates","Eksportēt nodokļu likmes"
"Grand Total (Excl. Tax)","Grand Total (Excl. Tax)"
"Grand Total (Excl.Tax)","Grand Total (Excl.Tax)"
"Grand Total (Incl. Tax)","Grand Total (Incl. Tax)"
"Grand Total (Incl.Tax)","Grand Total (Incl.Tax)"
"Grand Total Excl. Tax","Grand Total Excl. Tax"
"Grand Total Incl. Tax","Grand Total Incl. Tax"
"Ignore this notification","Ignore this notification"
"Import / Export Tax Rates","Nodokļu likmju imports / eksports"
"Import Tax Rates","Importēt nodokļu likmes"
"Inc. Tax","Iesk. nodokli"
"Incl. Tax","Iesk. nodokli"
"Incl. Tax:","Incl. Tax:"
"Include Tax In Grand Total","Include Tax In Grand Total"
"Including Tax","Including Tax"
"Including and Excluding Tax","Including and Excluding Tax"
"Invalid file format upload attempt","Nederīga faila formāta augšupielādes mēģinājums"
"Invalid file upload attempt","Nederīga faila augšupielādes mēģinājums"
"Manage Customer Tax Classes","Pārvaldīt klientu nodokļu grupas"
"Manage Product Tax Classes","Pārvaldīt preču nodokļu grupas"
"Manage Tax Rates","Pārvaldīt nodokļu likmes"
"Manage Tax Rules","Pārvaldīt nodokļu nosacījumus"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Name","Name"
"New Class","Jauna grupa"
"New Rule","Jauns nosacījums"
"New Tax Rate","Jauna nodokļu likme"
"No","No"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Orders, Invoices, Credit Memos Display Settings","Orders, Invoices, Credit Memos Display Settings"
"Original price only","Original price only"
"Please fill all required fields with valid information.","Please fill all required fields with valid information."
"Please see <a href=""%s"">source</a> for more details.","Please see <a href=""%s"">source</a> for more details."
"Price Display Settings","Price Display Settings"
"Priority","Priority"
"Product Tax Class","Preces nodokļu grupa"
"Product Tax Class Information","Informācija par preces nodokļu grupu"
"Product Tax Classes","Preču nodokļu grupas"
"Range From","Range From"
"Range To","Range To"
"Range To should be equal or greater than Range From.","Range To should be equal or greater than Range From."
"Rate","Rate"
"Rate Percent","Rate Percent"
"Rate Percent should be a positive number.","Rate Percent should be a positive number."
"Reset","Atiestatīt"
"Row Total","Row Total"
"Sales","Tirdzniecība"
"Save Class","Saglabāt grupu"
"Save Rate","Saglabāt likmi"
"Save Rule","Saglabāt nosacījumu"
"Save and Continue Edit","Save and Continue Edit"
"Shipping & Handling (Excl.Tax)","Shipping & Handling (Excl.Tax)"
"Shipping & Handling (Incl.Tax)","Shipping & Handling (Incl.Tax)"
"Shipping & Handling Tax","Shipping & Handling Tax"
"Shipping (Excl. Tax)","Shipping (Excl. Tax)"
"Shipping (Incl. Tax)","Shipping (Incl. Tax)"
"Shipping Excl. Tax (%s)","Shipping Excl. Tax (%s)"
"Shipping Incl. Tax (%s)","Shipping Incl. Tax (%s)"
"Shipping Prices","Shipping Prices"
"Shopping Cart Display Settings","Shopping Cart Display Settings"
"Sort Order","Sort Order"
"State","Stāvoklis"
"State/Region","Valsts/Reģions"
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Excl.Tax)","Subtotal (Excl.Tax)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Tax)"
"Subtotal (Incl.Tax)","Subtotal (Incl.Tax)"
"Subtotal only","Subtotal only"
"Tax","Nodokļi"
"Tax Calculation Based On","Tax Calculation Based On"
"Tax Calculation Method Based On","Tax Calculation Method Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax Rate","Nodokļu likme"
"Tax Rate Information","Informācija par nodokļu likmi"
"Tax Rule Information","Nodokļa nosacījuma apraksts"
"Tax Rules","Nodokļu nosacījumi"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"Tax rate cannot be removed. It exists in tax rule","Tax rate cannot be removed. It exists in tax rule"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"The tax class has been deleted.","The tax class has been deleted."
"The tax class has been saved.","The tax class has been saved."
"The tax rate has been deleted.","The tax rate has been deleted."
"The tax rate has been imported.","The tax rate has been imported."
"The tax rate has been saved.","The tax rate has been saved."
"The tax rule has been deleted.","The tax rule has been deleted."
"This class no longer exists","Šī grupa vairs neeksistē"
"This rule no longer exists","Šis nosacījums vairs neeksistē"
"This rule no longer exists.","This rule no longer exists."
"Total","Total"
"Unit Price","Unit Price"
"Warning tax configuration can result in rounding errors","Warning tax configuration can result in rounding errors"
"Warning tax configuration can result in unexpected FPT prices on applicable devices","Warning tax configuration can result in unexpected FPT prices on applicable devices"
"Warning tax discount configuration might result in different discounts than a customer might expect","Warning tax discount configuration might result in different discounts than a customer might expect"
"Whether catalog prices entered by admin include tax.","Whether catalog prices entered by admin include tax."
"Whether shipping amounts entered by admin or obtained from gateways include tax.","Whether shipping amounts entered by admin or obtained from gateways include tax."
"Yes","Yes"
"You cannot delete this tax class as it is used for %d customer groups.","Šī nodokļu grupa nevar tikt izdzēsta, jo tā ir piemērota %d klientu grupām."
"You cannot delete this tax class as it is used for %d products.","Šī nodokļu grupa nevr tikt izdzēsta, jo tā ir piemērota %d."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Šī nodokļu grupa nevar tikt izdzēsta, jo pirms tam ir jāizdzēš nodokļu nosacījumi, kuros tā tiek izmantota."
"Zip code should not contain characters other than digits.","Zip code should not contain characters other than digits."
"Zip/Post Code","Pasta indekss"
"Zip/Post is Range","Zip/Post is Range"
"for store(s)","for store(s)"
