"%1$s has been updated in your wishlist.","%1$s has been updated in your wishlist."
"%d product(s) have been added to shopping cart: %s.","%d product(s) have been added to shopping cart: %s."
"%s for ""%s"".","%s for ""%s""."
"%s has been moved to wishlist %s","%s has been moved to wishlist %s"
"%s's Wishlist","%s vēlmju saraksts"
"* Required Fields","* Obligāti aizpildāmie lauki"
"Add All to Cart","Ielikt visu pirkumu grozā"
"Add to Cart","Ielikt grozā"
"Add to Compare","Add to Compare"
"Add to Wishlist","Ielikt vēlmju sarakstā"
"Added From","Added From"
"An error occurred while adding item to wishlist.","An error occurred while adding item to wishlist."
"An error occurred while adding item to wishlist: %s","An error occurred while adding item to wishlist: %s"
"An error occurred while deleting the item from wishlist.","An error occurred while deleting the item from wishlist."
"An error occurred while deleting the item from wishlist: %s","An error occurred while deleting the item from wishlist: %s"
"An error occurred while updating wishlist.","An error occurred while updating wishlist."
"Are you sure you want to remove this product from your wishlist?","Vai esat pārliecināts, ka vēlaties izņemt šo produktu no Vēlmju Saraksta?"
"Are you sure you would like to remove this item from the wishlist?","Vai esat pārliecināts, ka vēlaties izņemt šo priekšmetu no vēlmju saraksta?"
"Back","Atpakaļ"
"Can\'t delete item from wishlist","Can\'t delete item from wishlist"
"Can\'t save description %s","Can\'t save description %s"
"Can\'t update wishlist","Can\'t update wishlist"
"Cannot add item to shopping cart","Cannot add item to shopping cart"
"Cannot add the following product(s) to shopping cart: %s.","Cannot add the following product(s) to shopping cart: %s."
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Cannot configure product","Cannot configure product"
"Cannot load wishlist item","Cannot load wishlist item"
"Cannot move item to wishlist","Cannot move item to wishlist"
"Cannot specify product.","Cannot specify product."
"Cannot specify wishlist item.","Cannot specify wishlist item."
"Cannot specify wishlist.","Cannot specify wishlist."
"Cannot update wishlist","Cannot update wishlist"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Atzīmējiet šo izvēles rūtiņu, ja vēlaties pievienot rss barotnes saiti jūsu vēlmju sarakstam."
"Click for price","Click for price"
"Comment","Piezīme"
"Comment:","Comment:"
"Configure Wishlist Item","Configure Wishlist Item"
"Configured Price:","Configured Price:"
"Could not find such wishlist","Could not find such wishlist"
"Could not find wishlist","Could not find wishlist"
"Customer My Account My Wishlist","Customer My Account My Wishlist"
"Customer My Account Wishlist Sharing Form","Customer My Account Wishlist Sharing Form"
"Customer Shared Wishlist View","Customer Shared Wishlist View"
"Date Added","Date Added"
"Days in Wishlist","Days in Wishlist"
"Display Wishlist Summary","Display Wishlist Summary"
"Edit","Edit"
"Email Sender","E-pasta sūtītājs"
"Email Template","E-pasta šablons"
"Email address can\'t be empty.","Email address can\'t be empty."
"Email addresses, separated by commas","E-pasta adreses (atdalītas ar komatiem)"
"Enabled","Atļauts"
"General Options","Vispārējās Izvēlnes"
"Go to Wishlist","Viss vēlmju saraksts"
"Helper for wishlist options rendering doesn't implement required interface.","Helper for wishlist options rendering doesn't implement required interface."
"In stock","In stock"
"Last Added Items","Pēdējās ieliktās preces"
"Message","Ziņa"
"My Wishlist","Vēlmju saraksts"
"My Wishlist (%d item)","Vēlmju saraksts (%d prece(s))"
"My Wishlist (%d items)","Vēlmju saraksts (%d prece(s))"
"My Wishlist <small>(%d)</small>","My Wishlist <small>(%d)</small>"
"My Wishlist Link","My Wishlist Link"
"Options Details","Options Details"
"Out of stock","Out of stock"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Lūdzu ievadiet derīgas e-pasta adreses, atdalot tās ar komatiem. Piemēram: janis@domens.lv, peteris@domens.lv."
"Please input a valid email address.","Please input a valid email address."
"Please, enter your comments...","Jūsu piezīmes par šo preci..."
"Product","Prece"
"Product Details and Comment","Product Details and Comment"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Product(s) %s have required options. Each of them can be added to cart separately only."
"Product(s) %s have required options. Each product can only be added individually.","Product(s) %s have required options. Each product can only be added individually."
"RSS Feed","RSS Barotne"
"RSS link to %s's wishlist","RSS saite uz %s vēlmju sarakstu"
"Remove Item","Dzēst preci"
"Remove This Item","Remove This Item"
"Remove item","Remove item"
"Requested cart item doesn't exist","Requested cart item doesn't exist"
"Requested wishlist doesn't exist","Requested wishlist doesn't exist"
"Share Options","Share Options"
"Share Wishlist","Nosūtīt šo sarakstu"
"Share Your Wishlist","Dalīties jūsu vēlmēs"
"Sharing Information","Izdalīšanas informācija"
"This Wishlist has no Items","This Wishlist has no Items"
"This product(s) is currently out of stock","This product(s) is currently out of stock"
"Unable to add the following product(s) to shopping cart: %s.","Unable to add the following product(s) to shopping cart: %s."
"Update Wishlist","Atjaunot vēlmju sarakstu"
"User Description","User Description"
"View Details","View Details"
"View Product","Apskatīt Preci"
"What's this?","What's this?"
"Wishlist","Vēlmju saraksts"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Vēlmju Saraksta Izdalīšana"
"Wishlist could not be created.","Wishlist could not be created."
"Wishlist is empty now.","Vēlmju saraksts ir tukšs."
"You have no items in your wishlist.","Vēlmju saraksts ir tukšs."
"Your Wishlist has been shared.","Your Wishlist has been shared."
