"%s","%s"
"%s role is a special one and can\'t be changed.","%s role is a special one and can\'t be changed."
"%s role is a special one and can\'t be deleted.","%s role is a special one and can\'t be deleted."
"%s role is protected.","%s role is protected."
"ACL Attribute Rules","ACL Attribuut Regels"
"ACL Attributes Information","ACL Attribuut Informatie"
"Add","Toevoegen"
"Add Admin Role","Beheerders-rol toevoegen"
"Add New Role","Nieuwe rol toevoegen"
"Address Type","Adres-type"
"Admin","Beheerder"
"Allow","Toestaan"
"An error occurred while deleting the role.","Er ging iets mis bij het verwijderen van de rol."
"An error occurred while saving attribute rules.","Er ging iets mis bij het opslaan van attribuut-regels."
"An error occurred while saving role.","Er ging iets mis bij het opslaan van de rol."
"Api Rules Information","API regels informatie"
"Assigned","Toegewezen"
"Associate to Website","Koppel aan Website"
"Attribute Rules Information","Attribuut regels informatie"
"Attribute Set","Attributen-set"
"Attributes","Attributen"
"Automatically Return Credit Memo Item to Stock","Voeg een geretourneerd item automatisch aan de voorraad toe."
"Back","Terug"
"Backorders","Backorders"
"Base Currency","Standaard valuta"
"Base Customer Balance","Klant basisbalans"
"Base Discount","Basis korting"
"Base Discount Amount","Basis kortingsbedrag"
"Base Item Subtotal","Basis item-subtotaal"
"Base Item Subtotal Including Tax","Basis item-subtotaal inclusief BTW"
"Base Original Price","Originele basisprijs"
"Base Price","Basisprijs"
"Base Price Including Tax","Basisprijs inclusief BTW"
"Base Shipping","Standaard verzending"
"Base Shipping Discount","Standaard verzendkorting"
"Base Shipping Tax","Standaard belasting op verzending"
"Base Subtotal","Basis subtotaal"
"Base Subtotal Including Tax","Basis subtotaal inclusief BTW"
"Base Tax Amount","Basis BTW-bedrag"
"Base Total Due","Basis te betalen"
"Base Total Paid","Basis totaal betaald"
"Base Total Refunded","Basis totaal refund"
"Buy Now URL","Koop Nu URL"
"Can Be Divided into Multiple Boxes for Shipping","Kan verdeeld worden over meerdere verzendmethodes"
"Canceled Qty","Geannuleerde hoeveelheid"
"Catalog","Catalogus"
"Catalog Product","Catalogus product"
"CatalogInventory","Catalogusvoorraad"
"Category ID","Categorie ID"
"City","Stad"
"Company","Bedrijf"
"Country","Land"
"Coupon Code","Kortingscode"
"Create","Maak aan"
"Create Permanent Redirect for old URL","Creëer Permanente Omleiding voor oude URL"
"Created From","Created From"
"Customer","Klant"
"Customer Address","Customer Address"
"Customer Address ID","Customer Address ID"
"Customer Balance","Customer Balance"
"Customer First Name","Voornaam klant"
"Customer ID","Customer ID"
"Customer Last Name","Klant achternaam"
"Customer Middle Name","Customer Middle Name"
"Customer Prefix","Customer Prefix"
"Customer Suffix","Customer Suffix"
"Default Image","Default Image"
"Delete","Verwijderen"
"Deny","Deny"
"Disable automatic group change based on VAT ID","Disable automatic group change based on VAT ID"
"Discount","Korting"
"Discount Amount","Kortingsbedrag"
"Discount Description","Discount Description"
"Edit","Bewerken"
