"10 minutes","10 minutes"
"15 minutes","15 minutes"
"20 minutes","20 minutes"
"30 minutes","30 minutes"
"5 minutes","5 minutes"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Geplande taken) - Alle tijden zijn in minuten"
"Daily","Dagelijks"
"Failure History Lifetime","Failure history lifetime"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Zorg dat Web > (on)veilige basis-URLs goed zijn ingesteld om correcte URLs te genereren tijdens cron runs."
"Generate Schedules Every","Maak planningen elke"
"History Cleanup Every","Geschiedenis opruimen elke"
"Hourly","Hourly"
"Invalid callback: %s::%s does not exist","Ongeldige callback: %s::%s bestaat niet"
"Invalid model/method definition, expecting ""model/class::method"".","Onjuist model/methode definitie, ik verwacht ""model/class::method""."
"Minute Intervals","Minute Intervals"
"Missed if Not Run Within","Gemist als niet uitgevoerd binnen"
"Monthly","Maandelijks"
"No callbacks found","Geen callbacks gevonden"
"Schedule Ahead for","Planning vooruit maken voor"
"Success History Lifetime","Success history lifetime"
"Too late for the schedule.","Te laat om te agenderen"
"Unable to delete the cron task.","Unable to delete the cron task."
"Unable to save the cron expression.","Het is niet mogelijk om deze cron op te slaan"
"Weekly","Wekelijks"
