" or "," or "
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' lijkt een DNS hostnaam te zijn maar kan geen TLD deel eruit halen."
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' lijkt een DNS hostnaam te zijn maar komt niet overeen met de TLD in de eigen bekende lijst."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' lijkt een DNS hostnaam te zijn maar kan niet overeenkomen met de hostnaam voor het TLD schema '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' lijkt een DNS hostnaam te zijn maar bevat een liggende streep op een ongeldige positie"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' lijkt een DNS hostnaam te zijn maar de gegeven punycode kan niet worden gedecodeerd"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' lijkt een lokale netwerk naam te zijn maar, lokale netwerk namen zijn niet toegestaan"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' lijkt een IP adres te zijn, maar IP adressen zijn niet toegestaan"
"'%value%' does not appear to be a valid local network name","'%value%' blijkt geen geldige lokale netwerk naam te zijn"
"* Required Fields","* Verplichte velden"
"ALL GROUPS","ALLE GROEPEN"
"Account Dashboard","Accountpagina"
"Account Information","Accountgegevens"
"Account Sharing Options","Opties account delen"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Account bevestiging is vereist. Controleert u uw e-mail voor de bevestigingslink. Om de bevestiging e-mail opnieuw te sturen <a href=""%s"">klik hier</a>."
"Action","Actie"
"Add New Address","Nieuw adres toevoegen"
"Add New Customer","Nieuwe klant toevoegen"
"Add New Customer Group","Nieuwe klantengroep toevoegen"
"Added From","Toegevoegd vanaf"
"Additional Address Entries","Extra Adressen"
"Address","Adres"
"Address Book","Adresboek"
"Address Books","Adresboek"
"Address Information","Adres Informatie"
"Address Templates","Adres Template"
"Addresses","Adressen"
"Admin","Beheerder"
"All","Alle"
"All Store Views","Alle winkel-zichten"
"All countries","Alle landen"
"Always optional.","Altijd optioneel"
"Amount","Bedrag"
"An error occurred while deleting the address.","Er is een fout opgetreden bij het verwijderen van het adres"
"An error occurred while retrieving the option value: %s.","An error occurred while retrieving the option value: %s."
"An error occurred while saving the collection, aborting. Error: %s","Er is een fout opgetreden bij het opslaan. Foutmelding: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"Approved","Goedgekeurd"
"Are you sure that you want to remove this item?","Weet u zeker dat u dit artikel wilt verwijderen?"
"Are you sure you want to cancel adding of this address?","Weet u zeker dat u het toevoegen van dit adres wilt annuleren?"
"Are you sure you want to delete this address?","Weet u zeker dat u dit adres wilt verwijderen?"
"Are you sure?","Weet u het zeker?"
"Array of Entity collections is expected.","Array of Entity collections is expected."
"Assign a Customer Group","Klantengroep toewijzen"
"Average Sale","Gemiddeld bedrag"
"Back","Terug"
"Back - link to the previously viewed page","Terug naar vorige pagina"
"Back to Login","Terug naar login venster"
"Bad request.","Foute aanvraag"
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Op basis van het BTW-nummer, zou de klant behoren tot de klantengroep %s."
"Bill to Name","Stuur rekening op naam"
"Bought From","Gekocht van"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Door een account aan te maken in deze winkel kunt u het betalingsproces sneller doorlopen, meerdere verzendadressen opslaan, bestellingen bekijken en volgen en meer."
"CSV","CSV"
"Cancel","Annuleren"
"Cannot save a new password.","Kan nieuw wachtwoord niet opslaan."
"Cannot save address.","Kan het adres niet opslaan"
"Cannot save the customer.","Kan de klant niet opslaan"
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Kan geen accounts globaal delen. Sommige accounts zijn op meerdere websites aangemeld en kunnen niet samengevoegd worden."
"Change Account Password","Account wachtwoord wijzigen"
"Change Billing Address","Wijzigen"
"Change Password","Wachtwoord wijzigen"
"Change Shipping Address","Wijzigen"
"City","Plaats"
"Company","Bedrijf"
"Config","Configureer"
"Configure","Configureren"
"Confirm New Password","Bevestig nieuw wachtwoord"
"Confirm Password","Bevestig het wachtwoord"
"Confirmation Link Email","Bevestinglink e-mail"
"Confirmed","Bevestigd"
"Contact Information","Contactgegevens"
"Continue Shopping","Ga verder met winkelen"
"Country","Land"
"Create","Aanmaken"
"Create New Account Options","Nieuwe account-opties aanmaken"
"Create New Customer Account","Nieuw klant-account aanmaken"
"Create Order","Bestelling aanmaken"
"Create an Account","Account aanmaken"
"Create customer","Klant aanmaken"
"Create customer address","Klantadres aanmaken"
"Current Password","Huidig wachtwoord"
"Customer","Klant"
"Customer API","Klanten API"
"Customer Account Edit Form","Bewerk Klantgegevens"
"Customer Account Login Form","Klantaccount Inlog"
"Customer Account Logout Success","Succesvol afgemeld"
"Customer Account Registration Form","Account registratieformulier"
"Customer Addresses","Klantadressen"
"Customer Configuration","Klant-configuratie"
"Customer Forgot Password Form","Mindstretch"
"Customer Group","Klantengroep"
"Customer Groups","Klantengroepen"
"Customer Information","Klantgegevens"
"Customer Login","Klant-login"
"Customer My Account (All Pages)","Mindstretch"
"Customer My Account Address Book","Mindstretch"
"Customer My Account Address Edit Form","Mindstretch"
"Customer My Account Dashboard","Mindstretch"
"Customer Since","Klant sinds"
"Customer View","Overzicht"
"Customer collection expected.","Mindstretch"
"Customer email is required","Klant e-mail is vereist"
"Customer website ID must be specified when using the website scope","Klant website ID moet worden gespecificeerd bij het gebruik van de website scope"
"Customer will stay on the current page if ""No"" is selected.","Klant blijft op de huidige pagina indien ""No"" word geselecteerd."
"Customers","Klanten"
"Customers Only","Alleen klanten"
"Customers Section","Sectie Klanten"
"DD","DD"
"Date","Datum"
"Date Added","Datum toegevoegd"
"Date of Birth","Geboortedatum"
"Day","Dag"
"Days in Wishlist","Dagen op verlanglijst"
"Default Addresses","Standaard-adressen"
"Default Billing Address","Standaard factuuradres"
"Default Email Domain","Standaard e-maildomein"
"Default Group","Standaardgroep"
"Default Shipping Address","Standaard leveringsadres"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Default Welcome Email","Standaard welkomst-mail"
"Delete","Verwijder"
"Delete Address","Adres verwijderen"
"Delete Customer","Delete customer"
"Delete Customer Group","Klantengroep verwijderen"
"Delete customer","Klant verwijderen"
"Delete customer address","Klantadres verwijderen"
"Deleted Stores","Verwijderde winkels"
"Details","Details"
"Disabled","Uitgeschakeld"
"Edit","Wijzigen"
"Edit Account Info","Accountgegevens bewerken"
"Edit Account Information","Accountgegevens bewerken"
"Edit Address","Adres bewerken"
"Edit Address Entry","Adres bewerken"
"Edit Customer Group ""%s""","Klantengroep wijzigen ""%s"""
"Edit Customer Groups","Klantengroepen bewerken"
"Edit Customer's Address","Klantadres bewerken"
"Edit Group","Groep bewerken"
"Edit Newsletters","Nieuwsbrieven bewerken"
"Email","E-mail"
"Email Address","E-mailadres"
"Email Sender","E-mail afzender"
"Email:","E-mail:"
"Enable Automatic Assignment to Customer Group","Schakel automatische toewijzing aan de Klant Group in"
"Entity collection is expected.","Entiteiten verwacht"
"Excel XML","Excel XML"
"Failed to confirm customer account.","Bevestigen van klantaccount mislukt"
"Fax","Fax"
"First Name","Voornaam"
"Forgot Email Template","Template e-mail vergeten"
"Forgot Password","Wachtwoord vergeten"
"Forgot Your Password","Uw Wachtwoord Vergeten"
"Forgot Your Password?","Wachtwoord vergeten?"
"Forgot and Remind Email Sender","Vergeten en herinneren Email afzender"
"Form Fields Before","Form Fields Before"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Uw accountpagina biedt u een overzicht van uw meest recente activiteiten. U kunt o.a. bestellingen inzien en accountgegevens updaten. Selecteer een link hieronder om aan de slag te gaan!"
"Gender","Geslacht"
"Gender is required.","Geslacht is vereist."
"General Subscription","Algemeen abonnement"
"Generate Human-Friendly Customer ID","Genereer klantvriendelijke gebruikersnaam"
"Global","Systeem"
"Group","Groep"
"Group Information","Groepsgegevens"
"Group Name","Groepsnaam"
"Group for Invalid VAT ID","Groep voor Ongeldig BTW-nummer"
"Group for Valid VAT ID - Domestic","Groep voor Geldig BTW Nummer - Binnenlands"
"Group for Valid VAT ID - Intra-Union","Groep voor Geldig BTW Nummer - Intra-Unie"
"Guest","Gast"
"HTML","HTML"
"Hello, %s!","Hallo, %s!"
"ID","ID"
"IP Address","IP-adres"
"If you believe this is an error, please contact us at %s","Als je denkt dat dit een vergissing is, neem dan contact met ons op %s"
"If you have an account with us, please log in.","Als u een account bij ons hebt, log dan in a.u.b."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid billing address for (%s)","Ongeldig factuuradres voor (%s)"
"Invalid current password","Huidig wachtwoord ongeldig"
"Invalid customer data","Ongeldige klantgegevens"
"Invalid email address ""%s"".","Ongeldig emailadres ""%s""."
"Invalid email address.","Ongeldig e-mailadres"
"Invalid login or password.","Ongeldige gebruikersnaam en/of wachtwoord."
"Invalid password reset token.","Ongeldig wachtwoord reset token."
"Invalid shipping address for (%s)","Ongeldig verzendadres voor (%s)"
"Invalid store specified, skipping the record.","Ongeldige winkel gespecificeerd. Record wordt overgeslagen."
"Invalid website, skipping the record, line: %s","Ongeldige website, overslaan van het record, lijn: %s"
"Last Activity","Laatste activiteit"
"Last Date Subscribed","Laatste datum geabonneerd"
"Last Date Unsubscribed","Laatste datum uitgeschreven"
"Last Name","Achternaam"
"Last URL","Laatste URL"
"Leave empty for default (15 minutes).","Laat leeg voor standaard (15 minuten)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Verkooptotaal vanaf eerste bestelling"
"Log In","Inloggen"
"Log Out","Log uit"
"Login","Inloggen"
"Login Information","Login-gegevens"
"Login Options","Aanmeldopties"
"Login and password are required.","Loginnaam en wachtwoord zijn verplicht"
"Login or Create an Account","Inloggen of een account aanmaken"
"MM","MM"
"Manage Addresses","Beheer adressen"
"Manage Customers","Beheer klanten"
"Maximum length must be less then %s symbols","Maximale lengte moet kleiner zijn dan %s tekens"
"Missing email, skipping the record, line: %s","Ontbrekende e-mail, overslaan van het record, lijn: %s"
"Missing email, skipping the record.","E-mailadres ontbreekt. Record wordt overgeslagen."
"Missing first name, skipping the record, line: %s","Ontbrekende voornaam, overslaan van het record, lijn: %s"
"Missing firstname, skipping the record.","Voornaam ontbreekt. Record wordt overgeslagen."
"Missing last name, skipping the record, line: %s","Ontbrekende achternaam, overslaan van het record, lijn: %s"
"Missing lastname, skipping the record.","Achternaam ontbreekt. Record wordt overgeslagen."
"Missing website, skipping the record, line: %s","Ontbrekende website, overslaan van het record, lijn: %s"
"Month","Maand"
"My Account","Mijn account"
"My Account Wrapper","Mijn account wrapper"
"My Dashboard","Mijn accountpagina"
"My Orders","Mijn orders"
"Name","Naam"
"Name and Address Options","Naam- en adresopties"
"Never","Nooit"
"New Address","Nieuw adres"
"New Address Entry","Nieuw adres toevoegen"
"New Customer","Nieuwe klant"
"New Customer Address","Nieuw klantadres"
"New Customer Group","Nieuwe klantengroep"
"New Customer Groups","Nieuwe klantengroepen"
"New Customers","Nieuwe klanten"
"New Group","Nieuwe groep"
"New Password","Nieuw wachtwoord"
"New account","Nieuw account"
"New account confirmation key","Bevestigingscode nieuw account"
"New account confirmed","Nieuw account bevestigd"
"New password field cannot be empty.","Het wachtwoord veld kan niet leeg zijn"
