"%s Index process is working now. Please try run this process later.","%s herinderxing loopt nu. Wacht en probeer straks opnieuw."
"%s index was rebuilt.","%s index is vernieuwd"
"'%s' Index Process Information","\'%s\' Index Process Information"
"Action","Actie"
"Cannot initialize the indexer process.","Kan niet indexeren"
"Change Index Mode","Modus herindexering veranderen"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Klik hier om naar <a href=""%s"">Cache beheer</a> te gaan en ververs cachetypes."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Klik hier om naar <a href=""%s"">Indexbeheer</a> te gaan en de vereiste indices te herbouwen."
"Delete","Verwijderen"
"Description","Omschrijving"
"Disable","Deactiveer"
"Enable","Activeer"
"General","Algemeen"
"Index","Index"
"Index Description","Indexomschrijving"
"Index Management","Index Management"
"Index Mode","Index modus"
"Index Name","Index naam"
"Index mode","Index modus"
"Indexer code is not defined.","Index code niet opgegeven."
"Indexer model is not defined.","Index model niet opgegeven."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indexer model should extend Mage_Index_Model_Indexer_Abstract."
"Manual Update","Handmatig herindexeren"
"Mode","Mode"
"Never","Nooit"
"No","Nee"
"One or more of the Indexes are not up to date:","Index moet bijgewerkt worden:"
"Please select Index(es)","Selecteer index(es)"
"Please select Indexes","Selecteer index(es)"
"Process Information","Voortgangsinformatie"
"Processing","Verwerken"
"Ready","Klaar"
"Refresh","Vernieuwen"
"Reindex Data","Nu herindexeren"
"Reindex Required","Indexeren nodig"
"Revoke","Intrekken"
"Status","Status"
"System","Systeem"
"The index has been saved.","De index is opgeslagen"
"There was a problem with reindexing process.","Er was een probleem bij het indexeren"
"There was a problem with saving process.","Er was een probleem bij het opslaan"
"Total of %d index(es) have changed index mode.","In totaal %d index(es) zijn aangepast."
"Total of %d index(es) have reindexed data.","In totaal %d index(es) zijn geindexeerd."
"Update Required","Update vereist"
"Update on Save","Indexeren bij opslaan"
"Updated At","Bijgewerkt op"
"Yes","Ja"
