"%d Review(s)","%d review(s)"
"%s Review(s)","%s review(s)"
"(Posted on %s)","(Geplaatst op %s)"
"1 star","1  ster"
"2 stars","2 sterren"
"3 stars","3 sterren"
"4 stars","4 sterren"
"5 stars","5 sterren"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Nieuwe review toevoegen"
"Add Your Review","Uw review toevoegen"
"Administrator","Admin"
"All Reviews","Alle reviews"
"All Reviews of Customer `%s`","Alle reviews van klant `%s`"
"All Reviews of Product `%s`","Alle reviews van product `%s`"
"Allow Guests to Write Reviews","Sta bezoekers toe reviews te schrijven"
"Approved","Approved"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt?"
"Are you sure?","Weet u het zeker?"
"Average Customer Rating","Gemiddelde klantenwaardering"
"Average Customer Rating:","Gemiddelde klantenwaardering:"
"Back","Terug"
"Back to Main Product Info","Terug naar productpagina"
"Back to My Reviews","Terug naar mijn reviews"
"Back to Product Reviews","Terug naar productreviews"
"Be the first to review this product","Schrijf de eerste review van dit product"
"Catalog Product Review View","Aangezicht van Catalogus Product Review"
"Catalog Product Reviews List","Catalogus Product Review lijst"
"Created On","Aangemaakt op"
"Customer","Klant"
"Customer My Account Product Reviews","Klant Mijn Account Product Reviews"
"Customer My Account Review Details","Klant Mijn Account Review Details"
"Customer Reviews","Klantenreviews"
"Customers Reviews","Klant Reviews"
"Delete","Verwijder"
"Delete Review","Review verwijderen"
"Detailed Rating","Gedetailleerde waardering"
"Edit Review '%s'","Review wijzigen: ‘%s’"
"Guest","Gast"
"How do you rate this product?","Hoe waardeert u dit product?"
"ID","ID"
"Manage Ratings","Beheer ratings"
"My Product Reviews","Mijn productreviews"
"My Recent Reviews","Mijn recente reviews"
"Name","Naam"
"Name in Store","Naam in winkel"
"New Review","Nieuwe review"
"Nickname","Schermnaam"
"Nickname can\'t be empty","Bijnaam kan niet leeg zijn."
"Not Approved","Not Approved"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Alleen geregistreerde klanten kunnen reviews schrijven. U kunt <a href=""%s"">inloggen</a> met uw bestaande account of u kunt een <a href=""%s"">nieuw account</a> aanmaken."
"Pending","Pending"
"Pending Reviews","Te modereren reviews"
"Pending Reviews of Customer `%s`","Openstaande reviews van klant `%s`"
"Please select a product","Selecteer een product aub"
"Please select one of each of the ratings above","Selecteer een van de waarderingen hierboven"
"Posted By","Geplaatst door"
"Price","Prijs"
"Product","Product"
"Product Name","Productnaam"
"Product Rating","Productwaardering"
"Product Rating:","Productwaardering:"
"Product Review (submitted on %s):","Productreview (ingestuurd op %s):"
"Product Reviews","Product-reviews"
"Product SKU","Artikelnummer"
"Products Reviews","Product Reviews"
"Qty","Aantal"
"Rating:","Waardering:"
"Review","Review"
"Review (submitted on %s):","Review (verzonden op %s):"
"Review Details","Details review"
"Review Form Fields Before","Review formulier-velden voor"
"Review by <span>%s</span>","Review van <span>%s</span>"
"Review can\'t be empty","Review kan niet leeg zijn"
"Review summary can\'t be empty","De review moet een tekst bevatten."
"Reviews and Ratings","Reviews en ratings"
"SKU","Artikelnummer"
"Save Review","Review opslaan"
"Status","Status"
"Submit Review","Review versturen"
"Summary Rating","Samenvatting waardering"
"Summary of Review","Samenvatting van review"
"Summary of Your Review","Samenvatting van uw review"
"Title","Titel"
"Type","Type"
"Unable to post the review.","Het plaatsen van deze review is mislukt."
"Update Status","Update Status"
"View All Reviews","Alle reviews bekijken"
"View Details","Details bekijken"
"Visible In","Zichtbaar in"
"Websites","Websites"
"Write Your Own Review","Schrijf uw eigen review"
"You have submitted no reviews.","U hebt geen reviews verstuurd."
"You're reviewing:","Je bent bezig met een review:"
"Your Rating:","Uw waardering:"
"Your Review (submitted on %s):","Uw review (verstuurd op %s):"
"Your review has been accepted for moderation.","Uw review is ontvangen en zal worden gecontroleerd."
