"ALL","ALLE"
"ANY","ANY"
"Add","Toevoegen"
"Apply","Toepassen"
"Conditions Combination","Conditie Combinatie"
"Customer Groups must be specified.","Klantengroepen moeten ingevuld zijn"
"End Date must be greater than Start Date.","De einddatum moet na de startdatum liggen."
"FALSE","ONJUIST"
"If %s of these conditions are %s:","Als %s van deze voorwaarden %s zijn:"
"Invalid discount amount.","Ongeldig kortingsbedrag"
"Open Chooser","Kiezer openen"
"Perform following actions","Voer de volgende acties uit"
"Please choose a condition to add...","Kies een conditie om toe te voegen aub..."
"Please choose an action to add...","Kies een actie om toe te voegen..."
"Remove","Verwijderen"
"TRUE","WAAR"
"There is no information about associated entity type ""%s"".","There is no information about associated entity type ""%s""."
"Websites must be specified.","Websites moeten ingevuld zijn."
"by","door"
"contains","bevat"
"does not contain","bevat niet"
"does not contains","does not contains"
"equals or greater than","gelijk aan of groter dan"
"equals or less than","gelijk aan of kleiner dan"
"for","for"
"for greater than","for greater than"
"for or greater than","for or greater than"
"found","found"
"from","from"
"greater than","groter dan"
"is","is"
"is not","is niet"
"is not one of","behoort niet tot"
"is one of","behoort tot"
"less than","kleiner dan"
"not found","not found"
"not from","not from"
"to","naar"
"was","was"
"was not","was not"
