"All Websites","Alle websites"
"Apply Discounts To FPT","Pas korting toe op FPT"
"Apply Tax To FPT","Apply Tax To FPT"
"Display Prices In Emails","Toon prijzen in Email"
"Display Prices In Product Lists","Prijzen tonen in productoverzicht"
"Display Prices In Sales Modules","Prijzen Tonen in verkoop modules"
"Display Prices On Product View Page","Prijzen tonen op product pagina"
"Enable FPT","Schakel FPT in"
"Excluding FPT","Exclusief FPT"
"Excluding FPT, FPT description, final price","Exclusief FPT, FPT omschrijving, totaalprijs"
"FPT Tax Configuration","FPT Tax Configuration"
"Fixed Product Tax","Vast product BTW tarief"
"Fixed Product Taxes","Vast product BTW tarieven"
"Include FPT In Subtotal","Inclusief FPT in subtotaal"
"Including FPT and FPT description","Toon FPT en FPT omschrijving"
"Including FPT and FPT description [incl. FPT VAT]","Inclusief FPT en FPT omschrijving [incl. FPT BTW]"
"Including FPT only","Inclusief FPT only"
"Loaded and Displayed with Tax","Loaded and Displayed with Tax"
"Not Taxed","Not Taxed"
"Taxed","Taxed"
"Total","Totaal"
"Total Incl. Tax","Totaal incl. BTW"
"Total excl. tax","Total excl. tax"
"Total incl. tax","Totaal inclusief BTW"
"Total:","Total:"
