"""%s"" is not available in the requested quantity. %s of the items will be backordered.",""
"%s is available for purchase in increments of %s only.",""
"%s is not a correct comparsion method.",""
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.",""
"Add Minimum Qty",""
"Allow Qty Below 0",""
"Allow Qty Below 0 and Notify Customer",""
"Automatically Return Credit Memo Item to Stock",""
"Backorders",""
"By Fixed value",""
"By Percentage",""
"Cannot specify product identifier for the order item.",""
"Catalog Inventory",""
"Decrease Stock When Order is Placed",""
"Display Out of Stock Products",""
"Enable Qty Increments",""
"In Stock",""
"Index Product Stock Status",""
"Inventory",""
"Inventory API",""
"Inventory Section",""
"Manage Stock",""
"Maximum Qty Allowed in Shopping Cart",""
"Minimum Qty",""
"Minimum Qty Allowed in Shopping Cart",""
"No Backorders",""
"Not all products are available in the requested quantity",""
"Notify for Quantity Below",""
"Only X left Threshold",""
"Out of Stock",""
"Product Stock Options",""
"Qty Increments",""
"Qty for Item's Status to Become Out of Stock",""
"Retrieve stock data",""
"Retrieve stock data by product ids",""
"Rule price",""
"Set Items' Status to be In Stock When Order is Cancelled",""
"Some of the products are currently out of stock",""
"Some of the products cannot be ordered in requested quantity.",""
"Some of the products cannot be ordered in the requested quantity.",""
"Stock Options",""
"Stock Status",""
"The maximum quantity allowed for purchase is %s.",""
"The minimum quantity allowed for purchase is %s.",""
"The requested quantity for ""%s"" is not available.",""
"The stock item for Product in option is not valid.",""
"The stock item for Product is not valid.",""
"This product is available for purchase in increments of %s only.",""
"This product is currently out of stock.",""
"This product is not available in the requested quantity. %s of the items will be backordered.",""
"To Fixed Value",""
"To Percentage",""
"Undefined product type.",""
"Update",""
"Update product stock data",""
"Update the Product","Update the Product"
