"%s","%s"
"-- Please Select --","-- Te rugam sa selectezi --"
"Actions","Actiuni"
"Add Layout Update","Add Layout Update"
"Add New Widget Instance","Add New Widget Instance"
"All","Toate"
"All Pages","All Pages"
"All Product Types","All Product Types"
"An error occurred during saving a widget: %s","An error occurred during saving a widget: %s"
"Anchor Categories","Anchor Categories"
"Apply","Apply"
"Assign to Store Views","Assign to Store Views"
"Big Image","Big Image"
"Block Reference","Block Reference"
"CMS","CMS"
"Categories","Categorii"
"Choose...","Choose..."
"Close","Inchide"
"Continue","Continua"
"Default Template","Default Template"
"Delete","Sterge"
"Design Package/Theme","Design Package/Theme"
"Export to:","Export catre:"
"Frontend Properties","Frontend Properties"
"Generic Pages","Generic Pages"
"Images","Images"
"Insert Widget","Insert Widget"
"Insert Widget...","Insert Widget..."
"Layout Updates","Layout Updates"
"Manage Widget Instances","Manage Widget Instances"
"New Instance","New Instance"
"New Widget Instance","New Widget Instance"
"Next page","Next page"
"Non-Anchor Categories","Non-Anchor Categories"
"Not Selected","Not Selected"
"Open Chooser","Open Chooser"
"Page","Page"
"Please Select Block Reference First","Please Select Block Reference First"
"Previous page","Previous page"
"Products","Produse :"
"Remove Layout Update","Remove Layout Update"
"Save and Continue Edit","Salveaza si continua editarea"
"Select All","Selecteaza tot"
"Select Visible","Select Visible"
"Settings","Settings"
"Sort Order","Sort Order"
"Sort Order of widget instances in the same block reference","Sort Order of widget instances in the same block reference"
"Specific %s","Specific %s"
"Specified Page","Specified Page"
"Template","Template"
"The information in this tab has been changed.","The information in this tab has been changed."
"The widget instance has been deleted.","The widget instance has been deleted."
"The widget instance has been saved.","The widget instance has been saved."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
"Thumbnail","Thumbnail"
"Total %d records found","Total %d records found"
"Type","Tip"
"Unselect All","Unselect All"
"Unselect Visible","Unselect Visible"
"View","View"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Insertion","Widget Insertion"
"Widget Instance","Widget Instance"
"Widget Instance Title","Widget Instance Title"
"Widget Options","Widget Options"
"Widget Type","Widget Type"
"Widget Type is not specified","Widget Type is not specified"
"Widget instance is not full complete to create.","Widget instance is not full complete to create."
"Widgets","Widgets"
"Wrong widget instance specified.","Wrong widget instance specified."
"items selected","items selected"
"of %s pages","of %s pages"
"per page","per page"
