"Actions","Åtgärder"
"An error occurred while marking notification as read.","Ett fel uppstod när meddelandet skulle markeras som läst."
"An error occurred while marking the messages as read.","Ett fel uppstod när meddelandena skulle markeras som lästa."
"An error occurred while removing messages.","Ett fel uppstod när meddelandena skulle tas bort."
"An error occurred while removing the message.","Ett fel uppstod när meddelandet skulle tas bort."
"Are you sure?","Är du säker?"
"Date Added","Tillagd den"
"Last Update","Senaste uppdatering"
"Mark as Read","Markera som läst"
"Mark as read","Markera som läst"
"Message","Meddelande"
"Messages Inbox","Inkorg för meddelanden"
"Notifications","Meddelanden"
"Please select messages.","Vänligen välj meddelanden."
"Read Details","Läs detaljer"
"Remove","Ta bort"
"Severity","Risknivå"
"Show List","Visa lista"
"Show Toolbar","Visa verktygsfält"
"The message has been marked as read.","Meddelandet har markerats som läst."
"The message has been removed.","Meddelandet har tagits bort."
"Total of %d record(s) have been marked as read.","%d post(er) har markerats som lästa."
"Total of %d record(s) have been removed.","%d post(er) har tagits bort."
"Unable to proceed. Please, try again.","Kunde inte fortsätta. Vänligen försök igen."
"Update Frequency","Uppdateringsfrekvens"
"Use HTTPS to Get Feed","Använd HTTPS för att hämta RSS-flödet"
"Wrong message type","Fel meddelandetyp"
"critical","kritisk"
"major","större"
"minor","mindre"
"notice","notis"
