" The customer does not exist in the system anymore.","Kunden finns inte längre i systemet."
" [deleted]","[borttagen]"
" and ","och"
"%s (Default Template from Locale)","%s (Förvald mall från språk)"
"%s cache type(s) disabled.","% cachetyp(er) inaktiverad(e)."
"%s cache type(s) enabled.","% cachetyp(er) aktiverad(e)."
"%s cache type(s) refreshed.","% cachetyp(er) uppdaterad(e)."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(För typen ""Lokal server"" krävs användning av en relativ sökväg till Magento installationen var/export eller var/import, e.g. var/export, var/import, var/export/någon/katalog, var/import/någon/katalog)"
"(For US 2-letter state names)","(Till förkortningar på 2 bokstäver för amerikanska stater)"
"(If left empty will be auto-generated)","(Kommer att skapas automatiskt om den lämnas tom)"
"(Leave empty for first spreadsheet)","(Lämna tomt för första kalkylbladet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkter kommer att läggas till/uppdateras i den här butiken om kolumnen 'store' är tom eller saknas i importfilen.)"
"(Shift-)Click or drag to change value","(Shift-)Klicka eller drag för att ändra värde"
"(Starting with)","(Börjar med)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(När 'Nej', kommer endast kartlagda fält importeras. Under kartläggningen, använd 'kolumn1', 'kolumn2', etc..)"
"(You have to increase php memory_limit before changing this value)","(Du måste öka php memory_limit före du kan ändra detta värde)"
"(\\t for tab)","( \t för tab )"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Om indexering kör så kommer den att stoppas och en ny indexeringsprocess startas."
"* Required Fields","* Obligatoriska fält"
"- Click on any of the time parts to increase it","- Klicka på någon av tidsdelarna för att öka den"
"- Hold mouse button on any of the above buttons for faster selection.","- Håll muspekaren över någon av de ovanstående knapparna för snabbare val."
"- Use the %s buttons to select month","- Använd %s knapparna för att välja månad"
"- Use the %s, %s buttons to select year","- Använd %s, %s knapparna för att välja år"
"- or Shift-click to decrease it","- eller shift-klicka för minska den"
"- or click and drag for faster selection.","- eller klicka och för muspekaren för snabbare val."
"-- Not Selected --","-- Inget val gjort --"
"-- Please Select --","-- Vänligen välj --"
"-- Please Select Billing Agreement--","-- Välj faktureringsavtal --"
"-- Please Select a Category --","-- Välj en kategori --"
"-- Please select --","-- Vänligen välj --"
"--Please Select--","--Vänligen välj--"
"1 Hour","1 timme"
"12 Hours","12 timmar"
"12h AM/PM","12h AM/PM"
"2 Hours","2 timmar"
"24 Hours","24 timmar"
"24h","24h"
"2YTD","Senaste 2 åren"
"6 Hours","6 timmar"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Fel</h1><p>Sidan kunde inte hittas.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> begär åtkomst till ditt konto"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Observera:</strong> Captcha gör skillnad på stora och små bokstäver."
"A user with the same user name or email aleady exists.","En användare med samma användarnamn eller e-postadress finns redan."
"API Key","API nyckel"
"API Key Confirmation","API nyckel bekräftelse"
"ASCII","ASCII"
"Abandoned Carts","Övergivna varukorgar"
"About the calendar","Om kalendern"
"Access Denied","Åtkomst nekad"
"Access denied","Åtkomst nekad"
"Access denied.","Åtkomst nekad."
"Account Created in:","Kontot skapades i:"
"Account Created on (%s):","Kontot skapades den (%s):"
"Account Created on:","Kontot skapades den:"
"Account Information","Kontoinformation"
"Account Status","Kontostatus"
"Account status","Kontostatus"
"Action","Åtgärd"
"Actions","Åtgärder"
"Actions XML","XML för åtgärder"
"Active","Aktiv"
"Add","Lägg till"
"Add Exception","Lägg till undantag"
"Add Field Mapping","Lägg till fältkoppling"
"Add Field with URL:","Lägg till fält med URL:"
"Add New","Ny"
"Add New Image","Ny bild"
"Add New Profile","Ny profil"
"Add New Role","Ny roll"
"Add New Template","Ny mall"
"Add New URL Rewrite","Ny URL rewrite"
"Add New User","Ny användare"
