"Access denied.","Nekad åtkomst."
"Can not find webservice adapter.","Can not find webservice adapter."
"Client Session Timeout (sec.)","Client Session Timeout (sec.)"
"Default Response Charset","Default Response Charset"
"Email","E-post"
"Enable WSDL Cache","Aktivera WSDL cache"
"General Settings","Allmänna inställningar"
"Invalid webservice adapter specified.","Invalid webservice adapter specified."
"Invalid webservice handler specified.","Invalid webservice handler specified."
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API sektion"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Roller"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Användare"
"Unable to login.","Kunde inte logga in."
"User Name","Användarnamn"
"WS-I Compliance","WS-I Compliance"
"Web Services","Web Services"
"Your account has been deactivated.","Ditt konto har inaktiverats."
