"--Please Select--","--Vänligen välj---"
"API Login ID","API inloggnings-id"
"Accepted Currency","Accepterad valuta"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Summan %s godkändes av betalningsportalen. Transaktions-ID: ""%s""."
"Authorize.net Direct Post","Authorize.net direkt inlägg"
"Card Verification Number","Kort verifieringskod"
"Card Verification Number Visual Reference","Kort verifieringskod visuell referens"
"Close","Stäng"
"Credit Card Information","Betalkortsinformation"
"Credit Card Number","Betalkortsnummer"
"Credit Card Type","Betalkortstyp"
"Credit Card Types","Betalkortstyper"
"Credit Card Verification","Betalkortsverifiering"
"Debug","Felsök"
"Email Customer","Skicka e-post till kund"
"Enabled","Aktiverad"
"Expiration Date","Utgångsdatum"
"Gateway URL","Gateway-URL"
"Maximum Order Total","Maximal order summa"
"Merchant MD5","MD5 för försäljaren"
"Merchant's Email","Försäljarens e-post"
"Minimum Order Total","Minimum order summa"
"New Order Status","Ny order status"
"Order saving error: %s","Ett fel uppstod när beställningen skulle sparas: %s"
"Payment Action","Betalningsåtgärd"
"Payment authorization error.","Fel vid auktorisering av betalning."
"Payment authorization error. Transacion id is empty.","Fel vid auktorisering av betalning. Transaktions-id saknas."
"Payment error. Order was not found.","Fel vid betalning. Ordern hittades inte."
"Payment error. Paid amount doesn\'t match the order amount.","Fel vid betalning. Betalt belopp matchar inte order summan."
"Payment from Applicable Countries","Betalning från tillåtna länder"
"Payment from Specific Countries","Betalning från specifika länder"
"Please, choose payment method","Vänligen, välj ett betalningssätt"
"Response hash validation failed. Transaction declined.","Hash valideringen misslyckades att svara. Transaktionen nekas."
"Sort Order","Sorterings ordning"
"Test Mode","Testläge"
"The order has been created.","Ordern har lagts."
"There was an error processing your order. Please contact us or try again later.","Ett fel uppstod vid hanteringen av din order. Vänligen kontakta oss eller försök igen senare."
"Title","Titel"
"Transaction Key","Transaktionsnyckel"
"What is this?","Vad är detta?"
"You will be required to enter your payment details before you place an order.","Du kommer att krävas ange dina betalningsuppgifter före du lägger en order."
