"%1$s incl tax.","%1$s inkl. moms."
"* Required Fields","* Obligatoriska fält"
"-- Select --","-- Välj --"
"Add New Option","Nytt alternativ"
"Add Selection","Lägg till val"
"As Low as","Från"
"As low as","Från"
"Bundle Items","Paketartiklar"
"Bundle Product","Paketprodukt"
"Bundle Product View Summary","Bundle Product View Summary"
"Buy %1$s","Köp %1$s"
"Buy %1$s for","Köp %1$s för"
"Buy %1$s for %2$s","Köp %1$s för %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Köp %1$s för %2$s (%3$s inkl. moms) styck"
"Buy %1$s for %2$s each","Köp %1$s för %2$s styck"
"Buy %1$s with %2$s discount each","Köp %$1 med %$2s rabatt styck"
"Catalog Product View (Bundle)","Produktsida (paketprodukt)"
"Checkbox","Kryssruta"
"Choose a selection...","Välj ett alternativ..."
"Click for price","Klicka för pris"
"Close","Stäng"
"Default","Förvald"
"Default Qty","Förvalt antal"
"Default Title","Förvald titel"
"Drop-down","Rullgardinsmeny"
"Dynamic","Dynamisk"
"Excl. Tax","Exkl. moms"
"Excl. Tax:","Exkl. moms:"
"Fixed","Fast"
"From","Från"
"From:","Från:"
"Gift Message","Presentmeddelande"
"Incl. Tax","Inkl. moms"
"Incl. Tax:","Inkl. moms:"
"Input Type","Indatatyp"
"Is Required","Är obligatorisk"
"Message:","Meddelande:"
"Multiple Select","Flerval"
"N/A","Ej tillämpligt"
"No options of this product are available.","Inga av denna produkts alternativ är tillgängliga."
"None","Inga"
"Percent","Procent"
"Percent Discount","Rabatt i procent"
"Please Select Products to Add","Välj produkter att lägga till"
"Please enter a number greater 0 in this field.","Ange en siffra högre än 0 i detta fält."
"Please enter search conditions to view products.","Ange sökvillkor för att visa produkter."
"Please select options for product.","Välj alternativ för produkten."
"Please specify product option(s).","Ange alternativ för produkten."
"Position","Position"
"Price Range","Prisintervall"
"Price Type","Pristyp"
"Price as configured","Pris som konfigurerad"
"Qty:","Antal:"
"Radio Buttons","Radioknappar"
"Required options are not selected.","Obligatoriska alternativ är inte angivna."
"Selected required options are not available.","Markerade obligatoriska alternativ är inte tillgängliga."
"Separately","Separat"
"Ship Bundle Items","Leverera paketartiklar"
"Shipment","Leverans"
"Store View Title","Titel butiksvy"
"There is no defined renderer for ""%s"" option type.","Där finns ingen definierad renderer för ""%s"" alternativtypen. "
"This product is also part of bundle(s)","Denna produkt ingår även i paketprodukter"
"To","Till"
"To:","Till:"
"Together","Tillsammans"
"Total incl. Tax: %1$s","Totalt inkl moms: %1$s"
"Use Default Value","Använd förvalt värde"
"User Defined Qty","Antal angivet av användare"
"and","och"
"each","styck"
"save","spara"
