"# of Use","Antal användningar"
"%1$s incl tax.","%1$s inkl. moms."
"%s - %s","%s - %s"
"%s Item(s)","%s artiklar"
"%s and above","%s och fler"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopiera data från: %s)"
"* Required Fields","* Obligatoriska fält"
"-- Please Select --","-- Vänligen välj --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 som förval om inget annat anges. För att uppdatera direkt, töm cachen för Block HTML."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Varning!</strong> Om du aktiverar MAP som förval så kommer alla priser i butiken att gömmas."
"A group with the same name already exists.","En grupp med samma namn finns redan."
"A name is required","Ett namn är obligatoriskt"
"A product type is not defined for the indexer.","En produkttyp har inte angetts för indexeraren."
"ALL GROUPS","ALLA GRUPPER"
"AM","AM"
"Action","Åtgärd"
"Actual Price","Faktiskt pris"
"Add","Lägg till"
"Add Attribute","Lägg till attribut"
"Add Design Change","Lägg till designändring"
"Add Group","Lägg till grupp"
"Add Group Price","Lägg till gruppbaserat pris"
"Add New","Ny"
"Add New Attribute","Nytt attribut"
"Add New Attribute Set","Ny attributmängd"
"Add New Group","Ny grupp"
"Add New Images","Lägg till nya bilder"
"Add New Option","Nytt alternativ"
"Add New Row","Ny rad"
"Add New Search Term","Ny sökterm"
"Add New Set","Ny attributmängd"
"Add Product","Lägg till produkt"
"Add Product To Websites","Lägg till produkt till webbplatser"
"Add Root Category","Ny rotkategori"
"Add Subcategory","Ny underkategori"
"Add Tax","Lägg till moms"
"Add Tier","Lägg till steg"
"Add attribute into attribute set","Lägg till attribut i attributmängd"
"Add group into attribute set","Lägg till grupp i attributmängd"
"Add new custom option into product","Lägg till nytt anpassat alternativ för produkt"
"Add new values into custom option","Lägg till nya värden för anpassat alternativ"
"Add option","Nytt alternativ"
"Add to Cart","Lägg i varukorgen"
"Add to Compare","Lägg till jämförelse"
"Add to Wishlist","Lägg till önskelista"
"Additional Information","Mer information"
"Alert Urls","Url:er för bevakning"
"All","Alla"
"All Product Types","Alla produkttyper"
"All Websites","Alla webbplatser"
"All products","Alla produkter"
"All products - recently added products, New products - products marked as new","Alla produkter - senast tillagda produkter, Nya produkter - produkter satta som nya"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alla produkter under denna attributmängd kommer att raderas, är du säker på att du vill ta bort den?"
"Allow All Products per Page","Tillåt alla produkter på en sida"
"Allow Dynamic Media URLs in Products and Categories","Tillåt dynamiska media URL:er för produkter och kategorier"
"Allow HTML Tags on Frontend","Tillåt HTML taggar i butiiken"
"Allowed File Extensions","Tillåtna filformat"
"Allowed file extensions to upload","Tillåtna filformat för uppladdning"
"Amount","Amount"
"An error occurred while adding products to websites.","Ett fel uppstod när produkter skulle läggas till i webbplatser."
"An error occurred while clearing comparison list.","Ett fel uppstod när jämförelselistan skulle rensas."
"An error occurred while deleting this review.","Ett fel uppstod när den här recensionen skulle tas bort."
"An error occurred while removing products from websites.","Ett fel uppstod när produkter skulle tas bort från webbplatser."
"An error occurred while saving the URL rewrite","Ett fel uppstod när URL rewrite skulle sparas"
"An error occurred while saving the attribute set.","Ett fel uppstod när attributmängden skulle sparas."
"An error occurred while saving the collection, aborting. Error message: %s","Ett fel uppstod när kollektionen skulle sparas, avbryter. Felmeddelande: %s"
"An error occurred while saving the product. ","Ett fel uppstod när produkten skulle sparas."
"An error occurred while saving the search query.","Ett fel uppstod när söksträngen skulle sparas."
"An error occurred while saving this group.","Ett fel uppstod när gruppen skulle sparas."
"An error occurred while saving this review.","Ett fel uppstod när den här recensionen skulle sparas."
"An error occurred while trying to delete the category.","Ett fel uppstod när kategorin skulle tas bort."
"An error occurred while updating the product(s) attributes.","Ett fel uppstod när produktens attribut skulle uppdateras."
"An error occurred while updating the product(s) status.","Ett fel uppstod när produktstatus skulle uppdateras."
"An invalid group ID is specified, skipping the record.","An invalid group ID is specified, skipping the record."
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"An invalid store was specified.","En ogiltig butik angavs."
"Anchor Custom Text","Anpassad text för <a>"
"Anchor Custom Title","Anpassad titel för <a>"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Endast tillämpligt för produkter och kategorier. Allt mediainnehåll infogas med statiska länkar som inte ändras när bas URL ändras."
"Apply MAP (Default Value)","Tillämpa MAP (Förvalt värde)"
"Apply To","Tillämpa på"
"Approved","Godkänd"
"Are you sure you want to delete this category?","Är du säker på att du vill ta bort kategorin?"
"Are you sure you would like to remove all products from your comparison?","Är du säker på att du vill ta bort alla produkter från jämförelsen?"
"Are you sure you would like to remove this item from the compare products?","Är du säker på att du vill ta bort denna produkt från jämförelsen?"
"Are you sure?","Är du säker?"
"As low as:","Så lågt som:"
"Assign","Tilldela"
"Assign product link","Tilldela produktlänk"
"Assign product to category","Tilldela produkt till kategori"
"Assigned Products","Tilldelade produkter"
"Associated Products","Tillhörande produkter"
"Attrib. Set Name","Namn för attributmängd"
"Attribute ""%s"" is invalid.","Attribut ""%s"" är inte giltigt."
"Attribute ""%s"" is required.","Attribut ""%s"" är obligatoriskt."
"Attribute Information","Information om attribut"
"Attribute Model","Attributmodell"
"Attribute Name:","Attributnamn:"
"Attribute Set","Attributmängd"
"Attribute Sets","Attributmängder"
"Attribute add","Lägg till attribut"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attributkod är inte giltig. Använd bara bokstäver (a-z), siffror (0-9) eller understreck (_) i detta fält och första tecknet ska vara en bokstav."
"Attribute group with the \/name/\"" name already exists""","Attributgrupp med \/name/\"" namn finns redan"""
"Attribute group with the \/name/\ name already exists","Attribute group with the \/name/\ name already exists"
"Attribute remove","Ta bort attribut"
"Attribute with the same code already exists","Ett attribut med samma kod finns redan redan"
"Attributes","Attribut"
"Attrribute names can be specified per store.","Attributnamn kan anges per butik."
"Autogenerate","Autogenerera"
"Availability:","Tillgänglighet:"
"Back","Tillbaka"
"Backend Model","Backend Model"
"Backend Table","Backend Table"
"Backend Table Title","Backend Table Title"
"Backorders","Restbeställningar"
"Based On","Baserad på"
"Before Order Confirmation","Innan orderbekräftelse"
"Best Value","Position"
"Block after Info Column","Block efter infokolumn"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bottom/Left","Längst ner/Vänster"
"Bottom/Right","Längst ner/Höger"
"Browse By","Filtrera"
"Bundle Items","Grupperade artiklar"
"Buy %1$s","Köp %1$s"
"Buy %1$s for","Köp %1$s för"
"Buy %1$s for %2$s","Köp %1$s för %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Köp %1$s för %2$s (%3$s inkl. moms) styck"
"Buy %1$s for %2$s each","Köp %1$s för %2$s styck"
"Cache Lifetime (Seconds)","Cache livslängd (sekunder)"
"Cache refresh needed.","Cache behöver uppdateras."
"Can be Divided into Multiple Boxes for Shipping","Kan delas upp i flera paket för leverans"
"Can be used only with catalog input type Dropdown","Kan endast användas tillsammans med angiven indatatyp dropdown"
