"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" finns inte i önskat antal. %s av artiklarna blir en restnoterad beställning."
"%s is available for purchase in increments of %s only.","%s finns endast för köp om %s."
"%s is not a correct comparsion method.","%s is not a correct comparsion method."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Notera</strong> att dessa inställningar gäller för rader i varukorgen, inte hela varukorgen."
"Add Minimum Qty","Lägg till minimum antal"
"Allow Qty Below 0","Tillåt lagervärde under 0"
"Allow Qty Below 0 and Notify Customer","Tillåt lagervärde under 0 och meddela kund"
"Automatically Return Credit Memo Item to Stock","Lägg automatiskt tillbaka artiklar på kreditnotor i lagret"
"Backorders","Restnoterade beställningar"
"By Fixed value","Med fast värde"
"By Percentage","Med procent"
"Cannot specify product identifier for the order item.","Det går inte att ange produkt id för artikel i beställning."
"Catalog Inventory","Lager"
"Decrease Stock When Order is Placed","Minska lagersaldo när beställning har slutförts"
"Display Out of Stock Products","Visa produkter som är Slut i lager"
"Display products availability in stock in the frontend","Visa lagerstatus i butiken"
"Enable Qty Increments","Aktivera mängdrabatt"
"In Stock","I lager"
"Index Product Stock Status","Indexera lagerstatus för produkter"
"Inventory","Lager"
"Inventory API","Inventory API"
"Inventory Section","Lager sektion"
"Manage Stock","Hantera lager"
"Maximum Qty Allowed in Shopping Cart","Max antal artiklar tillåtet i varukorg"
"Minimum Qty","Minimum antal"
"Minimum Qty Allowed in Shopping Cart","Minimum antal artiklar tillåtet i varukorg"
"Multi update product stock data","Multi update product stock data"
"No Backorders","Inga restnoterade beställningar"
"Not all products are available in the requested quantity","Inte alla produkter finns tillgängliga i önskat antal"
"Notify for Quantity Below","Meddela när lagervärde är under"
"Only X left Threshold","Tröskel för Bara X kvar i lager"
"Out of Stock","Slut i lager"
"Product Stock Options","Lageralternativ"
"Products will still be shown by direct product URLs.","Produkter kommer att visas efter direkta produkt URL:er"
"Qty Increments","Mängdrabatt"
"Qty for Item's Status to Become Out of Stock","Antal som ändrar artikels status till Slut i lager"
"Retrieve stock data","Hämta lagerdata"
"Retrieve stock data by product ids","Hämta lagerdata efter produktid"
"Rule price","Prisregel"
"Set Items' Status to be In Stock When Order is Cancelled","Ändra artikels status till I lager när en beställning avbryts"
"Some of the products are currently out of stock.","Några av produkterna är för närvarande slut i lager."
"Some of the products cannot be ordered in requested quantity.","Några av produkterna kan inte beställas i önskat antal."
"Some of the products cannot be ordered in the requested quantity.","Några av produkterna kan inte beställas i önskat antal."
"Stock Options","Lageralternativ"
"Stock Status","Lagerstatus"
"The maximum quantity allowed for purchase is %s.","Högsta tillåtna antal för köp är %s."
"The minimum quantity allowed for purchase is %s.","Lägsta tillåtna antal för köp är %s."
"The requested quantity for ""%s"" is not available.","Begärt antal av ""%s"" är inte tillgängligt."
"The stock item for Product in option is not valid.","The stock item for Product in option is not valid."
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is available for purchase in increments of %s only.","Produkten finns bara tillgänglig för köp i antal om %s."
"This product is currently out of stock.","Produkten är för närvarande slut i lager."
"This product is not available in the requested quantity. %s of the items will be backordered.","Produkten finns inte i önskat antal. %s av artiklarna blir en restnoterad beställning."
"To Fixed Value","Till fast värde"
"To Percentage","Till procent"
"Undefined product type.","Odefinierad produkttyp."
"Update","Uppdatera"
"Update product stock data","Uppdatera lagerdata för produkt"
"Update the Product","Uppdatera produkten"
