"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Katalogprisregel baserat på attribut ""%s"" har inaktiverats."
"Actions","Åtgärder"
"Active","Aktiv"
"Add New Rule","Ny regel"
"An error occurred while deleting the rule. Please review the log and try again.","Ett fel uppstod när regeln skulle tas bort. Granska loggen och försök igen."
"An error occurred while saving the rule data. Please review the log and try again.","Ett fel uppstod när regeln skulle sparas. Granska loggen och försök igen."
"Apply","Tillämpa"
"Apply Rules","Tillämpa regler"
"Attribute Set","Attributmängd"
"By Fixed Amount","Med fast summa"
"By Percentage of the Original Price","Med procent av det normala priset"
"Catalog","Katalog"
"Catalog Price Rule","Prisregel för katalog"
"Catalog Price Rules","Prisregler för katalog"
"Category","Kategori"
"Conditions","Villkor"
"Conditions (leave blank for all products)","Villkor (lämna tomt för alla produkter)"
"Conditions Combination","Kombinera villkor"
"Customer Groups","Kundgrupper"
"Date Expire","Utgångsdatum"
"Date From","Datum från"
"Date Start","Startdatum"
"Date To","Datum till"
"Description","Beskrivning"
"Discount Amount","Rabattmängd"
"Edit Rule","Ändra regel"
"Edit Rule '%s'","Ändra regel '%s'"
"Enable Discount to Subproducts","Aktivera rabatt för underordnade produkter"
"Expiration Date","Expiration Date"
"From Date","Från datum"
"General Information","Allmän information"
"ID","Id"
"Inactive","Inaktiv"
"New Rule","Ny regel"
"No","Nej"
"Options","Alternativ"
"Priority","Prioritet"
"Product Attribute","Produktattribut"
"Promotions","Kampanjer"
"Rule Information","Information om regel"
"Rule Name","Regelnamn"
"Save and Apply","Spara och tillämpa"
"Save and Continue Edit","Spara och fortsätt ändra"
"Start Date","Start Date"
"Status","Status"
"Stop Further Rules Processing","Stoppa fler regler från att tillämpas"
"The rule has been deleted.","Regeln har tagits bort."
"The rule has been saved.","Regeln har sparats."
"The rules have been applied.","Reglerna har tillämpats."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","There are rules that have been changed but were not applied. Only users with exclusive access can apply rules."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Det finns regler som har ändrats men tillämpats. Klicka Tillämpa regler för att se förändringen i butiken."
"This rule no longer exists.","Regeln finns inte längre."
"To Date","Till datum"
"To Fixed Amount","Till fast summa"
"To Percentage of the Original Price","Till procent av det normala priset"
"Type","Type"
"Unable to apply rules.","Det gick inte att tillämpa regler."
"Unable to find a rule to delete.","Det gick inte att hitta en regel att ta bort."
"Update Prices Using the Following Information","Uppdatera priser med följande information"
"Update product's %s %s: %s","Uppdatera produktens %s %s: %s"
"Website","Webbsida"
"Websites","Webbsidor"
"Wrong rule specified.","Fel regel har angetts"
"Yes","Ja"
