"%s and greater","%s och större"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d artiklar)</strong> hittades med följande söksträng"
"Advanced Search","Avancerad sökning"
"Advanced Search Form","Formulär för avancerat sök"
"Advanced Search Result","Resultat för avancerat sök"
"All","Alla"
"Applies for ""Like"" search type only.","Tillämpas endast på söktyp ""Like""."
"Apply Layered Navigation if Search Results are Less Than","Använd filterbaserad navigation om sökresultatet är mindre än"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Ändring av attributinställningar påverkar sökindex. Kör en omindexering av katalogsök."
"Autogenerated Site Map","Autogenererad sajtkarta"
"Catalog Advanced Search","Avancerad katalogsökning"
"Catalog Search","Katalogsök"
"Catalog Search Index","Index för katalogsök"
"Don't see what you're looking for?","Kan du inte hitta vad du letar efter?"
"Enter ""0"" to enable layered navigation for any number of results.","Ange ""0"" för att aktivera filterbaserad navigation oavsett antal resultat."
"Go","Gå"
"Go to Home Page","Gå till hemsidan"
"Grid","Rutnät"
"Home","Hem"
"List","Lista"
"Maximum Query Length","Maximal längd på sökfras"
"Maximum Query Words Count","Maximalt antal ord i sökfras"
"Maximum Search query length is %s. Your query was cut.","Maximal längd på sökfras är %s. Din sökfras har kortats ned."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Maximalt antal ord är %1$s. I din sökfras togs följande bort: %2$s."
"Minimal Query Length","Minimum längd på sökfras"
"Minimum Search query length is %s","Minimum längd på sökfras är %s"
"Modify your search","Ändra din sökning"
"No","Nej"
"No items were found using the following search criteria.","Inga artiklar hittades med följande sökkriteria."
"Please specify at least one search term.","Ange minst en sökfras."
"Popular Search Terms","Populära söktermer"
"Quick Search Form","Snabbsöksformulär"
"Rebuild Catalog product fulltext search index","Kör en omindexering av katalog fulltextsök"
"Relevance","Relevans"
"Results","Resultat"
"Search","Sök"
"Search Settings","Sökinställningar"
"Search Terms","Populära sökord"
"Search Type","Typ av sök"
"Search entire store here...","Sök i hela butiken..."
"Search results for '%s'","Sökresultat för '%s'"
"Search results for: '%s'","Sökresultat för: '%s'"
"Search:","Sök:"
"Specified date is invalid.","Angivet datum är inte giltigt."
"Subscribe to Feed","Prenumerera på flöde"
"There are no search terms available.","Det finns inga söktermer tillgängliga."
"Yes","Ja"
"Your search returns no results.","Din sökning gav inget resultat."
"up to %s","upp till %s"
