"%s was added to your shopping cart.","%s lades i din varukorg."
"%s was updated in your shopping cart.","%s uppdaterades i din varukorg."
"* Required Fields","* Obligatoriska fält"
"Add New Address","Ny adress"
"Add New Condition","Nytt villkor"
"Add coupon code for shopping cart","Lägg till kupongkod för varukorg"
"Add gift messages to shopping cart","Lägg till presentmeddelanden till varukorgen"
"Add product to shopping cart","Lägg produkt i varukorgen"
"Add product(s) to shopping cart","Lägg produkt(er) i varukorgen"
"Add to Cart","Lägg i varukorgen"
"Add to Compare","Lägg till jämförelse"
"Add to Wishlist","Lägg till önskelista"
"Additional Product Info","Extra produktinfo"
"Address","Adress"
"Address %s of %s","Adress %s av %s"
"After Adding a Product Redirect to Shopping Cart","Skicka kunden till varukorgen när en produkt läggs i varukorgen"
"Allow Guest Checkout","Tillåt gäster att använda kassan"
"Already registered?","Redan registrerad kund hos oss?"
"An error occurred in the process of payment","Ett fel uppstod i betalningsprocessen"
"An error occurred while deleting this condition.","Ett fel uppstod när villkoret skulle tas bort."
"An error occurred while saving this condition.","Ett fel uppstod när villkoret skulle sparas."
"Apply Coupon","Använd kupong"
"Are you sure you would like to remove this item from the shopping cart?","Är du säker på att du vill ta bort produkten från varukorgen?"
"Back","Tillbaka"
"Back to Billing Information","Tillbaka till fakturaadress"
"Back to Select Addresses","Tillbaka till val av adress"
"Back to Shipping Information","Tillbaka till leveransadress"
"Back to Shopping Cart","Tillbaka till varukorg"
"Based on your selection, you may be interested in the following items:","Utifrån dina val så kanske du även är intresserad av följande:"
"Billing Address","Fakturaadress"
"Billing Information","Fakturaadress"
"Billing Information - %s","Fakturaadress - %s"
"Cancel Coupon","Ta bort kupong"
"Cannot add item to the shopping cart.","Det gick inte att lägga artikeln i varukorgen."
"Cannot add the item to shopping cart","Det gick inte att lägga artikeln i varukorgen"
"Cannot add the item to shopping cart.","Det gick inte att lägga artikeln i varukorgen."
"Cannot apply the coupon code.","Det gick inte att använda kupongkoden."
"Cannot configure product.","Det går inte att konfigurera produkten."
"Cannot open the overview page","Det går inte att öppna översiktssidan"
"Cannot process the item.","Det går inte att behandla artikeln."
"Cannot remove the item.","Det går inte att ta bort artikeln."
"Cannot update shopping cart.","Det går inte att uppdatera varukorgen."
"Cannot update the item.","Det går inte att uppdatera artikeln."
"Card Verification Number Visual Reference","Visuell referens för kortverifieringsnummer"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Deltotal varukorg:"
"Change","Ändra"
"Change Billing Address","Ändra fakturaadress"
"Checkbox Text","Kryssruta text"
"Checkout","Kassa"
"Checkout Conditions","Kassavillkor"
"Checkout Method","Kassametod"
"Checkout Options","Alternativ för kassa"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Section","Kassa sektion"
"Checkout Terms and Conditions","Kassa köpvillkor"
"Checkout as Guest","Genomför köp som gäst"
"Checkout as a Guest or Register","Genomför köp som gäst eller skapa ett konto"
"Checkout with Multiple Addresses","Genomför köp med flera adresser"
"City","Stad"
"Clear Shopping Cart","Rensa varukorgen"
