" or "," or "
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"* Required Fields","* Obligatoriska fält"
"ALL GROUPS","ALLA GRUPPER"
"Account Dashboard","Kontoöversikt"
"Account Information","Kontoinformation"
"Account Sharing Options","Alternativ för delning av konto"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Det är obligatoriskt att du bekräftar ditt konto. Kolla din e-post efter ett email med en länk för att bekräfta. För att få mailet skickat igen så kan du <a href=""%s"">klicka här</a>."
"Action","Åtgärd"
"Add New Address","Ny adress"
"Add New Customer","Ny kund"
"Add New Customer Group","Ny kundgrupp"
"Added From","Tillagd Från"
"Additional Address Entries","Ytterligare adressposter"
"Address","Adress"
"Address Book","Adressbok"
"Address Books","Adressböcker"
"Address Information","Adressinformation"
"Address Templates","Adressmallar"
"Addresses","Adresser"
"Admin","Administratör"
"All","Alla"
"All Store Views","Alla butiksvyer"
"All countries","Alla länder"
"Always optional.","Alltid valfritt."
"Amount","Belopp"
"An error occurred while deleting the address.","Ett fel uppstod när adressen skulle tas bort."
"An error occurred while retrieving the option value: %s.","Ett fel uppstod när värde för alternativ %s skulle hämtas."
"An error occurred while saving the collection, aborting. Error: %s","An error occurred while saving the collection, aborting. Error: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"Approved","Godkänd"
"Are you sure that you want to remove this item?","Är du säker på att du vill ta bort denna artikel?"
"Are you sure you want to cancel adding of this address?","Är du säker på att du inte vill lägga till denna adress?"
"Are you sure you want to delete this address?","Är du säker på att du vill ta bort denna adress?"
"Are you sure?","Är du säker?"
"Array of Entity collections is expected.","Array of Entity collections is expected."
"Assign a Customer Group","Tilldela en kundgrupp"
"Average Sale","Genomsnittlig försäljning"
"Back","Tillbaka"
"Back - link to the previously viewed page","Tillbaka - en länk till den förra visade sidan"
"Back to Login","Tillbaka till inloggningen"
"Bad request.","Bad request."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Baserat på VAT nr. så skall kunden tillhöra kundgrupp %s."
"Bill to Name","Fakturera till namn"
"Bought From","Köpte från"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Om du skapar ett konto kan du gå snabbare genom kassan, använda dig av flera leveransadresser, granska och spåra dina beställningar och mycket mer."
"CSV","CSV"
"Cancel","Avbryt"
"Cannot save a new password.","Det går inte att spara ett nytt lösenord."
"Cannot save address.","Det går inte att spara adressen."
"Cannot save the customer.","Det går inte att spara kunden."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Det går inte att dela kundkonton globalt eftersom det finns konton med samma e-postadresser på olika webbplatser."
"Change Account Password","Ändra lösenord för kontot"
"Change Billing Address","Ändra fakturaadress"
"Change Password","Byt lösenord"
"Change Shipping Address","Ändra leveransadressen"
"City","Stad"
"Company","Företag"
"Config","Inställningar"
"Configure","Konfigurera"
"Confirm New Password","Bekräfta nytt lösenord"
"Confirm Password","Bekräfta lösenord"
"Confirmation Link Email","Email med länk för bekräftelse"
"Confirmed","Bekräftad"
"Contact Information","Kontaktinformation"
"Continue Shopping","Fortsätt att handla"
"Country","Land"
"Create","Skapa"
"Create New Account Options","Alternativ för att skapa nytt konto"
"Create New Customer Account","Nytt kundkonto"
"Create Order","Ny beställning"
"Create an Account","Skapa ett konto"
"Create customer","Ny kund"
"Create customer address","Ny kundadress"
"Current Password","Nuvarande lösenord"
"Customer","Kund"
"Customer API","Customer API"
"Customer Account Edit Form","Formulär för att ändra kundkonto"
"Customer Account Login Form","Formulär för kundinloggning"
"Customer Account Logout Success","Lyckad utloggning från kundkonto"
"Customer Account Registration Form","Formulär för att skapa ett konto"
"Customer Addresses","Kundadresser"
"Customer Configuration","Kundinställningar"
"Customer Forgot Password Form","Formulär för glömt lösenord"
"Customer Group","Kundgrupp"
"Customer Groups","Kundgrupper"
"Customer Information","Information om kunden"
"Customer Login","Logga in"
"Customer My Account (All Pages)","Mitt konto (alla sidor)"
"Customer My Account Address Book","Adressbok för Mitt konto"
"Customer My Account Address Edit Form","Formulär för att ändra adresser under Mitt konto"
"Customer My Account Dashboard","Översikt Mitt konto"
"Customer Since","Kund sedan"
"Customer View","Kundvy"
"Customer collection expected.","Customer collection expected."
"Customer email is required","E-postadress för kund är obligatorisk"
"Customer website ID must be specified when using the website scope","Customer website ID must be specified when using the website scope"
"Customer will stay on the current page if ""No"" is selected.","Kunden kommer att förbli på den nuvarande sidan om man väljer ""Nej""."
"Customers","Kunder"
"Customers Only","Endast kunder"
"Customers Section","Kunder sektion"
"DD","DD"
"Date","Datum"
"Date Added","Tillagd den"
"Date of Birth","Födelsedatum"
"Day","Dag"
"Days in Wishlist","Antal dagar på önskelista"
"Default Addresses","Förvalda adresser"
"Default Billing Address","Förvald fakturaadress"
"Default Email Domain","Förvald domän för e-post"
"Default Group","Förvald kundgrupp"
"Default Shipping Address","Förvald leveransadress"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Förvalt värde för Inaktivera automatiskt byte av kundgrupp baserat på VAT nr."
"Default Welcome Email","Förvalt välkomstmail"
"Delete","Ta bort"
"Delete Address","Ta bort adress"
"Delete Customer","Ta bort kund"
"Delete Customer Group","Ta bort kundgrupp"
"Delete customer","Ta bort kund"
"Delete customer address","Ta bort kunds adress"
"Deleted Stores","Ta bort butiker"
"Details","Detaljer"
"Disabled","Inaktiverad"
"Edit","Redigera"
"Edit Account Info","Redigera kontoinformation"
"Edit Account Information","Redigera kontoinformation"
"Edit Address","Redigera adress"
"Edit Address Entry","Ändra adresspost"
"Edit Customer Group ""%s""","Ändra kundgruppen ""%s"""
"Edit Customer Groups","Ändra kundgrupper"
"Edit Customer's Address","Ändra kundens adress"
"Edit Group","Ändra grupp"
"Edit Newsletters","Ändra nyhetsbrev"
"Email","E-post"
"Email Address","E-postadress"
"Email Sender","Avsändare av e-post"
"Email:","E-postadress:"
"Enable Automatic Assignment to Customer Group","Aktivera automatisk tilldelning av kundgrupp"
"Entity collection is expected.","Entity collection is expected."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Det gick inte att bekräfta kundkonto."
"Fax","Fax"
"First Name","Förnamn"
"Forgot Email Template","Mall för e-post för glömda uppgifter"
"Forgot Password","Glömt lösenord"
"Forgot Your Password","Glömt ditt lösenord"
"Forgot Your Password?","Glömt ditt lösenord?"
"Forgot and Remind Email Sender","E-postavsändare för erinra/glömt lösenord"
"Form Fields Before","Form Fields Before"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","I kontoöversikten får du en överblick av dina senaste aktiviteter, och du kan också ändra dina kontouppgifter. Välj en länk nedan för att granska eller ändra dina uppgifter."
"Gender","Kön"
"Gender is required.","Kön är obligatoriskt."
"General Subscription","Allmän prenumeration"
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Global","Global"
"Group","Grupp"
"Group Information","Information om grupp"
"Group Name","Gruppnamn"
"Group for Invalid VAT ID","Kundgrupp för ogiltigt VAT nr."
"Group for Valid VAT ID - Domestic","Kundgrupp för giltigt VAT nr. - inhemsk"
"Group for Valid VAT ID - Intra-Union","Kundgrupp för giltigt VAT nr. - EU"
"Guest","Gäst"
"HTML","HTML"
"Hello, %s!","Hej, %s!"
"ID","Id"
"IP Address","IP adress"
