"-- Please select --","-- Vänligen välj --"
"Allowed Currencies","Tillåtna valutor"
"Base Currency","Basvaluta"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Basvaluta används för alla online betalningar. Omfång definieras av omfång för katalogpris (""Katalog"" > ""Pris"" > ""Omfång för katalogpris"")."
"Can\'t convert rate from ""%s-%s"".","Det gick inte att omvandla kurs från ""%s-%s""."
"Cannot retrieve rate from %s.","Det gick inte att hämta kurs från %s."
"Connection Timeout in Seconds","Anslutning timeout i sekunder"
"Continue &raquo;","Fortsätt &raquo;"
"Country","Land"
"Country API","Land API"
"Country and Format Type combination should be unique","Kombinationen land och formattyp bör vara unik"
"Currency","Valuta"
"Currency Options","Alternativ för valuta"
"Currency Setup","Valutainställningar"
"Currency Update Warnings","Varningar för valutauppdatering"
"Default Display Currency","Förvald valuta i butik"
"Directory","Register"
"Display not required State","Visa ej obligatoriska stater"
"Enabled","Aktiverad"
"Error Email Recipient","E-postmottagare för fel"
"Error Email Sender","E-postavsändare för fel"
"Error Email Template","E-postmall för fel"
"FATAL ERROR:","Allvarligt fel:"
"Frequency","Frekvens"
"Installed Currencies","Installerade valutor"
"Invalid Import Service specified.","Ogiltig importtjänst angiven"
"Invalid country code: %s","Ogiltig landskod: %s"
"Invalid rates received","Ogiltiga valutakurser har mottagits"
"Invalid target currency.","Ogiltig målvaluta"
"List of countries","Lista på länder"
"List of regions in specified country","Lista på regioner i angivna länder"
"Postal Code is Optional for the following countries","Postnummer är valfritt för följande länder"
"Region","Region"
"Region API","Region API"
"Scheduled Import Settings","Inställningar för schemalagd import"
"Select Your Currency","Välj din valuta"
"Service","Tjänst"
"Start Time","Starttid"
"State is required for","Stat är obligatoriskt för"
"State/Province","Region"
"States Options","Alternativ för stater"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize the import model.","Det gick inte att starta modellen för import."
"Undefined rate from ""%s-%s"".","Odefinierad kurs från ""%s-%s""."
"WARNING:","Varning:"
"Webservicex","Webservicex"
"Your current currency is: %s","Din nuvarande valuta är: %s"
