"Add","Lägg till"
"Add New Row","Ny rad"
"Add links and samples to downloadable product","Lägg till länkar och samples för nedladdningsbara produkter"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'."
"An error occurred while getting the requested content.","An error occurred while getting the requested content."
"An error occurred while getting the requested content. Please contact the store owner.","An error occurred while getting the requested content. Please contact the store owner."
"An error occurred while saving the file(s).","Ett fel uppstod när filen/filerna skulle sparas."
"Availability:","Availability:"
"Back","Tillbaka"
"Canceled","Avbryten"
"Cannot connect to remote host, error: %s.","Cannot connect to remote host, error: %s."
"Catalog Product View (Downloadable)","Catalog Product View (Downloadable)"
"Category API","Category API"
"Customer My Account Downloadable Items","Customer My Account Downloadable Items"
"Date","Datum"
"Default Link Title","Standardtitel för länkar"
"Default Maximum Number of Downloads","Standardvärde för maximalt antal nerladdningar"
"Default Sample Title","Förvald provtitel"
"Delete","Delete"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disable Guest Checkout if Cart Contains Downloadable Items"
"Downloadable Information","Information om nerladding"
"Downloadable Product","Nerladdningsbar produkt"
"Downloadable Product Options","Alternativ för nerladdningsbar produkt"
"Downloadable Product Section","Downloadable Product Section"
"Edit","Edit"
"Edit item parameters","Edit item parameters"
"Excl. Tax","Exkl. moms"
"File","Fil"
"From:","Från:"
"Gift Message","Presentmeddelande"
"Go to <a href=""%s"">My Downloadable Products</a>","Gå till <a href=""%s"">Mina nerladdningsbara produkter</a>"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
"In stock","In stock"
"Incl. Tax","Inkl. moms"
"Invalid download URL host.","Invalid download URL host."
"Invalid download URL scheme.","Invalid download URL scheme."
"Invalid download link type.","Invalid download link type."
"Invoiced","Fakturerad"
"Links can be purchased separately","Länkar kan köpas separat"
"List","List"
"Max. Downloads","Max. nerladdningar"
"Message:","Meddelande:"
"Move","Move"
"My Downloadable Products","Mina nerladdningsbara produkter"
"Open Links in New Window","Öppna länkar i nytt fönster"
"Order #","Order #"
"Order Item Status to Enable Downloads","Order Item Status to Enable Downloads"
"Order id cannot be null","Order id cannot be null"
"Order item id cannot be null","Order item id cannot be null"
"Ordered","Beställd"
"Out of stock","Out of stock"
"Pending","Väntar på granskning"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Please log in to download your product or purchase <a href=""%s"">%s</a>."
"Please log in to download your product.","Vänligen logga in för att laddda ner din produkt"
"Please set resource file and link type.","Please set resource file and link type."
"Please specify product link(s).","Ange produktlänk(ar)"
"Price","Pris"
"Product downloadable links","Product downloadable links"
"Qty","Qty"
"Refunded","Återbetald"
"Remaining Downloads","Återstående nerladdningar"
"Remove","Remove"
"Remove Item","Remove Item"
"Remove links and samples from downloadable product","Remove links and samples from downloadable product"
"Requested link does not exist.","Requested link does not exist."
"Retrieve links and samples list from downloadable product","Retrieve links and samples list from downloadable product"
"Sample","Varuprov"
"See price before order confirmation.","See price before order confirmation."
"Shareable","Delningsbar"
"Shipped","Skickad"
"Sorry, there was an error getting requested content. Please contact the store owner.","Sorry, there was an error getting requested content. Please contact the store owner."
"Sort Order","Sorteringsordning"
"Start Download","Ladda ner nu"
"Status","Status"
"The file does not exist.","The file does not exist."
"The link has expired.","The link has expired."
"The link is not available.","The link is not available."
"There are files that were selected but not uploaded yet. Please upload or remove them first","There are files that were selected but not uploaded yet. Please upload or remove them first"
"Title","Titel"
"To:","Till:"
"U","U"
"Unlimited","Obegränsat"
"Use Content-Disposition","Use Content-Disposition"
"Use Default Value","Use Default Value"
"View Order","Granska beställning"
"What's this?","What's this?"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
"attachment","bilaga"
"download","ladda ner"
"inline","inbäddat"
"sample","varuprov"
