"Add","Lägg till"
"Add gift message for shopping cart","Add gift message for shopping cart"
"Add gift messages for quote item of shopping cart","Add gift messages for quote item of shopping cart"
"Add gift messages to products of shopping cart","Add gift messages to products of shopping cart"
"Add gift options","Add gift options"
"Add gift options for Individual Items","Add gift options for Individual Items"
"Add gift options for the Entire Order","Add gift options for the Entire Order"
"Add gift options.","Add gift options."
"Allow Gift Messages for Order Items","Tillåt presentmeddelanden för beställningsartiklar"
"Allow Gift Messages on Order Level","Tillåt presentmeddelanden endast för hela beställningen"
"An error occurred while saving the gift message.","An error occurred while saving the gift message."
"Are you sure?","Är du säker?"
"Cancel","Avbryt"
"Do you have any gift items in your order?","Har du några presentartiklar i din beställning?"
"Edit","Ändra"
"From","Från"
"Gift Message","Presentmeddelande"
"Gift Message API","Gift Message API"
"Gift Options","Gift Options"
"Gift Options for","Gift Options for"
"Gift Options for Individual Items","Gift Options for Individual Items"
"Gift Options for the Entire Order.","Gift Options for the Entire Order."
"Gift Options for this address.","Gift Options for this address."
"Item %d of %d","Artikel %d av %d"
"Message","Meddelande"
"No","Nej"
"OK","OK"
"Save Gift Message","Spara presentmeddelande"
"The gift message has been removed","The gift message has been removed"
"The gift message has been saved","The gift message has been saved"
"The gift message has been saved.","The gift message has been saved."
"To","Till"
"Unknown entity type","Okänd entitetstyp"
"Use config","Använd konfiguration"
"Yes","Ja"
"You can leave this box blank if you do not wish to add a gift message for the item.","You can leave this box blank if you do not wish to add a gift message for the item."
"You can leave this box blank if you do not wish to add a gift message for this address.","You can leave this box blank if you do not wish to add a gift message for this address."
"You can leave this box blank if you do not wish to add a gift message for whole order.","You can leave this box blank if you do not wish to add a gift message for whole order."
