"(Make sure you keep it in a safe place.)","(Försäkra dig om att du sparar den på ett säkert ställe.)"
"(Optional. Leave blank for no prefix)","(Frivilligt. Lämna tomt om inget prefix ska användas)"
"(ver. %s)","(ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Den sökväg som läggs till efter 'Base URL' för att få åtkomst till admin (t ex admin, butiksadmin, backend etc.)."
"Admin Path","Admin sökväg"
"After successfull installation please click the button below.","När installationen har avslutats, klicka på knappen nedan."
"All packages were installed, click 'OK' to continue with installation.","Alla paket har installerats, klicka på 'OK' för att fortsätta med installationen."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","En annan metod är att prova manuella nerladdningar och uppgraderingar."
"Base URL","Base URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Innan du fortsätter till din butik, skriv ner, eller på annat vis notera, din krypteringsnyckel (Magento använder den för att kryptera lösenord, bankkort och mer)."
"Check out our","Kolla in vår"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Kryssa endast i denna rutan om det inte är möjligt att automatiskt validera säkra URL:er, exempelvis om HTTP verifiering krävs."
"Check this box only if it is not possible to automatically validate the Base URL.","Kryssa endast i denna rutan om det inte är möjligt att automatiskt validera 'Base URL'"
"Choose this if you would like to test frontend and backend functionality.","Välj detta om du vill testa funktionalitet för admin och butiken."
"Configuration","Konfiguration"
"Confirm Password","Bekräfta lösenord"
"Connection","Anslutning"
"Continue","Fortsätt"
"Continue After Manual Download","Fortsätt efter manuell nerladdning"
"Continue Full Download / SVN Installation","Fortsätt med installation genom full nedladdning / SVN"
"Create Admin Account","Skapa konto för administratör"
"Currently this is the most stable state available for Magento packages.","För närvarande är detta de mest stabila versionerna för Magento-paket."
"Database","Databas"
"Database Connection","Databasanslutning"
"Database Name","Databasnamn"
"Database Name cannot be empty.","Namn på databas kan inte vara tomt."
"Database Type","Databastyp"
"Database connection error.","Fel vid anslutning till databas."
"Database host","Värd för databas"
"Database server does not support the InnoDB storage engine.","Databasservern stödjer inte InnoDB som 'storage engine'."
"Database user name","Användarnamn för databas"
"Database user password","Lösenord för databas"
"Default Currency","Förvald valuta"
"Download","Ladda ner"
"Download Magento Core Modules and Updates","Ladda ner moduler och uppdateringar för Magento Core"
"Downloading and installing Magento, please wait...","Laddar ner och installerar Magento, vänligen vänta..."
"Email","E-post"
"Email Address","E-postadress"
"Enable Charts","Aktivera diagram"
"Enable this option if you want the charts to be displayed on Dashboard.","Aktivera denna om du vill att diagram ska visas på översikten."
"Enable this option only if you have SSL available.","Aktivera detta alternativ endast om du har tillgång till SSL."
"Encryption Key","Krypteringsnyckel"
"File System","Filsystem"
"First Name","Förnamn"
"Full Download / SVN Installation","Installation genom full nedladdning / SVN"
"Get ready to experience Open-Source eCommerce Evolved.","Get ready to experience Open-Source eCommerce Evolved."
"Go to Backend","Gå till admin"
"Go to Frontend","Gå till butiken"
"Having trouble installing Magento?","Problem med att installera Magento?"
"Help Us to Keep Magento Healthy","Hjälp oss att förbättra Magento"
"Host","Värd"
"I agree to the above terms and conditions.","Jag godkänner ovan villkor."
"If you are a developer and would like to have the latest public updates, choose this option.","Om du är en utvecklare och vill ha de senaste publika uppdateringarna, välj detta alernativ."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files."
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Om du har laddat ner den kompletta versionen av Magento eller installerat Magento genom SVN, då bör du hoppa över installationen och valideringen av paket genom att klicka på knappen nedan."
