" Copy","Kopiera"
"Action","Åtgärd"
"Add New Template","Ny mall"
"Add to Queue","Lägg i kön"
"Allow Guest Subscription","Tillåt gäster att prenumerera"
"An error occurred while saving your subscription.","Ett fel uppstod när din prenumeration skulle sparas."
"Are you sure that you want to delete this template?","Är du säker på att du vill ta bort mallen?"
"Are you sure that you want to strip all tags?","Är du säker på att du vill ta bort alla etiketter?"
"Back","Tillbaka"
"Cancel","Avbryt"
"Cancelled","Avbruten"
"Cannot mark as received subscriber.","Kan inte markera mottagen prenumerant."
"Confirmation Email Sender","E-postavsändare för bekräftelse"
"Confirmation Email Template","E-postmall för bekräftelse"
"Confirmation request has been sent.","Bekräftelseförfrågan har skickats."
"Convert to Plain Text","Omvandla till vanlig text"
"Create Newsletter Template","Skapa mall för nyhetsbrev"
"Customer","Kund"
"Customer First Name","Kunds förnamn"
"Customer Last Name","Kunds efternamn"
"Customer My Account Newsletter Subscriptions","Prenumerationer på nyhetsbrev under Mitt konto"
"Date Added","Skapad den"
"Date Updated","Uppdaterad den"
"Delete","Ta bort"
"Delete Selected Problems","Ta bort markerade problem"
"Delete Template","Ta bort mall"
"Do you really want to cancel the queue?","Är du säker på att du vill avbryta kön?"
"Duplicate template code.","Dublett av kod för mall."
"Edit Newsletter","Redigera nyhetsbrev"
"Edit Newsletter Template","Redigera mall för nyhetsbrev"
"Edit Queue","Redigera kö"
"Edit Template","Redigera mall"
"Email","E-post"
"Enter your email address","Ange din e-postadress"
"Error Code","Felkod"
"Error Text","Felmeddelande"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Klicka <a href=""{{var subscriber.getUnsubscriptionLink()}}"">HÄR för att säga upp din prenumeration</a>"
"Guest","Gäst"
"ID","Id"
"Invalid queue selected.","Ogiltig kö markerad."
"Invalid subscription ID.","Ogiltigt prenumerations id."
"Invalid subscription confirmation code.","Ogiltig kod för att bekräfta prenumeration."
"Message","Meddelande"
"Need to Confirm","Måste bekräftas"
"New Newsletter Template","Ny mall för nyhetsbrev"
"New Template","Ny mall"
"Newsletter","Nyhetsbrev"
"Newsletter Message Preview","Förhandsgranskning av nyhetsbrev"
"Newsletter Problem Reports","Rapporter för problem med nyhetsbrev"
"Newsletter Queue","Kö för nyhetsbrev"
"Newsletter Section","Nyhetsbrev sektion"
"Newsletter Sign-up:","Prenumerera på nyhetsbrev:"
"Newsletter Styles","Stilar på nyhetsbrev"
"Newsletter Subscribers","Prenumeranter på nyhetsbrev"
"Newsletter Subscription","Prenumeration på nyhetsbrev"
"Newsletter Subscription Form Before","Formulär från tidigare för prenumeration på nyhetsbrev"
"Newsletter Subscriptions","Prenumerationer på nyhetsbrev"
"Newsletter Templates","Mallar för nyhetsbrev"
"Newsletter subscription confirmation","Bekräftelse av prenumeration på nyhetsbrev"
"Newsletter subscription success","Prenumeration på nyhetsbrev lyckades"
"Newsletter unsubscription success","Uppsägning av prenumeration på nyhetsbrev lyckades"
"No Templates Found","Det finns inga mallar"
"No problems found.","Inga problem hittades."
"No subscribers selected.","Inga prenumeranter är markerade."
"Not Activated","Inte aktiverad"
"Not Sent","Inte skickat"
"Pause","Pausa"
"Paused","Pausad"
"Please enter a valid email address.","Ange en giltig e-postadress."
"Please enter new template name","Ange ett nytt namn på mallen"
"Please refer to exeption.log","Please refer to exeption.log"
"Please select subscriber(s)","Välj prenumerant(er)"
"Preview","Förhandsgranska"
"Preview Template","Förhandsganska mall"
"Processed","Behandlad"
"Queue Date Start","Startdatum för kö"
"Queue Finish","Köslut"
"Queue Information","Information om kön"
"Queue Newsletter...","Flytta nyhetsbrev till kön"
"Queue Start","Köstart"
"Queue Subject","Ämnesrad för kö"
"Recipients","Mottagare"
"Reset","Nollställ"
"Resume","Återuppta"
"Return HTML Version","Returnera HTML version"
"Save As","Spara som"
"Save Newsletter","Spara nyhetsbrev"
"Save Template","Spara mall"
"Save and Resume","Spara och fortsätt ändra"
"Selected problem subscribers have been unsubscribed.","Markerade prenumeranter har tagits bort från prenumerationslistan."
"Selected problems have been deleted.","Markerade problem har tagits bort."
"Sender","Avsändare"
"Sender Email","E-postavsändare"
"Sender Name","Namn för avsändare"
"Sending","Skickar"
"Sent","Skickat"
"Sign Up for Our Newsletter:","Prenumerera på vårt nyhetsbrev:"
"Sign up for our newsletter","Prenumerera på vårt nyhetsbrev"
